,i,g,year,xwater,omegaland,omegasupply,omegalabor,p,y,xland,Etc,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
1,Hay/Silage,EAST SIDE IRRIGATION DISTRICT NO. 6,2019.5,2.2600000000000002,283.8,309.7,147.2,214.3,5.1,9640.7,3.838,15.0,0.17,0.51,220.638,345.79,0.7036529118694312,1,2.2600000000000002,1,1,-4.88235294117647,67.4769500000001,283.17685,0.21823440008923137,0.6246047516334478,0.10652815651452469,0.050632691762796354,4.198926592607564,0.0002033860937199052,439057.0347628447
2,Seed,EAST SIDE IRRIGATION DISTRICT NO. 6,2019.5,2.3,407.0,590.0,328.0,14000.0,0.39,14057.0,1.9686,15.0,0.17,0.74,14000.0,4100.5,0.248992673992674,1,2.3,1,1,-4.88235294117647,67.4769500000001,4033.02305,0.6059469369150109,0.27064556711427806,0.07931418586352888,0.044093310107182156,0.36606283389712535,9.613369505238325e-05,12138797.455118861
3,Vegetable,EAST SIDE IRRIGATION DISTRICT NO. 6,2019.5,2.6555555555555554,288.6666666666667,4281.333333333333,5971.333333333333,736.2222222222222,16.799999999999997,6753.111111111111,2.952,15.0,0.17,0.3,788.9559413580247,1931.3666666666666,0.851673108238596,1,2.6555555555555554,1,1,-4.88235294117647,67.4769500000001,2605.81619814815,0.16543483362327566,0.2619212717123574,0.23912602194775767,0.33351787271660943,15.796537304613473,0.0004935996577709039,214070.11343102547
0,Cereal Grain,GARDENA FARMS DISTRICT NO. 13,2019.5,2.2600000000000002,283.8,201.1,78.3,207.25,2.7600000000000002,18116.0,2.08,15.0,0.17,0.74,240.78875000000002,50.17250000000003,0.9338740392219773,1,2.2600000000000002,1,1,-4.88235294117647,67.4769500000001,0.0,0.14358136744254674,0.742216337008464,0.08219785839263334,0.032004437156355994,2.113392111888343,7.459435589265574e-05,1219155.9149025558
1,Hay/Silage,GARDENA FARMS DISTRICT NO. 13,2019.5,2.2600000000000002,283.8,309.7,147.2,214.3,5.1,9640.7,3.838,15.0,0.17,0.51,220.638,345.79,0.7036529118694312,1,2.2600000000000002,1,1,-4.88235294117647,67.4769500000001,283.17685,0.21823440008923137,0.6246047516334478,0.10652815651452469,0.050632691762796354,4.198926592607564,0.0002033860937199052,439057.0347628447
2,Orchard,GARDENA FARMS DISTRICT NO. 13,2019.5,2.7777777777777777,288.6666666666667,3605.3333333333335,1915.3333333333333,4681.777777777777,17.833333333333332,1842.111111111111,2.657,15.0,0.17,0.13,4681.777777777777,77251.05555555556,0.07110474804782559,1,2.7777777777777777,1,1,-4.88235294117647,67.4769500000001,77573.2267537037,0.8701307003544372,0.06822756521014021,0.04025582657007193,0.021385907865350707,17.578871735739934,0.004175810919281575,8515.958922620313
3,Seed,GARDENA FARMS DISTRICT NO. 13,2019.5,2.3,407.0,590.0,328.0,14000.0,0.39,14057.0,1.9686,15.0,0.17,0.74,14000.0,4100.5,0.248992673992674,1,2.3,1,1,-4.88235294117647,67.4769500000001,4033.02305,0.6059469369150109,0.27064556711427806,0.07931418586352888,0.044093310107182156,0.36606283389712535,9.613369505238325e-05,12138797.455118861
4,Vegetable,GARDENA FARMS DISTRICT NO. 13,2019.5,2.57,259.8,4244.6,5920.1,686.6,16.619999999999997,6745.4,2.952,15.0,0.17,0.3,775.8603472222222,1785.23,0.8617438926528317,1,2.57,1,1,-4.88235294117647,67.4769500000001,2364.27202083333,0.16093895887211643,0.23127115769101933,0.2538023689077016,0.35398751452916266,15.758014317785053,0.0004941639240568881,194304.55240649797
0,Hay/Silage,GREEN TANK IRRIGATION DISTRICT NO. 11,2019.5,2.3,407.0,341.0,157.0,275.0,5.0,9648.0,3.838,15.0,0.17,0.51,275.0,435.5,0.6832727272727273,1,2.3,1,1,-4.88235294117647,435.5,0.0,0.2512098196504781,0.6003005777549366,0.10167661543123209,0.04681298716335319,4.165409592607259,0.00020323220498813123,583471.3995705649
0,Cereal Grain,HUDSON BAY IRRIGATION DISTRICT NO.,2019.5,2.242857142857143,306.42857142857144,209.14285714285714,81.42857142857143,231.21428571428572,2.8000000000000003,18126.571428571428,2.08,15.0,0.17,0.74,253.45892857142857,60.557142857142885,0.925942505010988,1,2.242857142857143,1,1,-4.88235294117647,79.0421428571429,0.0,0.15978963511545682,0.719759443904873,0.08669623810926114,0.03375468287040905,2.179323721365897,7.455085241444652e-05,1338610.8476237687
1,Hay/Silage,HUDSON BAY IRRIGATION DISTRICT NO.,2019.5,2.2600000000000002,283.8,309.7,147.2,214.3,5.1,9640.7,3.838,15.0,0.17,0.51,220.638,345.79,0.7036529118694312,1,2.2600000000000002,1,1,-4.88235294117647,79.0421428571429,271.611657142857,0.21823440008923128,0.6246047516334476,0.10652815651452469,0.05063269176279636,4.198926592607563,0.0002033860937199052,439057.0347628445
2,Seed,HUDSON BAY IRRIGATION DISTRICT NO.,2019.5,2.3,407.0,590.0,328.0,14000.0,0.39,14057.0,1.9686,15.0,0.17,0.74,14000.0,4100.5,0.248992673992674,1,2.3,1,1,-4.88235294117647,79.0421428571429,4021.45785714286,0.605946936915011,0.270645567114278,0.07931418586352885,0.044093310107182135,0.36606283389712535,9.613369505238325e-05,12138797.455118868
3,Vegetable,HUDSON BAY IRRIGATION DISTRICT NO.,2019.5,2.4,226.5,3819.0,5326.5,255.0,21.5,6856.0,2.952,15.0,0.17,0.3,492.3017361111111,470.39999999999964,0.9523809523809524,1,2.4,1,1,-4.88235294117647,79.0421428571429,1097.44518353175,0.10681708684238722,0.19688605477368493,0.2907613254790028,0.405535532904925,20.570177880527037,0.000486192143134967,102943.17021487291
0,Hay/Silage,HYDRO-IRRIGATION DISTRICT NO. 9,2019.5,2.2600000000000002,283.8,309.7,147.2,214.3,5.1,9640.7,3.838,15.0,0.17,0.51,220.638,345.79,0.7036529118694312,1,2.2600000000000002,1,1,-4.88235294117647,350.6538,0.0,0.21823440008923137,0.6246047516334479,0.10652815651452471,0.050632691762796375,4.198926592607564,0.0002033860937199052,439057.03476284456
1,Vegetable,HYDRO-IRRIGATION DISTRICT NO. 9,2019.5,2.57,259.8,4244.6,5920.1,686.6,16.619999999999997,6745.4,2.952,15.0,0.17,0.3,775.8603472222222,1785.23,0.8617438926528317,1,2.57,1,1,-4.88235294117647,350.6538,2081.09517083333,0.16093895887211643,0.23127115769101933,0.2538023689077016,0.35398751452916266,15.758014317785053,0.0004941639240568881,194304.55240649797
0,Cereal Grain,LOWDEN IRRIGATION DISTRICT NO. 2,2019.5,2.2600000000000002,283.8,201.1,78.3,207.25,2.7600000000000002,18116.0,2.08,15.0,0.17,0.74,240.78875000000002,50.17250000000003,0.9338740392219773,1,2.2600000000000002,1,1,-4.88235294117647,67.4769500000001,0.0,0.14358136744254674,0.742216337008464,0.08219785839263334,0.032004437156355994,2.113392111888343,7.459435589265574e-05,1219155.9149025558
1,Hay/Silage,LOWDEN IRRIGATION DISTRICT NO. 2,2019.5,2.2600000000000002,283.8,309.7,147.2,214.3,5.1,9640.7,3.838,15.0,0.17,0.51,220.638,345.79,0.7036529118694312,1,2.2600000000000002,1,1,-4.88235294117647,67.4769500000001,283.17685,0.21823440008923137,0.6246047516334478,0.10652815651452469,0.050632691762796354,4.198926592607564,0.0002033860937199052,439057.0347628447
2,Seed,LOWDEN IRRIGATION DISTRICT NO. 2,2019.5,2.3,407.0,590.0,328.0,14000.0,0.39,14057.0,1.9686,15.0,0.17,0.74,14000.0,4100.5,0.248992673992674,1,2.3,1,1,-4.88235294117647,67.4769500000001,4033.02305,0.6059469369150109,0.27064556711427806,0.07931418586352888,0.044093310107182156,0.36606283389712535,9.613369505238325e-05,12138797.455118861
3,Vegetable,LOWDEN IRRIGATION DISTRICT NO. 2,2019.5,2.1999999999999997,151.0,3850.6666666666665,5370.666666666667,250.0,19.333333333333332,6796.0,2.952,15.0,0.17,0.3,547.5344907407407,470.2666666666664,0.9523809523809524,1,2.1999999999999997,1,1,-4.88235294117647,67.4769500000001,1112.85653765432,0.11000297174863652,0.1280736787991872,0.3181657942767329,0.44375755517544335,18.810207475960404,0.0004904845987835982,96830.73046399337
0,Cereal Grain,MUD CREEK IRRIGATION DISTRICT NO. 7,2019.5,2.2600000000000002,283.8,201.1,78.3,207.25,2.7600000000000002,18116.0,2.08,15.0,0.17,0.74,240.78875000000002,50.17250000000003,0.9338740392219773,1,2.2600000000000002,1,1,-4.88235294117647,67.4769500000001,0.0,0.14358136744254674,0.742216337008464,0.08219785839263334,0.032004437156355994,2.113392111888343,7.459435589265574e-05,1219155.9149025558
1,Hay/Silage,MUD CREEK IRRIGATION DISTRICT NO. 7,2019.5,2.3,407.0,341.0,157.0,275.0,5.0,9648.0,3.838,15.0,0.17,0.51,275.0,435.5,0.6832727272727273,1,2.3,1,1,-4.88235294117647,67.4769500000001,368.02305,0.2512098196504781,0.6003005777549365,0.10167661543123208,0.046812987163353185,4.165409592607259,0.00020323220498813123,583471.399570565
2,Seed,MUD CREEK IRRIGATION DISTRICT NO. 7,2019.5,2.3,407.0,590.0,328.0,14000.0,0.39,14057.0,1.9686,15.0,0.17,0.74,14000.0,4100.5,0.248992673992674,1,2.3,1,1,-4.88235294117647,67.4769500000001,4033.02305,0.6059469369150109,0.27064556711427806,0.07931418586352888,0.044093310107182156,0.36606283389712535,9.613369505238325e-05,12138797.455118861
3,Vegetable,MUD CREEK IRRIGATION DISTRICT NO. 7,2019.5,3.1666666666666665,319.3333333333333,4585.333333333333,6395.333333333333,872.0,15.666666666666666,6772.333333333333,2.952,15.0,0.17,0.3,872.0,2305.8333333333335,0.8315166749610966,1,3.1666666666666665,1,1,-4.88235294117647,67.4769500000001,2246.35638333333,0.09817541314433674,0.49241962960511015,0.17096031181891228,0.23844464543164084,13.644830171370355,0.0004921986513756953,190848.89787146592
0,Hay/Silage,ORCHARD IRRIGATION DISTRICT NO. 10,2019.5,2.44,242.6,307.4,150.6,173.0,5.2,9583.6,3.838,15.0,0.17,0.51,185.676,225.58,0.7642303157289335,1,2.44,1,1,-4.88235294117647,228.3152,0.0,0.12461432160714667,0.7541889973426916,0.0813446719537549,0.039852009096406925,3.932097132999363,0.0002045978874040538,323954.30523788155
1,Vegetable,ORCHARD IRRIGATION DISTRICT NO. 10,2019.5,2.6500000000000004,260.0,4047.0,5644.5,770.0,16.5,6680.0,2.952,15.0,0.17,0.3,770.0,2718.75,0.7870712334782091,1,2.6500000000000004,1,1,-4.88235294117647,228.3152,2485.4348,0.17191993404719444,0.2677901825334243,0.2339672040652361,0.32632267935414516,15.489501249316485,0.000499001996007984,212595.41758364928
0,Cereal Grain,TOUCHET IRRIGATION DISTRICT NO. 16,2019.5,2.2600000000000002,283.8,201.1,78.3,207.25,2.7600000000000002,18116.0,2.08,15.0,0.17,0.74,240.78875000000002,50.17250000000003,0.9338740392219773,1,2.2600000000000002,1,1,-4.88235294117647,67.4769500000001,0.0,0.14358136744254674,0.742216337008464,0.08219785839263334,0.032004437156355994,2.113392111888343,7.459435589265574e-05,1219155.9149025558
1,Hay/Silage,TOUCHET IRRIGATION DISTRICT NO. 16,2019.5,2.2600000000000002,283.8,309.7,147.2,214.3,5.1,9640.7,3.838,15.0,0.17,0.51,220.638,345.79,0.7036529118694312,1,2.2600000000000002,1,1,-4.88235294117647,67.4769500000001,283.17685,0.21823440008923137,0.6246047516334478,0.10652815651452469,0.050632691762796354,4.198926592607564,0.0002033860937199052,439057.0347628447
2,Orchard,TOUCHET IRRIGATION DISTRICT NO. 16,2019.5,2.766666666666667,234.33333333333334,3264.0,1734.0,4445.0,17.333333333333332,1925.6666666666667,2.657,15.0,0.17,0.13,4445.0,71990.5,0.06928680311468724,1,2.766666666666667,1,1,-4.88235294117647,67.4769500000001,71705.3563833333,0.8678355619367667,0.07192818187725239,0.03933796322349777,0.020898292962483193,17.072223909369434,0.003994620577622136,8225.710183138672
3,Seed,TOUCHET IRRIGATION DISTRICT NO. 16,2019.5,2.3,407.0,590.0,328.0,14000.0,0.39,14057.0,1.9686,15.0,0.17,0.74,14000.0,4100.5,0.248992673992674,1,2.3,1,1,-4.88235294117647,67.4769500000001,4033.02305,0.6059469369150109,0.27064556711427806,0.07931418586352888,0.044093310107182156,0.36606283389712535,9.613369505238325e-05,12138797.455118861
4,Vegetable,TOUCHET IRRIGATION DISTRICT NO. 16,2019.5,2.75,292.25,4308.25,6008.875,730.75,16.775,6761.75,2.952,15.0,0.17,0.3,790.0754340277778,1768.475,0.8636233855316181,1,2.75,1,1,-4.88235294117647,67.4769500000001,2535.41345581597,0.15260082930956725,0.303590715691948,0.22708484934002662,0.3167236056584582,15.58674548857381,0.0004929690292207392,209508.53594129896
0,Cereal Grain,TWO RIVERS IRRIGATION DISTRICT NO. 19,2019.5,2.2600000000000002,283.8,201.1,78.3,207.25,2.7600000000000002,18116.0,2.08,15.0,0.17,0.74,240.78875000000002,50.17250000000003,0.9338740392219773,1,2.2600000000000002,1,1,-4.88235294117647,67.4769500000001,0.0,0.14358136744254674,0.742216337008464,0.08219785839263334,0.032004437156355994,2.113392111888343,7.459435589265574e-05,1219155.9149025558
1,Hay/Silage,TWO RIVERS IRRIGATION DISTRICT NO. 19,2019.5,2.2555555555555555,270.1111111111111,306.22222222222223,146.11111111111111,207.55555555555554,5.111111111111111,9639.888888888889,3.838,15.0,0.17,0.51,214.5977777777778,335.82222222222225,0.7059173768246204,1,2.2555555555555555,1,1,-4.88235294117647,67.4769500000001,273.078358641975,0.21367264450434736,0.62805557829546,0.10714738834776001,0.05112438885243266,4.200761262277004,0.00020340320685495927,422560.05036936584
2,Orchard,TWO RIVERS IRRIGATION DISTRICT NO. 19,2019.5,2.7777777777777777,288.6666666666667,3605.3333333333335,1915.3333333333333,4681.777777777777,17.833333333333332,1842.111111111111,2.657,15.0,0.17,0.13,4681.777777777777,77251.05555555556,0.07110474804782559,1,2.7777777777777777,1,1,-4.88235294117647,67.4769500000001,77573.2267537037,0.8701307003544372,0.06822756521014021,0.04025582657007193,0.021385907865350707,17.578871735739934,0.004175810919281575,8515.958922620313
3,Vegetable,TWO RIVERS IRRIGATION DISTRICT NO. 19,2019.5,2.57,259.8,4244.6,5920.1,686.6,16.619999999999997,6745.4,2.952,15.0,0.17,0.3,775.8603472222222,1785.23,0.8617438926528317,1,2.57,1,1,-4.88235294117647,67.4769500000001,2364.27202083333,0.16093895887211643,0.23127115769101933,0.2538023689077016,0.35398751452916266,15.758014317785053,0.0004941639240568881,194304.55240649797
0,Cereal Grain,WALLA WALLA WATER & POWER DISTRICT NO. 18,2019.5,2.2600000000000002,293.6,206.2,80.2,227.2,2.6,18108.6,2.08,15.0,0.17,0.74,258.9525,32.81000000000004,0.952089562785439,1,2.2600000000000002,1,1,-4.88235294117647,59.3765,0.0,0.14376483528081277,0.7395864676404162,0.08398380355322121,0.03266489352554967,1.994736179394293,7.46248385491618e-05,1224554.032870239
1,Seed,WALLA WALLA WATER & POWER DISTRICT NO. 18,2019.5,2.3,407.0,590.0,328.0,14000.0,0.39,14057.0,1.9686,15.0,0.17,0.74,14000.0,4100.5,0.248992673992674,1,2.3,1,1,-4.88235294117647,59.3765,4041.1235,0.6059469369150109,0.27064556711427806,0.07931418586352888,0.044093310107182156,0.36606283389712535,9.613369505238325e-05,12138797.455118861
2,Vegetable,WALLA WALLA WATER & POWER DISTRICT NO. 18,2019.5,2.6555555555555554,288.6666666666667,4281.333333333333,5971.333333333333,736.2222222222222,16.799999999999997,6753.111111111111,2.952,15.0,0.17,0.3,788.9559413580247,1931.3666666666666,0.851673108238596,1,2.6555555555555554,1,1,-4.88235294117647,59.3765,2613.91664814815,0.16543483362327566,0.2619212717123574,0.23912602194775767,0.33351787271660943,15.796537304613473,0.0004935996577709039,214070.11343102547
0,Hay/Silage,WATER DISTRIBUTION DISTRICT NO.  1,2019.5,2.25,270.125,309.375,148.125,209.625,5.125,9644.625,3.838,15.0,0.17,0.51,217.5475,347.8625,0.7005052164669651,1,2.25,1,1,-4.88235294117647,353.5559375,0.0,0.21881361333545188,0.6206760646684248,0.10854181610393604,0.051968505892187565,4.228645764565022,0.00020330332322153428,431777.6764202672
1,Seed,WATER DISTRIBUTION DISTRICT NO.  1,2019.5,2.3,407.0,590.0,328.0,14000.0,0.39,14057.0,1.9686,15.0,0.17,0.74,14000.0,4100.5,0.248992673992674,1,2.3,1,1,-4.88235294117647,353.5559375,3746.9440625,0.605946936915011,0.27064556711427806,0.07931418586352888,0.044093310107182156,0.36606283389712535,9.613369505238325e-05,12138797.455118863
0,Cereal Grain,WEST SIDE IRRIGATION DISTRICT NO. 5,2019.5,2.2600000000000002,283.8,201.1,78.3,207.25,2.7600000000000002,18116.0,2.08,15.0,0.17,0.74,240.78875000000002,50.17250000000003,0.9338740392219773,1,2.2600000000000002,1,1,-4.88235294117647,67.4769500000001,0.0,0.14358136744254674,0.742216337008464,0.08219785839263334,0.032004437156355994,2.113392111888343,7.459435589265574e-05,1219155.9149025558
1,Hay/Silage,WEST SIDE IRRIGATION DISTRICT NO. 5,2019.5,2.2600000000000002,283.8,309.7,147.2,214.3,5.1,9640.7,3.838,15.0,0.17,0.51,220.638,345.79,0.7036529118694312,1,2.2600000000000002,1,1,-4.88235294117647,67.4769500000001,283.17685,0.21823440008923137,0.6246047516334478,0.10652815651452469,0.050632691762796354,4.198926592607564,0.0002033860937199052,439057.0347628447
2,Seed,WEST SIDE IRRIGATION DISTRICT NO. 5,2019.5,2.3,407.0,590.0,328.0,14000.0,0.39,14057.0,1.9686,15.0,0.17,0.74,14000.0,4100.5,0.248992673992674,1,2.3,1,1,-4.88235294117647,67.4769500000001,4033.02305,0.6059469369150109,0.27064556711427806,0.07931418586352888,0.044093310107182156,0.36606283389712535,9.613369505238325e-05,12138797.455118861
3,Vegetable,WEST SIDE IRRIGATION DISTRICT NO. 5,2019.5,2.57,259.8,4244.6,5920.1,686.6,16.619999999999997,6745.4,2.952,15.0,0.17,0.3,775.8603472222222,1785.23,0.8617438926528317,1,2.57,1,1,-4.88235294117647,67.4769500000001,2364.27202083333,0.16093895887211643,0.23127115769101933,0.2538023689077016,0.35398751452916266,15.758014317785053,0.0004941639240568881,194304.55240649797
