g,i,year,xwater,xland,p,y,omegalabor,omegasupply,omegaland,Etc
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2019,2.06,7,780,16.6,5671,4066,260,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2020,1.86,27,193.63,3.13,76,194,270,2.081091
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2020,1.94,59,191,4.81,130,281,270,3.83877
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2020,2.25,11,5000,0.36,270,486,270,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2020,2.55,30,780,16.52,5724,4104,270,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2020,2.19,1,888.67,4.38,2376,3132,270,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2021,1.82,53,275.03,1.86,79,203,281,2.081091
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2021,1.88,18,232,4.68,136,294,281,3.83877
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2021,1.8,19,6000,0.35,283,509,281,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2021,2.5,17,856,15.25,5989,4294,281,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2021,2.18,1,936.67,3.97,2486,3277,281,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2022,1.84,53,263.93,2.77,85,220,383,2.081091
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2022,2.03,18,320,5.3,146,317,383,3.83877
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2022,1.89,19,7000,0.37,305,549,383,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2022,2.45,17,900,15.44,6466,4636,383,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2022,2.08,1,903,5.8,2684,3538,383,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2023,1.62,53,255.3,2.26,89,229,294,2.081091
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2023,1.84,18,258,5.11,152,330,294,3.83877
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2023,1.75,19,6200,0.39,318,572,294,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2023,2.58,17,860,16.63,6731,4826,294,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2023,2.25,1,935.33,4.78,2794,3683,294,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2024,2.01,57,277.5,3.6,92,236,407,2.081091
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2024,2.1,12,275,5,157,341,407,3.83877
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2024,1.91,10,5800,0.39,328,590,407,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2024,2.35,17,1180,11.2,6943,4978,407,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2024,1.81,1,940,4.33,2882,3799,407,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Berry,2015,1.86,1,2273,3.96,5400,7600,222,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2015,1.83,17,160,2.21,70,180,222,2.081091
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2015,1.79,10,174,5.42,120,260,222,3.83877
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Seed,2015,2.04,7,3600,0.35,250,450,222,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2015,1.89,1,255,26.89,5300,3800,222,2.9529
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Berry,2016,1.97,1,1900,4.17,5454,7676,231,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2016,1.74,17,146,3.1,71,182,231,2.081091
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2016,1.74,10,142,5.43,253,455,231,3.83877
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Seed,2016,2.25,7,3800,0.38,253,455,231,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2016,1.77,1,255,16.19,5353,3838,231,2.9529
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Berry,2017,1.87,1,1700,4.02,5562,7828,240,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2017,2,17,148,2.86,72,185,240,2.081091
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2017,1.84,10,172,5.69,124,268,240,3.83877
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Seed,2017,2.18,7,4000,0.39,258,464,240,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2017,1.82,1,240,15.47,5459,3914,240,2.9529
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2018,1.68,16,172.67,3.05,74,189,250,2.081091
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2018,2.01,10,186,4.76,126,273,250,3.83877
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2018,1.68,2,760,16.31,5565,3990,250,2.9529
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2020,1.66,16,193.63,3.13,76,194,270,2.081091
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2020,1.89,10,191,4.81,130,281,270,3.83877
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2020,1.44,2,780,16.52,5724,4104,270,2.9529
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2021,1.77,4,275.03,1.86,79,203,281,2.081091
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2021,1.44,9,232,4.68,136,294,281,3.83877
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Seed,2021,1.76,7,6000,0.35,283,509,281,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2021,1.81,2,856,15.25,5989,4294,281,2.9529
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2022,1.81,4,263.93,2.77,85,220,383,2.081091
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2022,1.81,9,320,5.3,146,317,383,3.83877
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Seed,2022,1.92,7,7000,0.37,305,549,383,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2022,1.6,2,900,15.44,6466,4636,383,2.9529
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2023,1.58,4,255.3,2.26,89,229,294,2.081091
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2023,1.6,9,258,5.11,152,330,294,3.83877
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Seed,2023,1.79,7,6200,0.39,318,572,294,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2023,1.97,2,860,16.63,6731,4826,294,2.9529
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2024,2.34,10,275,5,157,341,407,3.83877
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2024,1.77,2,1180,11.2,6943,4978,407,2.9529
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2015,2.68,15,174,5.42,120,260,222,3.83877
BRADEN IRRIGATION DISTRICT NO. 20,Seed,2015,1.21,7,3600,0.35,250,450,222,1.9686
BRADEN IRRIGATION DISTRICT NO. 20,Vineyard,2015,1.94,4,678.67,5.79,2200,2900,222,1.9686
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2016,2.51,15,142,5.43,253,455,231,3.83877
BRADEN IRRIGATION DISTRICT NO. 20,Seed,2016,2.02,7,3800,0.38,253,455,231,1.9686
BRADEN IRRIGATION DISTRICT NO. 20,Vineyard,2016,1.51,4,702.67,6.71,2222,2929,231,1.9686
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2017,2.37,15,172,5.69,124,268,240,3.83877
BRADEN IRRIGATION DISTRICT NO. 20,Seed,2017,1.35,7,4000,0.39,258,464,240,1.9686
BRADEN IRRIGATION DISTRICT NO. 20,Vineyard,2017,1.61,4,730.33,5.74,2266,2987,240,1.9686
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2018,1.51,15,186,4.76,126,273,250,3.83877
BRADEN IRRIGATION DISTRICT NO. 20,Vineyard,2018,1.81,4,734,6.32,2310,3045,250,1.9686
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2020,1.85,15,191,4.81,130,281,270,3.83877
BRADEN IRRIGATION DISTRICT NO. 20,Vineyard,2020,1.33,4,888.67,4.38,2376,3132,270,1.9686
BRADEN IRRIGATION DISTRICT NO. 20,Cereal Grain,2021,1.73,15,275.03,1.86,79,203,281,2.081091
BRADEN IRRIGATION DISTRICT NO. 20,Vineyard,2021,1.91,4,936.67,3.97,2486,3277,281,1.9686
BRADEN IRRIGATION DISTRICT NO. 20,Cereal Grain,2022,2.07,15,263.93,2.77,85,220,383,2.081091
BRADEN IRRIGATION DISTRICT NO. 20,Vineyard,2022,1.69,4,903,5.8,2684,3538,383,1.9686
BRADEN IRRIGATION DISTRICT NO. 20,Cereal Grain,2023,1.86,15,255.3,2.26,89,229,294,2.081091
BRADEN IRRIGATION DISTRICT NO. 20,Vineyard,2023,2.41,4,935.33,4.78,2794,3683,294,1.9686
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2024,1.6,15,275,5,157,341,407,3.83877
BRADEN IRRIGATION DISTRICT NO. 20,Vineyard,2024,2.66,5,940,4.33,2882,3799,407,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2015,2.16,2,160,2.21,70,180,222,2.081091
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2015,2.58,7,174,5.42,120,260,222,3.83877
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2015,2.4,3,3600,0.35,250,450,222,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2015,2.24,24,255,26.89,5300,3800,222,2.9529
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2016,1.82,2,146,3.1,71,182,231,2.081091
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2016,2.18,7,142,5.43,253,455,231,3.83877
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2016,2.02,3,3800,0.38,253,455,231,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2016,2.23,24,255,16.19,5353,3838,231,2.9529
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2017,1.81,2,148,2.86,72,185,240,2.081091
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2017,2.17,7,172,5.69,124,268,240,3.83877
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2017,2.01,3,4000,0.39,258,464,240,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2017,2.25,24,240,15.47,5459,3914,240,2.9529
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2018,1.95,25,172.67,3.05,74,189,250,2.081091
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2018,1.95,4,186,4.76,126,273,250,3.83877
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2018,2.43,1,4200,0.4,263,473,250,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2020,2.03,25,193.63,3.13,76,194,270,2.081091
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2020,2.03,4,191,4.81,130,281,270,3.83877
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2020,2.43,1,5000,0.36,270,486,270,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2021,2.23,16,275.03,1.86,79,203,281,2.081091
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2021,2.23,2,232,4.68,136,294,281,3.83877
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2021,2.23,15,6000,0.35,283,509,281,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2021,2.31,1,856,15.25,5989,4294,281,2.9529
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2022,1.94,16,263.93,2.77,85,220,383,2.081091
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2022,1.94,2,320,5.3,146,317,383,3.83877
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2022,1.94,15,7000,0.37,305,549,383,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2022,2.27,1,900,15.44,6466,4636,383,2.9529
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2023,1.96,16,255.3,2.26,89,229,294,2.081091
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2023,1.96,2,258,5.11,152,330,294,3.83877
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2023,1.96,15,6200,0.39,318,572,294,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2023,2.19,1,860,16.63,6731,4826,294,2.9529
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2024,2.36,22,277.5,3.6,92,236,407,2.081091
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2024,1.95,11,5800,0.39,328,590,407,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2024,2.39,1,1180,11.2,6943,4978,407,2.9529
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2015,2.82,179,160,2.21,70,180,222,2.081091
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2015,2.84,264,174,5.42,120,260,222,3.83877
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2015,2.11,260,3600,0.35,250,450,222,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2015,2.44,122,255,26.89,5300,3800,222,2.9529
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2016,2.58,179,146,3.1,71,182,231,2.081091
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2016,2.74,264,142,5.43,253,455,231,3.83877
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2016,2.23,260,3800,0.38,253,455,231,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2016,2.03,122,255,16.19,5353,3838,231,2.9529
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2017,2.46,198,148,2.86,72,185,240,2.081091
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2017,2.32,223,172,5.69,124,268,240,3.83877
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2017,2.18,439,4000,0.39,258,464,240,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2018,2.69,289,172.67,3.05,74,189,250,2.081091
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2018,2.89,179,186,4.76,126,273,250,3.83877
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2018,2.25,324,4200,0.4,263,473,250,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2018,1.97,61,760,16.31,5565,3990,250,2.9529
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2019,2.34,258,180.44,2.84,75,193,260,2.081091
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2019,2.56,179,193,4.65,128,278,260,3.83877
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2019,1.83,359,4400,0.38,268,482,260,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2019,2.17,44,780,16.6,5671,4066,260,2.9529
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2020,2.5,258,193.63,3.13,76,194,270,2.081091
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2020,2.68,179,191,4.81,130,281,270,3.83877
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2020,2.14,359,5000,0.36,270,486,270,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2020,2.11,44,780,16.52,5724,4104,270,2.9529
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2021,2.65,181,275.03,1.86,79,203,281,2.081091
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2021,2.23,199,232,4.68,136,294,281,3.83877
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2021,2.43,274,6000,0.35,283,509,281,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2021,2.1,154,856,15.25,5989,4294,281,2.9529
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2022,2.67,181,263.93,2.77,85,220,383,2.081091
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2022,2.28,199,320,5.3,146,317,383,3.83877
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2022,2.72,274,7000,0.37,305,549,383,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2022,2.18,154,900,15.44,6466,4636,383,2.9529
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2023,2.47,181,255.3,2.26,89,229,294,2.081091
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2023,2.24,199,258,5.11,152,330,294,3.83877
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2023,3.04,274,6200,0.39,318,572,294,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2023,2.04,154,860,16.63,6731,4826,294,2.9529
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2024,2.95,217,277.5,3.6,92,236,407,2.081091
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2024,2.06,102,275,5,157,341,407,3.83877
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2024,1.82,411,5800,0.39,328,590,407,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2024,2.61,2,1180,11.2,6943,4978,407,2.9529
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2015,2.84,2030,160,2.21,70,180,222,2.081091
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2015,3.02,1185,174,5.42,120,260,222,3.83877
GARDENA FARMS DISTRICT NO. 13,Orchard,2015,2.64,7,4446,16.16,1700,3200,222,2.65761
GARDENA FARMS DISTRICT NO. 13,Seed,2015,2.31,4613,3600,0.35,250,450,222,1.9686
GARDENA FARMS DISTRICT NO. 13,Vegetable,2015,3.06,164,255,26.89,5300,3800,222,2.9529
GARDENA FARMS DISTRICT NO. 13,Vineyard,2015,2.56,4,678.67,5.79,2200,2900,222,1.9686
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2016,2.63,2030,146,3.1,71,182,231,2.081091
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2016,2.65,1185,142,5.43,253,455,231,3.83877
GARDENA FARMS DISTRICT NO. 13,Orchard,2016,2.54,7,4772,18.6,1717,3232,231,2.65761
GARDENA FARMS DISTRICT NO. 13,Seed,2016,2.81,4613,3800,0.38,253,455,231,1.9686
GARDENA FARMS DISTRICT NO. 13,Vegetable,2016,2.71,164,255,16.19,5353,3838,231,2.9529
GARDENA FARMS DISTRICT NO. 13,Vineyard,2016,2.29,4,702.67,6.71,2222,2929,231,1.9686
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2017,2.45,1937,148,2.86,72,185,240,2.081091
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2017,2.44,1102,172,5.69,124,268,240,3.83877
GARDENA FARMS DISTRICT NO. 13,Orchard,2017,2.38,7,4400,19,1751,3296,240,2.65761
GARDENA FARMS DISTRICT NO. 13,Seed,2017,2.32,4751,4000,0.39,258,464,240,1.9686
GARDENA FARMS DISTRICT NO. 13,Vegetable,2017,2.47,189,240,15.47,5459,3914,240,2.9529
GARDENA FARMS DISTRICT NO. 13,Vineyard,2017,2.33,4,730.33,5.74,2266,2987,240,1.9686
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2018,2.63,2845,172.67,3.05,74,189,250,2.081091
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2018,2.62,1105,186,4.76,126,273,250,3.83877
GARDENA FARMS DISTRICT NO. 13,Orchard,2018,2.43,7,4117,17.27,1785,3360,250,2.65761
GARDENA FARMS DISTRICT NO. 13,Seed,2018,2.48,3746,4200,0.4,263,473,250,1.9686
GARDENA FARMS DISTRICT NO. 13,Vegetable,2018,2.58,332,760,16.31,5565,3990,250,2.9529
GARDENA FARMS DISTRICT NO. 13,Vineyard,2018,2.18,4,734,6.32,2310,3045,250,1.9686
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2019,2.51,2700,180.44,2.84,75,193,260,2.081091
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2019,2.32,1037,193,4.65,128,278,260,3.83877
GARDENA FARMS DISTRICT NO. 13,Orchard,2019,2.25,7,4142,18.86,1819,3424,260,2.65761
GARDENA FARMS DISTRICT NO. 13,Seed,2019,2.37,3746,4400,0.38,268,482,260,1.9686
GARDENA FARMS DISTRICT NO. 13,Vegetable,2019,2.37,477,780,16.6,5671,4066,260,2.9529
GARDENA FARMS DISTRICT NO. 13,Vineyard,2019,2.3,4,776.67,5.31,2354,3103,260,1.9686
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2020,2.48,2700,193.63,3.13,76,194,270,2.081091
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2020,2.34,1105,191,4.81,130,281,270,3.83877
GARDENA FARMS DISTRICT NO. 13,Orchard,2020,2.23,7,5536,16.88,1836,3456,270,2.65761
GARDENA FARMS DISTRICT NO. 13,Seed,2020,2.63,3746,5000,0.36,270,486,270,1.9686
GARDENA FARMS DISTRICT NO. 13,Vegetable,2020,2.46,477,780,16.52,5724,4104,270,2.9529
GARDENA FARMS DISTRICT NO. 13,Vineyard,2020,2.42,4,888.67,4.38,2376,3132,270,1.9686
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2021,2.75,2268,275.03,1.86,79,203,281,2.081091
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2021,1.67,1190,232,4.68,136,294,281,3.83877
GARDENA FARMS DISTRICT NO. 13,Oilseed,2021,2.78,110,400,0.55,848,678,281,1.9686
GARDENA FARMS DISTRICT NO. 13,Orchard,2021,2.2,7,4677,17.05,1921,3616,281,2.65761
GARDENA FARMS DISTRICT NO. 13,Seed,2021,2.34,3572,6000,0.35,283,509,281,1.9686
GARDENA FARMS DISTRICT NO. 13,Vegetable,2021,2.31,729,856,15.25,5989,4294,281,2.9529
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2022,2.59,2268,263.93,2.77,85,220,383,2.081091
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2022,1.97,1190,320,5.3,146,317,383,3.83877
GARDENA FARMS DISTRICT NO. 13,Oilseed,2022,2.59,110,590,0.85,915,732,383,1.9686
GARDENA FARMS DISTRICT NO. 13,Orchard,2022,2.41,7,5655,15.27,2074,3904,383,2.65761
