,i,g,year,xwater,xland,p,y,omegalabor,omegasupply,omegaland,Etc,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
0,Cereal Grain,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2023.0,1.96,16.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,297.995575221239,32.07000000000005,0.9523809523809523,1,1.96,1,1,-4.88235294117647,32.0700000000001,0.0,0.22806116089487785,0.549522029326329,0.16016807999793603,0.06224872978085724,1.937066663156915,0.08445945945945946,999.489211862277
1,Hay/Silage,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2023.0,1.96,2.0,258.0,5.11,152.0,330.0,294.0,3.83877,15.0,0.17,0.51,258.0,512.9800000000001,0.6109012576040291,1,1.96,1,1,-4.88235294117647,32.0700000000001,480.91,0.3889701245560486,0.378702432340014,0.15906235731182436,0.07326508579211304,4.6568341604142764,0.9803921568627451,115.85242679418303
2,Seed,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2023.0,1.96,15.0,6200.0,0.39,318.0,572.0,294.0,1.9686,15.0,0.17,0.74,6200.0,1204.6,0.5018196856906535,1,1.96,1,1,-4.88235294117647,32.0700000000001,1172.53,0.4721073505659957,0.2475139346310308,0.1801984549070796,0.10018025989589391,0.36885637105674224,0.0900900900900901,4306.49821998576
0,Cereal Grain,EAST SIDE IRRIGATION DISTRICT NO. 6,2023.0,2.47,181.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,301.54977876106193,32.452499999999986,0.9523809523809524,1,2.47,1,1,-4.88235294117647,32.4525,0.0,0.08806538906933953,0.8261494087219168,0.06177613618176841,0.024009066026975497,1.5975489549852504,0.007466029565477079,11319.98518345755
1,Hay/Silage,EAST SIDE IRRIGATION DISTRICT NO. 6,2023.0,2.24,199.0,258.0,5.11,152.0,330.0,294.0,3.83877,15.0,0.17,0.51,258.0,508.7800000000001,0.6140869855428632,1,2.24,1,1,-4.88235294117647,32.4525,476.3275,0.2668700338759697,0.5728975782615805,0.10970267218798427,0.05052971567446548,4.315619423864243,0.009853187506158243,11467.321510560983
2,Seed,EAST SIDE IRRIGATION DISTRICT NO. 6,2023.0,3.04,274.0,6200.0,0.39,318.0,572.0,294.0,1.9686,15.0,0.17,0.74,6200.0,1188.4,0.5085194375516956,1,3.04,1,1,-4.88235294117647,32.4525,1155.9475,0.1161736134879305,0.814078332002991,0.04482683952718311,0.024921214981895506,0.2773976841861551,0.004931939238508582,77814.98782855505
3,Vegetable,EAST SIDE IRRIGATION DISTRICT NO. 6,2023.0,2.04,154.0,860.0,16.63,6731.0,4826.0,294.0,2.9529,15.0,0.17,0.3,860.0,2420.199999999999,0.8307765456096436,1,2.04,1,1,-4.88235294117647,32.4525,2387.7475,0.17780154007996588,0.06512366856193022,0.31614112166602143,0.44093366969208253,16.40939853726695,0.021645021645021648,4473.377496731792
0,Cereal Grain,GARDENA FARMS DISTRICT NO. 13,2023.0,2.52,2268.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,301.8982300884956,32.49000000000001,0.9523809523809523,1,2.52,1,1,-4.88235294117647,32.49,0.0,0.07982371225142897,0.8424283000737436,0.055988330746966936,0.02175965692786051,1.5660526677051292,0.0005958339291672625,141860.08601433638
1,Hay/Silage,GARDENA FARMS DISTRICT NO. 13,2023.0,2.07,1190.0,258.0,5.11,152.0,330.0,294.0,3.83877,15.0,0.17,0.51,258.0,511.33000000000015,0.6121527935799996,1,2.07,1,1,-4.88235294117647,32.49,478.84,0.33971438484132205,0.4569623396150904,0.1392047322186387,0.06411854332494873,4.531364398673006,0.0016477179106936892,68791.25101953559
2,Oilseed,GARDENA FARMS DISTRICT NO. 13,2023.0,2.48,110.0,470.0,0.82,953.0,762.0,294.0,1.9686,15.0,0.17,0.74,2620.1341463414637,102.31000000000017,0.9523809523809523,1,2.48,1,1,-4.88235294117647,32.49,69.8200000000004,0.07552432076035526,0.5976501888305983,0.14521342489311562,0.18161206551593065,0.6829402667749364,0.012285012285012284,8351.702213260442
3,Orchard,GARDENA FARMS DISTRICT NO. 13,2023.0,2.33,7.0,4010.0,18.67,2159.0,4064.0,294.0,2.65761,15.0,0.17,0.13,4010.0,68314.75000000001,0.08751487644039338,1,2.33,1,1,-4.88235294117647,32.49,68282.26,0.8909707337965426,0.028215800334805224,0.052776140975446265,0.028037324893205828,18.562647402203094,1.0989010989010988,28.490109296729845
4,Seed,GARDENA FARMS DISTRICT NO. 13,2023.0,2.3,3572.0,6200.0,0.39,318.0,572.0,294.0,1.9686,15.0,0.17,0.74,6200.0,1199.5,0.5039288668320926,1,2.3,1,1,-4.88235294117647,32.49,1167.01,0.3396811617738212,0.45789752320863547,0.13009549684273566,0.0723258181748076,0.3450465232247317,0.00037831784752277476,1022030.7481210051
5,Vegetable,GARDENA FARMS DISTRICT NO. 13,2023.0,2.33,729.0,860.0,16.63,6731.0,4826.0,294.0,2.9529,15.0,0.17,0.3,860.0,2415.8499999999985,0.8310807031282776,1,2.33,1,1,-4.88235294117647,32.49,2383.36,0.16483680175400756,0.13216527663739228,0.2935595716607342,0.4094383499478661,16.16220484334747,0.004572473708276178,21141.985069717746
0,Cereal Grain,HUDSON BAY IRRIGATION DISTRICT NO.,2023.0,2.05,79.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,298.6227876106195,32.137500000000045,0.9523809523809523,1,2.05,1,1,-4.88235294117647,32.1375,0.0,0.1956101351458409,0.6136604241232483,0.137349188450876,0.05338025228003477,1.8778458256044979,0.017105713308244952,4935.999577135456
1,Hay/Silage,HUDSON BAY IRRIGATION DISTRICT NO.,2023.0,1.82,66.0,258.0,5.11,152.0,330.0,294.0,3.83877,15.0,0.17,0.51,258.0,515.0800000000002,0.6093083936346121,1,1.82,1,1,-4.88235294117647,32.1375,482.9425,0.44970142290905146,0.2823941846425344,0.18342001972609256,0.08448437272232144,4.794737658305489,0.029708853238265,3833.078996420037
0,Hay/Silage,HYDRO-IRRIGATION DISTRICT NO. 9,2023.0,1.42,7.0,258.0,5.11,152.0,330.0,294.0,3.83877,15.0,0.17,0.51,258.0,521.0800000000002,0.604757353721992,1,1.42,1,1,-4.88235294117647,521.08,0.0,0.575993155007809,0.08339156708847112,0.2332013313448704,0.1074139465588494,5.036447170105543,0.2801120448179272,409.55350332091166
1,Vegetable,HYDRO-IRRIGATION DISTRICT NO. 9,2023.0,1.87,15.0,860.0,16.63,6731.0,4826.0,294.0,2.9529,15.0,0.17,0.3,860.0,2422.75,0.8305982463745822,1,1.87,1,1,-4.88235294117647,521.08,1901.67,0.18270460116220336,0.04007369068224899,0.32455411988912974,0.4526675882664179,16.497907320643833,0.2222222222222222,436.12794641766595
0,Cereal Grain,LOWDEN IRRIGATION DISTRICT NO. 2,2023.0,2.48,325.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,301.61946902654876,32.460000000000036,0.9523809523809523,1,2.48,1,1,-4.88235294117647,32.46,0.0,0.08635140212558813,0.8295349365500935,0.06057241648826712,0.02354124483605141,1.5911985609770591,0.004158004158004158,20326.407219688568
1,Hay/Silage,LOWDEN IRRIGATION DISTRICT NO. 2,2023.0,2.63,29.0,258.0,5.11,152.0,330.0,294.0,3.83877,15.0,0.17,0.51,258.0,502.93000000000006,0.6185242494576677,1,2.63,1,1,-4.88235294117647,32.46,470.47,0.1395897268229864,0.7759834749278833,0.05780257971413488,0.02662421853499546,3.7848448543850672,0.0676132521974307,1658.9394780958387
2,Seed,LOWDEN IRRIGATION DISTRICT NO. 2,2023.0,2.22,318.0,6200.0,0.39,318.0,572.0,294.0,1.9686,15.0,0.17,0.74,6200.0,1200.7,0.5034325889164598,1,2.22,1,1,-4.88235294117647,32.46,1168.24,0.3718631929918755,0.4067156243207831,0.14230664774961715,0.07911453493772423,0.35144552170040105,0.004249532551419344,91060.16632560366
0,Cereal Grain,MUD CREEK IRRIGATION DISTRICT NO. 7,2023.0,2.67,40.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,302.9435840707965,32.602499999999964,0.9523809523809524,1,2.67,1,1,-4.88235294117647,32.6025,0.0,0.059532568501229156,0.8825029126007502,0.041741744741027625,0.01622277415699327,1.4756856866953423,0.03378378378378378,2502.8036565557195
1,Seed,MUD CREEK IRRIGATION DISTRICT NO. 7,2023.0,2.65,3.0,6200.0,0.39,318.0,572.0,294.0,1.9686,15.0,0.17,0.74,6200.0,1194.25,0.5061000827129859,1,2.65,1,1,-4.88235294117647,32.6025,1161.6475,0.2122948852063715,0.6607489932860386,0.08159427135094541,0.04536185015664447,0.3136033826687921,0.4504504504504505,855.3511245020428
2,Vegetable,MUD CREEK IRRIGATION DISTRICT NO. 7,2023.0,2.48,6.0,860.0,16.63,6731.0,4826.0,294.0,2.9529,15.0,0.17,0.3,860.0,2413.5999999999985,0.8312380259827435,1,2.48,1,1,-4.88235294117647,32.6025,2380.9975,0.15560258930339532,0.18023020557792402,0.27734454719241614,0.3868226579262646,15.975202084773162,0.5555555555555556,173.863627896637
0,Cereal Grain,TOUCHET IRRIGATION DISTRICT NO. 16,2023.0,1.71,573.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,296.2533185840708,31.88250000000005,0.9523809523809523,1,1.71,1,1,-4.88235294117647,31.8825000000001,0.0,0.3271995204763457,0.35351531535718966,0.2299254798557245,0.0893596843107401,2.08344424357141,0.0023583793217301073,35773.62466026043
1,Hay/Silage,TOUCHET IRRIGATION DISTRICT NO. 16,2023.0,2.48,895.0,258.0,5.11,152.0,330.0,294.0,3.83877,15.0,0.17,0.51,258.0,505.18000000000006,0.6168176094904352,1,2.48,1,1,-4.88235294117647,31.8825000000001,473.2975,0.18091970522909231,0.709964328504957,0.07470595200780858,0.034410014258142135,3.989023405232984,0.0021908204622631175,51342.85452465413
2,Oilseed,TOUCHET IRRIGATION DISTRICT NO. 16,2023.0,2.16,56.0,470.0,0.82,953.0,762.0,294.0,1.9686,15.0,0.17,0.74,2613.9878048780492,102.07000000000016,0.9523809523809523,1,2.16,1,1,-4.88235294117647,31.8825000000001,70.1875000000001,0.11308157704606749,0.39727036924119064,0.21755791074583625,0.2720901429669055,0.7415382265352384,0.02413127413127413,4249.200854105015
3,Seed,TOUCHET IRRIGATION DISTRICT NO. 16,2023.0,2.14,366.0,6200.0,0.39,318.0,572.0,294.0,1.9686,15.0,0.17,0.74,6200.0,1201.9,0.5029363110008271,1,2.14,1,1,-4.88235294117647,31.8825000000001,1170.0175,0.40394231264239194,0.35572834832977956,0.15445885609428986,0.08587048293353876,0.3573938257684105,0.003692216806970906,104889.23846893865
4,Vegetable,TOUCHET IRRIGATION DISTRICT NO. 16,2023.0,2.34,428.0,860.0,16.63,6731.0,4826.0,294.0,2.9529,15.0,0.17,0.3,860.0,2415.699999999999,0.8310911913185753,1,2.34,1,1,-4.88235294117647,31.8825000000001,2383.8175,0.1642752700433529,0.13508285229822384,0.2925757291320888,0.4080661485263344,16.151095708112457,0.00778816199376947,12411.891258859596
0,Cereal Grain,TWO RIVERS IRRIGATION DISTRICT NO. 19,2023.0,1.44,1413.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,294.3716814159293,31.680000000000064,0.9523809523809523,1,1.44,1,1,-4.88235294117647,31.6800000000001,0.0,0.4219716369617365,0.16600742053693668,0.29670690513460335,0.11531403736672359,2.1922844699979454,0.0009563703831219756,88161.81773311325
1,Hay/Silage,TWO RIVERS IRRIGATION DISTRICT NO. 19,2023.0,2.53,732.0,258.0,5.11,152.0,330.0,294.0,3.83877,15.0,0.17,0.51,258.0,504.43000000000006,0.6173864894795127,1,2.53,1,1,-4.88235294117647,31.6800000000001,472.75,0.16608727592683592,0.7336483715353899,0.06864571854245939,0.03161863399531463,3.920497362225641,0.002678667095253402,41952.73667730588
2,Herb,TWO RIVERS IRRIGATION DISTRICT NO. 19,2023.0,2.17,108.0,438.0,0.06,318.0,572.0,294.0,2.416,15.0,0.17,0.41,21289.625,60.8275000000001,0.9523809523809523,1,2.17,1,1,-4.88235294117647,31.6800000000001,29.1475,0.13266575890126786,0.5345738845251059,0.2138639595057463,0.11889639706787992,0.051572326432953314,0.022583559168925026,1370.7872289784625
3,Orchard,TWO RIVERS IRRIGATION DISTRICT NO. 19,2023.0,2.39,1035.0,1173.0,18.67,2159.0,4064.0,294.0,2.65761,15.0,0.17,0.13,1173.0,15347.060000000003,0.29921812464069486,1,2.39,1,1,-4.88235294117647,31.6800000000001,15315.38,0.6413604591129316,0.10346590578434674,0.16664400659769568,0.08852962850502583,18.263113543758102,0.007432181345224823,960.3357583581729
4,Vegetable,TWO RIVERS IRRIGATION DISTRICT NO. 19,2023.0,3.35,1702.0,860.0,16.63,6731.0,4826.0,294.0,2.9529,15.0,0.17,0.3,860.0,2400.5499999999993,0.8321504985386455,1,3.35,1,1,-4.88235294117647,31.6800000000001,2368.87,0.08254879611964763,0.5633971181314267,0.14784676108196892,0.2062073246669567,14.043913086200448,0.0019584802193497847,49081.60818992216
0,Cereal Grain,WALLA WALLA WATER & POWER DISTRICT NO. 18,2023.0,2.62,67.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,302.59513274336285,32.565000000000055,0.9523809523809523,1,2.62,1,1,-4.88235294117647,32.5650000000001,0.0,0.06562074214321702,0.8704795870361406,0.0460158006853052,0.017883870135336953,1.505091141850087,0.02016942315449778,4191.714783177481
1,Vegetable,WALLA WALLA WATER & POWER DISTRICT NO. 18,2023.0,2.57,123.0,860.0,16.63,6731.0,4826.0,294.0,2.9529,15.0,0.17,0.3,860.0,2412.25,0.8313324196954229,1,2.57,1,1,-4.88235294117647,32.5650000000001,2379.685,0.14926062799864942,0.21332410076610203,0.2661734099663675,0.371241861268881,15.841245334410058,0.02710027100271003,3562.4272719024652
0,Hay/Silage,WATER DISTRIBUTION DISTRICT NO.  1,2023.0,2.04,7.0,258.0,5.11,152.0,330.0,294.0,3.83877,15.0,0.17,0.51,258.0,511.7800000000001,0.6118114655865532,1,2.04,1,1,-4.88235294117647,511.78,0.0,0.3531157578850559,0.4356581068167276,0.14461540383487856,0.066610731463338,4.5668937656261726,0.2801120448179272,404.8805294031557
0,Cereal Grain,WEST SIDE IRRIGATION DISTRICT NO. 5,2023.0,2.21,211.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,299.7378318584071,32.25750000000005,0.9523809523809523,1,2.21,1,1,-4.88235294117647,32.2575000000001,0.0,0.14589798753401326,0.7118966684177543,0.10240573517938753,0.03979960886884494,1.7696061816057849,0.006404508774177021,13188.343314848438
1,Hay/Silage,WEST SIDE IRRIGATION DISTRICT NO. 5,2023.0,2.47,311.0,258.0,5.11,152.0,330.0,294.0,3.83877,15.0,0.17,0.51,258.0,505.33000000000015,0.6167038334926196,1,2.47,1,1,-4.88235294117647,32.2575000000001,473.0725,0.18401585279106739,0.7050216648233167,0.07597016428890725,0.034992318096708795,4.002757490795081,0.006304772712943698,17844.273474077196
2,Herb,WEST SIDE IRRIGATION DISTRICT NO. 5,2023.0,1.85,2.0,438.0,0.06,318.0,572.0,294.0,2.416,15.0,0.17,0.41,21205.625000000004,60.58750000000009,0.9523809523809523,1,1.85,1,1,-4.88235294117647,32.2575000000001,28.33,0.19656222912484425,0.3100746830023139,0.317082793554231,0.17628029431861095,0.055859409647485286,1.2195121951219512,25.36777868616915
3,Seed,WEST SIDE IRRIGATION DISTRICT NO. 5,2023.0,2.23,520.0,6200.0,0.39,318.0,572.0,294.0,1.9686,15.0,0.17,0.74,6200.0,1200.55,0.503494623655914,1,2.23,1,1,-4.88235294117647,32.2575000000001,1168.2925,0.3678317159871324,0.41312561081454857,0.14077798771847025,0.07826468547984884,0.350668957412644,0.0025987525987525985,148888.47349230197
4,Vegetable,WEST SIDE IRRIGATION DISTRICT NO. 5,2023.0,2.99,74.0,860.0,16.63,6731.0,4826.0,294.0,2.9529,15.0,0.17,0.3,860.0,2405.949999999999,0.8317729236879274,1,2.99,1,1,-4.88235294117647,32.2575000000001,2373.6925,0.11402175497241952,0.3979138652367501,0.20380710364891816,0.28425727614191215,14.998280685251409,0.04504504504504505,2138.259563101693
