g,i,year,xwater,omegaland,omegasupply,omegalabor,p,y,xland,Etc
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
ORCHARD IRRIGATION DISTRICT NO. 10,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2015,2.8,222,260,120,174,5,9568,3.838
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
ORCHARD IRRIGATION DISTRICT NO. 10,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2018,2.3,250,273,126,186,5,9585,3.838
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
ORCHARD IRRIGATION DISTRICT NO. 10,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2020,2.3,270,281,130,191,5,9602,3.838
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2019,1.6,260,278,128,193,5,9602,3.838
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2019,1.6,260,278,128,193,5,9602,3.838
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2019,1.6,260,278,128,193,5,9602,3.838
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2019,1.6,260,278,128,193,5,9602,3.838
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2019,1.6,260,278,128,193,5,9602,3.838
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2019,1.6,260,278,128,193,5,9602,3.838
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2019,1.6,260,278,128,193,5,9602,3.838
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2019,1.6,260,278,128,193,5,9602,3.838
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2019,1.6,260,278,128,193,5,9602,3.838
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2019,1.6,260,278,128,193,5,9602,3.838
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2021,2.3,281,294,136,232,5,9742,3.838
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2021,2.3,281,294,136,232,5,9742,3.838
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2021,2.3,281,294,136,232,5,9742,3.838
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2021,2.3,281,294,136,232,5,9742,3.838
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2021,2.3,281,294,136,232,5,9742,3.838
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2021,2.3,281,294,136,232,5,9742,3.838
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2021,2.3,281,294,136,232,5,9742,3.838
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2021,2.3,281,294,136,232,5,9742,3.838
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2021,2.3,281,294,136,232,5,9742,3.838
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2021,2.3,281,294,136,232,5,9742,3.838
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2021,2.3,281,294,136,232,5,9742,3.838
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2021,2.3,281,294,136,232,5,9742,3.838
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2023,2.1,294,330,152,258,5,9755,3.838
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2023,2.1,294,330,152,258,5,9755,3.838
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2023,2.1,294,330,152,258,5,9755,3.838
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2023,2.1,294,330,152,258,5,9755,3.838
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2023,2.1,294,330,152,258,5,9755,3.838
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2023,2.1,294,330,152,258,5,9755,3.838
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2023,2.1,294,330,152,258,5,9755,3.838
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2023,2.1,294,330,152,258,5,9755,3.838
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2023,2.1,294,330,152,258,5,9755,3.838
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2023,2.1,294,330,152,258,5,9755,3.838
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2023,2.1,294,330,152,258,5,9755,3.838
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2023,2.1,294,330,152,258,5,9755,3.838
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2024,2.3,407,341,157,275,5,9648,3.838
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2024,2.3,407,341,157,275,5,9648,3.838
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2024,2.3,407,341,157,275,5,9648,3.838
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2024,2.3,407,341,157,275,5,9648,3.838
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2024,2.3,407,341,157,275,5,9648,3.838
GREEN TANK IRRIGATION DISTRICT NO. 11,Hay/Silage,2024,2.3,407,341,157,275,5,9648,3.838
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2024,2.3,407,341,157,275,5,9648,3.838
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2024,2.3,407,341,157,275,5,9648,3.838
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2024,2.3,407,341,157,275,5,9648,3.838
MUD CREEK IRRIGATION DISTRICT NO. 7,Hay/Silage,2024,2.3,407,341,157,275,5,9648,3.838
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2024,2.3,407,341,157,275,5,9648,3.838
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2024,2.3,407,341,157,275,5,9648,3.838
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2022,2.1,383,317,146,320,5,9742,3.838
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2022,2.1,383,317,146,320,5,9742,3.838
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2022,2.1,383,317,146,320,5,9742,3.838
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2022,2.1,383,317,146,320,5,9742,3.838
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2022,2.1,383,317,146,320,5,9742,3.838
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2022,2.1,383,317,146,320,5,9742,3.838
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2022,2.1,383,317,146,320,5,9742,3.838
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2022,2.1,383,317,146,320,5,9742,3.838
