g,i,year,xwater,xland,p,y,omegalabor,omegasupply,omegaland,Etc
GARDENA FARMS DISTRICT NO. 13,Orchard,2024,1.5,7,4781,21.5,2227,4192,407,2.65761
GARDENA FARMS DISTRICT NO. 13,Seed,2024,2.28,4440,5800,0.39,328,590,407,1.9686
GARDENA FARMS DISTRICT NO. 13,Vegetable,2024,2.82,78,1180,11.2,6943,4978,407,2.9529
GREEN TANK IRRIGATION DISTRICT NO. 11,Hay/Silage,2024,2.35,19,275,5,157,341,407,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2024,2.68,97,277.5,3.6,92,236,407,2.081091
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2024,2.66,32,275,5,157,341,407,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Seed,2024,1.78,7,5800,0.39,328,590,407,1.9686
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2024,1.82,5,275,5,157,341,407,3.83877
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2024,2.26,15,1180,11.2,6943,4978,407,2.9529
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2024,2.7,209,277.5,3.6,92,236,407,2.081091
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2024,2.94,27,275,5,157,341,407,3.83877
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2024,2.49,438,5800,0.39,328,590,407,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2024,2.86,30,277.5,3.6,92,236,407,2.081091
MUD CREEK IRRIGATION DISTRICT NO. 7,Hay/Silage,2024,3.02,11,275,5,157,341,407,3.83877
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2024,1.9,8,5800,0.39,328,590,407,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2024,1.75,674,277.5,3.6,92,236,407,2.081091
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2024,2.64,684,275,5,157,341,407,3.83877
TOUCHET IRRIGATION DISTRICT NO. 16,Herb,2024,2.12,1,60000,0.06,328,590,407,2.416
TOUCHET IRRIGATION DISTRICT NO. 16,Oilseed,2024,2.43,56,370,0.77,983,786,407,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2024,2.57,558,5800,0.39,328,590,407,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2024,3.04,333,1180,11.2,6943,4978,407,2.9529
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2024,2.19,1468,277.5,3.6,92,236,407,2.081091
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2024,2.67,1035,956,21.5,2227,4192,407,2.65761
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2024,1.32,1882,1180,11.2,6943,4978,407,2.9529
WALLA WALLA WATER & POWER DISTRICT NO. 18,Seed,2024,1.84,67,5800,0.39,328,590,407,1.9686
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2024,1.65,121,1180,11.2,6943,4978,407,2.9529
WATER DISTRIBUTION DISTRICT NO.  1,Seed,2024,2.87,4,5800,0.39,328,590,407,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2024,1.71,350,277.5,3.6,92,236,407,2.081091
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2024,2.35,234,275,5,157,341,407,3.83877
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2024,93.3,570,5800,0.39,328,590,407,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2024,2.99,50,1180,11.2,6943,4978,407,2.9529
