crop_code,internal_id,name,county,direct_jobs,direct_value_add,total_jobs,total_revenue,total_value_add
CORN,DAP008,Brack Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP008,Brack Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP008,Brack Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP008,Brack Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP008,Brack Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP008,Brack Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP008,Brack Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
RICE,DAP008,Brack Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
SAFLR,DAP008,Brack Tract,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
VINE,DAP008,Brack Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP009,Bradford Island,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
CORN,DAP009,Bradford Island,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
PASTR,DAP009,Bradford Island,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
ALFAL,DAP010,Brannan-Andrus,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
CORN,DAP010,Brannan-Andrus,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
GRAIN,DAP010,Brannan-Andrus,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
OTHDEC,DAP010,Brannan-Andrus,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
OTHTRK,DAP010,Brannan-Andrus,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
PASTR,DAP010,Brannan-Andrus,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
POTATO,DAP010,Brannan-Andrus,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
PRTOM,DAP010,Brannan-Andrus,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
SAFLR,DAP010,Brannan-Andrus,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
VINE,DAP010,Brannan-Andrus,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
ALFAL,DAP012,Byron Tract,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
CORN,DAP012,Byron Tract,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
GRAIN,DAP012,Byron Tract,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
OTHTRK,DAP012,Byron Tract,Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
PASTR,DAP012,Byron Tract,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
PRTOM,DAP012,Byron Tract,Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
SAFLR,DAP012,Byron Tract,Contra Costa,1.7E-06,9.5E-01,8.9E-06,2.3E+00,1.8E+00
ALFAL,DAP013,Cache Haas Area,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
CORN,DAP013,Cache Haas Area,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
GRAIN,DAP013,Cache Haas Area,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
PASTR,DAP013,Cache Haas Area,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
ALFAL,DAP014,Canal Ranch Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP014,Canal Ranch Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP014,Canal Ranch Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PRTOM,DAP014,Canal Ranch Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
RICE,DAP014,Canal Ranch Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
SUBTRP,DAP014,Canal Ranch Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHDEC,DAP015,Central Stockton,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP017,Clifton Court Forebay,Contra Costa,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP017,Clifton Court Forebay,Contra Costa,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP017,Clifton Court Forebay,Contra Costa,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PASTR,DAP017,Clifton Court Forebay,Contra Costa,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP017,Clifton Court Forebay,Contra Costa,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP017,Clifton Court Forebay,Contra Costa,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
ALFAL,DAP018,Coney Island,Contra Costa,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP018,Coney Island,Contra Costa,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP018,Coney Island,Contra Costa,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP018,Coney Island,Contra Costa,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PASTR,DAP018,Coney Island,Contra Costa,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP018,Coney Island,Contra Costa,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP018,Coney Island,Contra Costa,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
CORN,DAP019,Dead Horse Island,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
POTATO,DAP019,Dead Horse Island,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
GRAIN,DAP026,Dlis-06 (Oakley Area),Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
OTHTRK,DAP026,Dlis-06 (Oakley Area),Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
PASTR,DAP026,Dlis-06 (Oakley Area),Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
VINE,DAP026,Dlis-06 (Oakley Area),Contra Costa,9.2E-06,6.3E-01,1.4E-05,1.7E+00,1.1E+00
ALPIS,DAP027,Dlis-07 (Knightsen Area),Contra Costa,3.0E-05,6.8E-01,3.6E-05,1.9E+00,1.3E+00
GRAIN,DAP027,Dlis-07 (Knightsen Area),Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
OTHDEC,DAP027,Dlis-07 (Knightsen Area),Contra Costa,9.2E-06,6.3E-01,1.4E-05,1.7E+00,1.1E+00
PASTR,DAP027,Dlis-07 (Knightsen Area),Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
VINE,DAP027,Dlis-07 (Knightsen Area),Contra Costa,9.2E-06,6.3E-01,1.4E-05,1.7E+00,1.1E+00
ALFAL,DAP028,Dlis-08 (Discovery Bay Area),Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
CORN,DAP028,Dlis-08 (Discovery Bay Area),Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
GRAIN,DAP028,Dlis-08 (Discovery Bay Area),Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
OTHDEC,DAP028,Dlis-08 (Discovery Bay Area),Contra Costa,9.2E-06,6.3E-01,1.4E-05,1.7E+00,1.1E+00
PASTR,DAP028,Dlis-08 (Discovery Bay Area),Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
PRTOM,DAP028,Dlis-08 (Discovery Bay Area),Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
SUBTRP,DAP028,Dlis-08 (Discovery Bay Area),Contra Costa,9.2E-06,6.3E-01,1.4E-05,1.7E+00,1.1E+00
VINE,DAP028,Dlis-08 (Discovery Bay Area),Contra Costa,9.2E-06,6.3E-01,1.4E-05,1.7E+00,1.1E+00
ALFAL,DAP029,Dlis-09 (Byron Area),Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
ALPIS,DAP029,Dlis-09 (Byron Area),Contra Costa,3.0E-05,6.8E-01,3.6E-05,1.9E+00,1.3E+00
CORN,DAP029,Dlis-09 (Byron Area),Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
CUCUR,DAP029,Dlis-09 (Byron Area),Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
GRAIN,DAP029,Dlis-09 (Byron Area),Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
OTHDEC,DAP029,Dlis-09 (Byron Area),Contra Costa,9.2E-06,6.3E-01,1.4E-05,1.7E+00,1.1E+00
OTHTRK,DAP029,Dlis-09 (Byron Area),Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
PASTR,DAP029,Dlis-09 (Byron Area),Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
PRTOM,DAP029,Dlis-09 (Byron Area),Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
VINE,DAP029,Dlis-09 (Byron Area),Contra Costa,9.2E-06,6.3E-01,1.4E-05,1.7E+00,1.1E+00
ALFAL,DAP030,Dlis-10,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
GRAIN,DAP030,Dlis-10,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
PASTR,DAP030,Dlis-10,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
CORN,DAP031,Dlis-12 (Paradise Cut),San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP031,Dlis-12 (Paradise Cut),San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PASTR,DAP031,Dlis-12 (Paradise Cut),San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP031,Dlis-12 (Paradise Cut),San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP031,Dlis-12 (Paradise Cut),San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
ALFAL,DAP032,Dlis-15,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP032,Dlis-15,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
DRYBN,DAP032,Dlis-15,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP032,Dlis-15,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP032,Dlis-15,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
POTATO,DAP032,Dlis-15,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP032,Dlis-15,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP032,Dlis-15,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
VINE,DAP032,Dlis-15,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP033,Dlis-16 (Lodi),San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP033,Dlis-16 (Lodi),San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP033,Dlis-16 (Lodi),San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PASTR,DAP033,Dlis-16 (Lodi),San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP033,Dlis-16 (Lodi),San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
CORN,DAP034,Dlis-17,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP034,Dlis-17,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PRTOM,DAP034,Dlis-17,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
ALFAL,DAP035,Dlis-18,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP035,Dlis-18,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP035,Dlis-18,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PASTR,DAP035,Dlis-18,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP035,Dlis-18,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
VINE,DAP035,Dlis-18,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP036,Dlis-19 (Grizzly Slough Area),Sacramento,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP036,Dlis-19 (Grizzly Slough Area),Sacramento,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP036,Dlis-19 (Grizzly Slough Area),Sacramento,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP036,Dlis-19 (Grizzly Slough Area),Sacramento,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP036,Dlis-19 (Grizzly Slough Area),Sacramento,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP036,Dlis-19 (Grizzly Slough Area),Sacramento,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
RICE,DAP036,Dlis-19 (Grizzly Slough Area),Sacramento,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
SAFLR,DAP036,Dlis-19 (Grizzly Slough Area),Sacramento,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
VINE,DAP036,Dlis-19 (Grizzly Slough Area),Sacramento,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP037,Dlis-20 (Yolo Bypass),Yolo,1.5E-05,5.2E-01,1.8E-05,1.5E+00,8.4E-01
CORN,DAP037,Dlis-20 (Yolo Bypass),Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
GRAIN,DAP037,Dlis-20 (Yolo Bypass),Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
OTHDEC,DAP037,Dlis-20 (Yolo Bypass),Yolo,3.3E-06,6.3E-01,7.0E-06,1.4E+00,9.1E-01
OTHFLD,DAP037,Dlis-20 (Yolo Bypass),Yolo,1.5E-05,5.2E-01,1.8E-05,1.5E+00,8.4E-01
PASTR,DAP037,Dlis-20 (Yolo Bypass),Yolo,1.5E-05,5.2E-01,1.8E-05,1.5E+00,8.4E-01
PRTOM,DAP037,Dlis-20 (Yolo Bypass),Yolo,2.5E-06,5.2E-01,5.9E-06,1.5E+00,8.1E-01
RICE,DAP037,Dlis-20 (Yolo Bypass),Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
SAFLR,DAP037,Dlis-20 (Yolo Bypass),Yolo,4.0E-07,9.5E-01,3.5E-06,1.5E+00,1.3E+00
VINE,DAP037,Dlis-20 (Yolo Bypass),Yolo,3.3E-06,6.3E-01,7.0E-06,1.4E+00,9.1E-01
ALFAL,DAP038,Dlis-21,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
CORN,DAP038,Dlis-21,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
GRAIN,DAP038,Dlis-21,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
OTHDEC,DAP038,Dlis-21,Solano,4.5E-06,6.3E-01,8.0E-06,1.4E+00,8.8E-01
OTHFLD,DAP038,Dlis-21,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
PASTR,DAP038,Dlis-21,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
SAFLR,DAP038,Dlis-21,Solano,5.7E-07,9.5E-01,4.2E-06,1.5E+00,1.3E+00
SUBTRP,DAP038,Dlis-21,Solano,4.5E-06,6.3E-01,8.0E-06,1.4E+00,8.8E-01
PASTR,DAP039,Dlis-22 (Rio Vista),Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
ALFAL,DAP045,Drexler Pocket,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CUCUR,DAP045,Drexler Pocket,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP045,Drexler Pocket,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PRTOM,DAP045,Drexler Pocket,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP045,Drexler Pocket,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
ALFAL,DAP046,Drexler Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP046,Drexler Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP046,Drexler Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP046,Drexler Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP046,Drexler Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP046,Drexler Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP046,Drexler Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP046,Drexler Tract,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
ALFAL,DAP047,Dutch Slough,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
GRAIN,DAP047,Dutch Slough,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
PASTR,DAP047,Dutch Slough,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
VINE,DAP047,Dutch Slough,Contra Costa,9.2E-06,6.3E-01,1.4E-05,1.7E+00,1.1E+00
ALFAL,DAP048,Egbert Tract,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
CORN,DAP048,Egbert Tract,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
GRAIN,DAP048,Egbert Tract,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
PASTR,DAP048,Egbert Tract,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
VINE,DAP048,Egbert Tract,Solano,4.5E-06,6.3E-01,8.0E-06,1.4E+00,8.8E-01
ALFAL,DAP049,Ehrheardt Club,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
ALPIS,DAP049,Ehrheardt Club,Sacramento,2.0E-05,6.6E-01,2.5E-05,1.7E+00,1.1E+00
CORN,DAP049,Ehrheardt Club,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
CUCUR,DAP049,Ehrheardt Club,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
GRAIN,DAP049,Ehrheardt Club,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
OTHDEC,DAP049,Ehrheardt Club,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
OTHTRK,DAP049,Ehrheardt Club,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
PASTR,DAP049,Ehrheardt Club,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
PRTOM,DAP049,Ehrheardt Club,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
SAFLR,DAP049,Ehrheardt Club,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
VINE,DAP049,Ehrheardt Club,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
ALFAL,DAP050,Empire Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP050,Empire Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP050,Empire Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP050,Empire Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP050,Empire Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP050,Empire Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP050,Empire Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
ALFAL,DAP051,Fabian Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP051,Fabian Tract,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP051,Fabian Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP051,Fabian Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP051,Fabian Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP051,Fabian Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP051,Fabian Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP051,Fabian Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP051,Fabian Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP051,Fabian Tract,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
ALFAL,DAP054,Glanville,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
CORN,DAP054,Glanville,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
CUCUR,DAP054,Glanville,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
GRAIN,DAP054,Glanville,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
ONGAR,DAP054,Glanville,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
OTHDEC,DAP054,Glanville,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
OTHFLD,DAP054,Glanville,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
OTHTRK,DAP054,Glanville,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
