g,i,year,omegaland,omegasupply,omegalabor,omegaestablish,omegacash,omeganoncash,omegatotal,xwater,p,y,xland
DAP002,ALFAL,2014,553,527,276,0,1182,608,1790,4.414817076,254.254,7.3,1657.568897
DAP002,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.083923885,8508.499999999998,1.15,0.0
DAP002,CORN,2014,678,593,162,0,1122,74,1196,1.8687501569999998,200.2,4.68,2221.335557
DAP002,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
DAP002,CUCUR,2014,624,3340,3581,0,7603,145,7748,1.8852459940000001,345.35500999999994,42.0,0.0
DAP002,DRYBN,2014,299,519,358,0,1194,36,1230,1.702099738,1382.71133,1.34,0.0
DAP002,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP002,GRAIN,2014,317,319,135,0,614,188,801,0.43337286700000005,235.235,3.28,0.0
DAP002,ONGAR,2014,416,3216,1228,0,4900,187,5087,1.4957349080000002,272.28201,17.34,0.0
DAP002,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,3.184728218,3820.817,2.1,0.0
DAP002,OTHFLD,2014,155,293,86,0,652,17,669,3.1161745410000004,41.041000000000004,13.72,0.0
DAP002,OTHTRK,2014,617,5261,514,0,6015,822,6836,2.50866978,3030.9979699999994,1.83,0.0
DAP002,PASTR,2014,245,139,190,0,519,148,666,4.643786792,105.105,3.355,0.0
DAP002,POTATO,2014,583,2266,407,0,3187,268,3455,1.6592847769999999,552.5519999999998,19.41,0.0
DAP002,PRTOM,2014,582,1588,758,0,2987,185,3172,1.9569763569999998,83.08299999999998,44.79,871.2889780999999
DAP002,RICE,2014,550,819,318,0,1769,68,1837,3.1369094489999996,400.4,4.74,0.0
DAP002,SAFLR,2014,123,192,43,0,341,28,369,1.068963255,520.6000799999998,1.57,0.0
DAP002,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP002,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.302832215,649.6489999999999,3.9,0.0
DAP002,VINE,2014,1664,1075,1662,1241,3476,2220,5695,2.460587332,590.5899999999998,8.0,0.0
DAP003,ALFAL,2014,553,527,276,0,1182,608,1790,4.414817076,248.52828,5.13,0.0
DAP003,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.083923885,6596.589999999998,0.95,0.0
DAP003,CORN,2014,678,593,162,0,1122,74,1196,1.8687501569999998,200.2,4.68,0.0
DAP003,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
DAP003,CUCUR,2014,624,3340,3581,0,7603,145,7748,1.8852459940000001,345.35500999999994,42.0,0.0
DAP003,DRYBN,2014,299,519,358,0,1194,36,1230,1.702099738,1991.50952,4.8,0.0
DAP003,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP003,GRAIN,2014,317,319,135,0,614,188,801,0.43337286700000005,232.70247,2.4,0.0
DAP003,ONGAR,2014,416,3216,1228,0,4900,187,5087,1.4957349080000002,272.28201,17.34,0.0
DAP003,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,3.184728218,3525.992469999999,2.09,0.0
DAP003,OTHFLD,2014,155,293,86,0,652,17,669,3.1161745410000004,34.724689999999995,13.22,0.0
DAP003,OTHTRK,2014,617,5261,514,0,6015,822,6836,2.50866978,3030.9979699999994,1.83,0.0
DAP003,PASTR,2014,245,139,190,0,519,148,666,4.643786792,105.105,3.355,1232.359852
DAP003,POTATO,2014,583,2266,407,0,3187,268,3455,1.6592847769999999,552.5519999999998,19.41,0.0
DAP003,PRTOM,2014,582,1588,758,0,2987,185,3172,1.9569763569999998,83.08299999999998,44.85,0.0
DAP003,RICE,2014,550,819,318,0,1769,68,1837,3.1369094489999996,413.413,4.49,0.0
DAP003,SAFLR,2014,123,192,43,0,341,28,369,1.068963255,510.50999999999993,1.23,0.0
DAP003,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP003,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.302832215,760.0192599999998,1.77,0.0
DAP003,VINE,2014,1664,1075,1662,1241,3476,2220,5695,2.460587332,670.67,7.03,0.0
DAP004,ALFAL,2014,553,527,276,0,1182,608,1790,4.414817076,248.52828,5.13,0.0
DAP004,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.083923885,6596.589999999998,0.95,0.0
DAP004,CORN,2014,678,593,162,0,1122,74,1196,1.8687501569999998,200.2,4.68,0.0
DAP004,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
DAP004,CUCUR,2014,624,3340,3581,0,7603,145,7748,1.8852459940000001,345.35500999999994,42.0,0.0
DAP004,DRYBN,2014,299,519,358,0,1194,36,1230,1.702099738,1991.50952,4.8,0.0
DAP004,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP004,GRAIN,2014,317,319,135,0,614,188,801,0.43337286700000005,232.70247,2.4,0.0
DAP004,ONGAR,2014,416,3216,1228,0,4900,187,5087,1.4957349080000002,272.28201,17.34,0.0
DAP004,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,3.184728218,3525.992469999999,2.09,0.0
DAP004,OTHFLD,2014,155,293,86,0,652,17,669,3.1161745410000004,34.724689999999995,13.22,0.0
DAP004,OTHTRK,2014,617,5261,514,0,6015,822,6836,2.50866978,3030.9979699999994,1.83,0.0
DAP004,PASTR,2014,245,139,190,0,519,148,666,4.643786792,105.105,3.355,0.0
DAP004,POTATO,2014,583,2266,407,0,3187,268,3455,1.6592847769999999,552.5519999999998,19.41,0.0
DAP004,PRTOM,2014,582,1588,758,0,2987,185,3172,1.9569763569999998,83.08299999999998,44.85,0.0
DAP004,RICE,2014,550,819,318,0,1769,68,1837,3.1369094489999996,413.413,4.49,0.0
DAP004,SAFLR,2014,123,192,43,0,341,28,369,1.068963255,510.50999999999993,1.23,0.0
DAP004,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP004,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.302832215,760.0192599999998,1.77,0.0
DAP004,VINE,2014,1664,1075,1662,1241,3476,2220,5695,2.460587332,670.67,7.03,0.0
DAP005,ALFAL,2014,553,527,276,0,1182,608,1790,4.414716134,254.254,7.3,0.0
DAP005,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.126658668,8508.499999999998,1.15,0.0
DAP005,CORN,2014,678,593,162,0,1122,74,1196,1.862039009,200.2,4.68,706.3879651000001
DAP005,COTTN,2014,567,886,152,0,1339,524,1862,3.518890372,2223.2209999999995,0.78,0.0
DAP005,CUCUR,2014,624,3340,3581,0,7603,145,7748,1.8783002519999998,345.35500999999994,42.0,0.0
DAP005,DRYBN,2014,299,519,358,0,1194,36,1230,1.688926816,1382.71133,1.34,0.0
DAP005,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP005,GRAIN,2014,317,319,135,0,614,188,801,0.405584193,235.235,3.28,514.9207686999999
DAP005,ONGAR,2014,416,3216,1228,0,4900,187,5087,1.495176709,272.28201,17.34,0.0
DAP005,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,3.237341939,3820.817,2.1,5.621039251
DAP005,OTHFLD,2014,155,293,86,0,652,17,669,3.1410441330000003,41.041000000000004,13.72,0.0
DAP005,OTHTRK,2014,617,5261,514,0,6015,822,6836,2.54354089,3030.9979699999994,1.83,0.0
DAP005,PASTR,2014,245,139,190,0,519,148,666,4.6813515180000005,105.105,3.355,0.0
DAP005,POTATO,2014,583,2266,407,0,3187,268,3455,1.6703524109999999,552.5519999999998,19.41,0.0
DAP005,PRTOM,2014,582,1588,758,0,2987,185,3172,1.947230153,83.08299999999998,44.79,0.0
DAP005,RICE,2014,550,819,318,0,1769,68,1837,3.14785241,400.4,4.74,0.0
DAP005,SAFLR,2014,123,192,43,0,341,28,369,1.073890704,520.6000799999998,1.57,0.0
DAP005,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP005,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.309512675,649.6489999999999,3.9,0.0
DAP005,VINE,2014,1664,1075,1662,1241,3476,2220,5695,2.490932083,590.5899999999998,8.0,0.0
DAP006,ALFAL,2014,553,527,276,0,1182,608,1790,4.414817076,248.52828,5.13,40.5148777
DAP006,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.083923885,6596.589999999998,0.95,0.0
DAP006,CORN,2014,678,593,162,0,1122,74,1196,1.8687501569999998,200.2,4.68,9.289310345
DAP006,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
DAP006,CUCUR,2014,624,3340,3581,0,7603,145,7748,1.8852459940000001,345.35500999999994,42.0,0.0
DAP006,DRYBN,2014,299,519,358,0,1194,36,1230,1.702099738,1991.50952,4.8,0.0
DAP006,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP006,GRAIN,2014,317,319,135,0,614,188,801,0.43337286700000005,232.70247,2.4,0.0
DAP006,ONGAR,2014,416,3216,1228,0,4900,187,5087,1.4957349080000002,272.28201,17.34,0.0
DAP006,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,3.184728218,3525.992469999999,2.09,0.0
DAP006,OTHFLD,2014,155,293,86,0,652,17,669,3.1161745410000004,34.724689999999995,13.22,0.0
DAP006,OTHTRK,2014,617,5261,514,0,6015,822,6836,2.50866978,3030.9979699999994,1.83,0.0
DAP006,PASTR,2014,245,139,190,0,519,148,666,4.643786792,105.105,3.355,86.20368062
DAP006,POTATO,2014,583,2266,407,0,3187,268,3455,1.6592847769999999,552.5519999999998,19.41,0.0
DAP006,PRTOM,2014,582,1588,758,0,2987,185,3172,1.9569763569999998,83.08299999999998,44.85,164.2051506
DAP006,RICE,2014,550,819,318,0,1769,68,1837,3.1369094489999996,413.413,4.49,0.0
DAP006,SAFLR,2014,123,192,43,0,341,28,369,1.068963255,510.50999999999993,1.23,0.0
DAP006,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP006,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.302832215,760.0192599999998,1.77,0.0
DAP006,VINE,2014,1664,1075,1662,1241,3476,2220,5695,2.460587332,670.67,7.03,80.47087779
DAP007,ALFAL,2014,553,527,276,0,1182,608,1790,4.414817076,254.254,7.3,174.30814130000002
DAP007,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.083923885,8508.499999999998,1.15,0.0
DAP007,CORN,2014,678,593,162,0,1122,74,1196,1.8687501569999998,200.2,4.68,0.0
DAP007,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
DAP007,CUCUR,2014,624,3340,3581,0,7603,145,7748,1.8852459940000001,345.35500999999994,42.0,0.0
DAP007,DRYBN,2014,299,519,358,0,1194,36,1230,1.702099738,1382.71133,1.34,0.0
DAP007,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP007,GRAIN,2014,317,319,135,0,614,188,801,0.43337286700000005,235.235,3.28,204.3278991
DAP007,ONGAR,2014,416,3216,1228,0,4900,187,5087,1.4957349080000002,272.28201,17.34,0.0
DAP007,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,3.184728218,3820.817,2.1,0.0
DAP007,OTHFLD,2014,155,293,86,0,652,17,669,3.1161745410000004,41.041000000000004,13.72,0.0
DAP007,OTHTRK,2014,617,5261,514,0,6015,822,6836,2.50866978,3030.9979699999994,1.83,0.0
DAP007,PASTR,2014,245,139,190,0,519,148,666,4.643786792,105.105,3.355,0.0
DAP007,POTATO,2014,583,2266,407,0,3187,268,3455,1.6592847769999999,552.5519999999998,19.41,0.0
DAP007,PRTOM,2014,582,1588,758,0,2987,185,3172,1.9569763569999998,83.08299999999998,44.79,0.0
DAP007,RICE,2014,550,819,318,0,1769,68,1837,3.1369094489999996,400.4,4.74,0.0
DAP007,SAFLR,2014,123,192,43,0,341,28,369,1.068963255,520.6000799999998,1.57,0.0
DAP007,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP007,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.302832215,649.6489999999999,3.9,0.0
DAP007,VINE,2014,1664,1075,1662,1241,3476,2220,5695,2.460587332,590.5899999999998,8.0,0.0
DAP008,ALFAL,2014,553,527,276,0,1182,608,1790,4.414817076,254.254,7.3,425.3644516
DAP008,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.083923885,8508.499999999998,1.15,0.0
DAP008,CORN,2014,678,593,162,0,1122,74,1196,1.8687501569999998,200.2,4.68,829.3662882
DAP008,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
DAP008,CUCUR,2014,624,3340,3581,0,7603,145,7748,1.8852459940000001,345.35500999999994,42.0,0.0
DAP008,DRYBN,2014,299,519,358,0,1194,36,1230,1.702099738,1382.71133,1.34,0.0
DAP008,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP008,GRAIN,2014,317,319,135,0,614,188,801,0.43337286700000005,235.235,3.28,294.2816416
DAP008,ONGAR,2014,416,3216,1228,0,4900,187,5087,1.4957349080000002,272.28201,17.34,0.0
DAP008,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,3.184728218,3820.817,2.1,138.97964340000001
DAP008,OTHFLD,2014,155,293,86,0,652,17,669,3.1161745410000004,41.041000000000004,13.72,0.0
DAP008,OTHTRK,2014,617,5261,514,0,6015,822,6836,2.50866978,3030.9979699999994,1.83,0.0
DAP008,PASTR,2014,245,139,190,0,519,148,666,4.643786792,105.105,3.355,90.44072079
DAP008,POTATO,2014,583,2266,407,0,3187,268,3455,1.6592847769999999,552.5519999999998,19.41,0.0
DAP008,PRTOM,2014,582,1588,758,0,2987,185,3172,1.9569763569999998,83.08299999999998,44.79,451.9616363
DAP008,RICE,2014,550,819,318,0,1769,68,1837,3.1369094489999996,400.4,4.74,504.5328081
DAP008,SAFLR,2014,123,192,43,0,341,28,369,1.068963255,520.6000799999998,1.57,146.45727340000002
DAP008,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP008,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.302832215,649.6489999999999,3.9,0.0
DAP008,VINE,2014,1664,1075,1662,1241,3476,2220,5695,2.460587332,590.5899999999998,8.0,488.18906680000003
DAP009,ALFAL,2014,553,527,276,0,1182,608,1790,4.414817076,248.52828,5.13,0.0
DAP009,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.083923885,6596.589999999998,0.95,0.0
DAP009,CORN,2014,678,593,162,0,1122,74,1196,1.8687501569999998,200.2,4.68,0.0
DAP009,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
DAP009,CUCUR,2014,624,3340,3581,0,7603,145,7748,1.8852459940000001,345.35500999999994,42.0,0.0
DAP009,DRYBN,2014,299,519,358,0,1194,36,1230,1.702099738,1991.50952,4.8,0.0
DAP009,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP009,GRAIN,2014,317,319,135,0,614,188,801,0.43337286700000005,232.70247,2.4,0.0
DAP009,ONGAR,2014,416,3216,1228,0,4900,187,5087,1.4957349080000002,272.28201,17.34,0.0
DAP009,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,3.184728218,3525.992469999999,2.09,0.0
DAP009,OTHFLD,2014,155,293,86,0,652,17,669,3.1161745410000004,34.724689999999995,13.22,0.0
DAP009,OTHTRK,2014,617,5261,514,0,6015,822,6836,2.50866978,3030.9979699999994,1.83,0.0
DAP009,PASTR,2014,245,139,190,0,519,148,666,4.643786792,105.105,3.355,928.4931518
DAP009,POTATO,2014,583,2266,407,0,3187,268,3455,1.6592847769999999,552.5519999999998,19.41,0.0
DAP009,PRTOM,2014,582,1588,758,0,2987,185,3172,1.9569763569999998,83.08299999999998,44.85,0.0
DAP009,RICE,2014,550,819,318,0,1769,68,1837,3.1369094489999996,413.413,4.49,0.0
DAP009,SAFLR,2014,123,192,43,0,341,28,369,1.068963255,510.50999999999993,1.23,0.0
DAP009,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP009,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.302832215,760.0192599999998,1.77,0.0
DAP009,VINE,2014,1664,1075,1662,1241,3476,2220,5695,2.460587332,670.67,7.03,0.0
DAP010,ALFAL,2014,553,527,276,0,1182,608,1790,4.361771624,230.10988,5.11,1985.587571
DAP010,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.631040968,6596.589999999998,0.95,0.0
DAP010,CORN,2014,678,593,162,0,1122,74,1196,2.30865375,200.2,4.68,6800.385570999999
DAP010,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
DAP010,CUCUR,2014,624,3340,3581,0,7603,145,7748,3.063539055,345.35500999999994,42.0,0.0
DAP010,DRYBN,2014,299,519,358,0,1194,36,1230,2.082948344,1522.5209999999993,2.47,0.0
DAP010,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP010,GRAIN,2014,317,319,135,0,614,188,801,1.152820207,228.09787,2.8,292.44212210000006
DAP010,ONGAR,2014,416,3216,1228,0,4900,187,5087,3.6247793710000002,272.28201,17.34,0.0
DAP010,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,3.308391849,3882.08821,2.4,144.60722980000003
DAP010,OTHFLD,2014,155,293,86,0,652,17,669,2.329128241,28.39837,12.72,0.0
DAP010,OTHTRK,2014,617,5261,514,0,6015,822,6836,2.720162383,3030.9979699999994,1.83,89.94424847
DAP010,PASTR,2014,245,139,190,0,519,148,666,4.648426015,105.105,3.355,50.00286083
DAP010,POTATO,2014,583,2266,407,0,3187,268,3455,3.0958333330000003,552.5519999999998,19.41,0.0
DAP010,PRTOM,2014,582,1588,758,0,2987,185,3172,3.0514996780000003,82.94286,42.63,159.4818894
DAP010,RICE,2014,550,819,318,0,1769,68,1837,3.053119693,424.76434,4.51,0.0
DAP010,SAFLR,2014,123,192,43,0,341,28,369,1.396679049,493.76326999999986,1.4,36.20299638
DAP010,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP010,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.55169305,826.8259999999998,2.58,0.0
DAP010,VINE,2014,1664,1075,1662,1241,3476,2220,5695,2.642979671,582.2016199999998,7.5,757.3861357000001
DAP011,ALFAL,2014,553,527,276,0,1182,608,1790,4.886844938,248.52828,5.13,0.0
DAP011,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.631040968,6596.589999999998,0.95,0.0
DAP011,CORN,2014,678,593,162,0,1122,74,1196,2.474909857,200.2,4.68,0.0
DAP011,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
DAP011,CUCUR,2014,624,3340,3581,0,7603,145,7748,2.402162295,345.35500999999994,42.0,0.0
DAP011,DRYBN,2014,299,519,358,0,1194,36,1230,2.171594682,1991.50952,4.8,0.0
DAP011,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP011,GRAIN,2014,317,319,135,0,614,188,801,1.185953339,232.70247,2.4,0.0
DAP011,ONGAR,2014,416,3216,1228,0,4900,187,5087,3.23490065,272.28201,17.34,0.0
DAP011,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,4.21,3525.992469999999,2.09,0.0
DAP011,OTHFLD,2014,155,293,86,0,652,17,669,2.9428367069999997,34.724689999999995,13.22,0.0
DAP011,OTHTRK,2014,617,5261,514,0,6015,822,6836,1.51,3030.9979699999994,1.83,0.0
DAP011,PASTR,2014,245,139,190,0,519,148,666,4.62,105.105,3.355,0.0
DAP011,POTATO,2014,583,2266,407,0,3187,268,3455,2.144422572,552.5519999999998,19.41,0.0
DAP011,PRTOM,2014,582,1588,758,0,2987,185,3172,2.617074417,83.08299999999998,44.85,0.0
DAP011,RICE,2014,550,819,318,0,1769,68,1837,3.056154098,413.413,4.49,0.0
DAP011,SAFLR,2014,123,192,43,0,341,28,369,1.847863759,510.50999999999993,1.23,0.0
DAP011,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP011,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.626041763,760.0192599999998,1.77,0.0
DAP011,VINE,2014,1664,1075,1662,1241,3476,2220,5695,1.19,670.67,7.03,0.0
DAP012,ALFAL,2014,553,527,276,0,1182,608,1790,4.414817076,248.52828,5.13,2446.971033
DAP012,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.083923885,6596.589999999998,0.95,0.0
DAP012,CORN,2014,678,593,162,0,1122,74,1196,1.8687501569999998,200.2,4.68,144.9821928
DAP012,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
DAP012,CUCUR,2014,624,3340,3581,0,7603,145,7748,1.8852459940000001,345.35500999999994,42.0,0.0
DAP012,DRYBN,2014,299,519,358,0,1194,36,1230,1.702099738,1991.50952,4.8,0.0
DAP012,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP012,GRAIN,2014,317,319,135,0,614,188,801,0.43337286700000005,232.70247,2.4,0.0
DAP012,ONGAR,2014,416,3216,1228,0,4900,187,5087,1.4957349080000002,272.28201,17.34,0.0
DAP012,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,3.184728218,3525.992469999999,2.09,0.0
DAP012,OTHFLD,2014,155,293,86,0,652,17,669,3.1161745410000004,34.724689999999995,13.22,0.0
DAP012,OTHTRK,2014,617,5261,514,0,6015,822,6836,2.50866978,3030.9979699999994,1.83,0.0
DAP012,PASTR,2014,245,139,190,0,519,148,666,4.643786792,105.105,3.355,496.83707580000004
DAP012,POTATO,2014,583,2266,407,0,3187,268,3455,1.6592847769999999,552.5519999999998,19.41,0.0
DAP012,PRTOM,2014,582,1588,758,0,2987,185,3172,1.9569763569999998,83.08299999999998,44.85,705.4933322
DAP012,RICE,2014,550,819,318,0,1769,68,1837,3.1369094489999996,413.413,4.49,0.0
DAP012,SAFLR,2014,123,192,43,0,341,28,369,1.068963255,510.50999999999993,1.23,0.0
DAP012,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP012,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.302832215,760.0192599999998,1.77,0.0
DAP012,VINE,2014,1664,1075,1662,1241,3476,2220,5695,2.460587332,670.67,7.03,0.0
DAP013,ALFAL,2014,553,527,276,0,1182,608,1790,4.361803545,243.02278,5.86,0.0
DAP013,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.628101978,5879.7338599999985,0.7,0.0
DAP013,CORN,2014,678,593,162,0,1122,74,1196,2.308599053,200.2,4.68,289.9547905
DAP013,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
DAP013,CUCUR,2014,624,3340,3581,0,7603,145,7748,3.0614110130000003,345.35500999999994,42.0,0.0
DAP013,DRYBN,2014,299,519,358,0,1194,36,1230,2.082837875,1194.13294,1.28,0.0
DAP013,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP013,GRAIN,2014,317,319,135,0,614,188,801,1.152196709,231.59136,2.75,0.0
DAP013,ONGAR,2014,416,3216,1228,0,4900,187,5087,3.6244681410000004,272.28201,17.34,0.0
DAP013,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,3.308801983,3497.494,1.38,0.0
DAP013,OTHFLD,2014,155,293,86,0,652,17,669,2.328848787,34.724689999999995,13.22,0.0
DAP013,OTHTRK,2014,617,5261,514,0,6015,822,6836,2.719460425,3030.9979699999994,1.83,0.0
DAP013,PASTR,2014,245,139,190,0,519,148,666,4.649192968,105.105,3.355,1846.3238079999999
DAP013,POTATO,2014,583,2266,407,0,3187,268,3455,3.092804964,552.5519999999998,19.41,0.0
DAP013,PRTOM,2014,582,1588,758,0,2987,185,3172,3.0507691610000003,83.64356,46.39,0.0
DAP013,RICE,2014,550,819,318,0,1769,68,1837,3.053221503,413.413,4.49,0.0
DAP013,SAFLR,2014,123,192,43,0,341,28,369,1.399331806,521.61109,0.97,0.0
DAP013,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP013,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.551445857,1301.77047,1.31,0.0
DAP013,VINE,2014,1664,1075,1662,1241,3476,2220,5695,2.645138135,766.8961299999999,5.25,0.0
DAP014,ALFAL,2014,553,527,276,0,1182,608,1790,4.414817076,254.254,7.3,525.5725047000001
DAP014,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.083923885,8508.499999999998,1.15,0.0
DAP014,CORN,2014,678,593,162,0,1122,74,1196,1.8687501569999998,200.2,4.68,9.714395805
DAP014,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
