,i,g,year,omegaland,omegasupply,omegalabor,omegaestablish,omegacash,omeganoncash,omegatotal,xwater,p,y,xland,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_param,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
3,GRAIN,DAP006,2015.5,317.0,319.0,135.0,0.0,614.0,188.0,801.0,0.4333728670000001,164.47232333333332,1.7233333333333334,65.93166431,10.0,0.17,0.38000000000000006,486.9295916070085,38.76668643350001,0.9523809523809522,1,0.4333728670000001,1,1,-4.88235294117647,23.1039880974206,40.704279435324,0.4561226112537629,8.75523257288277e-05,0.38209021545846295,0.16169962096204546,1.7251310037253103,0.039913734544833615,686.5999830986086
4,OTHTRK,DAP006,2015.5,617.0,5261.0,514.0,0.0,6015.0,822.0,6836.0,2.50866978,4029.0,2.88,80.82545861,10.0,0.17,0.19,4029.0,5186.4333022,0.5530293133290588,1,2.50866978,1,1,-4.88235294117647,23.1039880974206,5163.32931410258,0.42006860005752966,0.1619208811668672,0.38080577303522917,0.03720474574037403,2.778896055633147,0.06511757539332622,461.55806601150726
5,PASTR,DAP006,2015.5,245.0,139.0,1.0,0.0,519.0,148.0,666.0,4.643786792,106.387,3.3550000000000004,86.1757111575,10.0,0.17,0.51,135.48192429729374,21.571893396000007,0.9523809523809523,1,4.643786792,1,1,-4.88235294117647,23.1039880974206,0.0,0.0031872275748922882,0.9951484485795304,0.0016524358181089303,1.188802746840957e-05,1.151602065206173,0.02275332906904407,1658.4428822671346
6,PRTOM,DAP006,2015.5,582.0,1588.0,758.0,0.0,2987.0,185.0,3172.0,1.956976357,83.08299999999998,44.85,164.2051506,10.0,0.17,0.28,83.08299999999998,778.7027864299994,0.791023663464982,1,1.956976357,1,1,-4.88235294117647,23.1039880974206,755.598798332579,0.32200245019067797,0.12283020857878169,0.3757910221117212,0.1793763191188191,43.709242160079846,0.021749796266308904,1758.9616056314694
7,VINE,DAP006,2015.5,1664.0,1075.0,1662.0,1241.0,3476.0,2220.0,5695.0,2.460587332,880.2761625,5.3925,80.44436235750001,10.0,0.17,0.11,923.4201583888514,409.5683374765001,0.9201921138080975,1,2.460587332,1,1,-4.88235294117647,23.1039880974206,530.833342694461,0.3190703760271107,0.2871873810960786,0.1546484877941437,0.23909375508266678,5.036366342558036,0.11300865373894688,2.211596611243147
0,ALFAL,DAP007,2015.5,553.0,527.0,276.0,0.0,1182.0,608.0,1790.0,4.414817076,190.64985000000001,6.8,406.88401195,10.0,0.17,0.51,229.942294583522,166.4820637135001,0.9028777514632924,1,4.414817076,1,1,-4.88235294117647,39.2622933919556,124.197139015994,0.011248672371038987,0.976143937028231,0.008274090718038219,0.004333299882691743,3.182420360320201,0.004819025216371592,20925.439976022295
1,CORN,DAP007,2015.5,678.0,593.0,162.0,0.0,1122.0,74.0,1196.0,1.868750157,153.55,5.1433333333333335,4130.274915666666,10.0,0.17,0.64,296.46039908266897,72.58437507850006,0.9523809523809524,1,1.868750157,1,1,-4.88235294117647,39.2622933919556,33.8448576532385,0.39494500720499665,0.20806305892133584,0.31180955865839044,0.085182375215277,4.915768939619019,0.00037830411580431025,416174.7262383299
2,GRAIN,DAP007,2015.5,317.0,319.0,135.0,0.0,614.0,188.0,801.0,0.4333728670000001,201.71662333333336,3.193333333333333,276.7349704,10.0,0.17,0.38000000000000006,255.09270001940158,38.76668643349998,0.9523809523809524,1,0.4333728670000001,1,1,-4.88235294117647,39.2622933919556,0.0,0.4396479508873265,9.020438455774705e-05,0.3936641596217377,0.16659768510637804,3.196765105202886,0.009509383449314943,2696.1079923525494
0,ALFAL,DAP008,2015.5,553.0,527.0,276.0,0.0,1182.0,608.0,1790.0,4.414817076,190.64985000000001,6.8,616.9399144500001,10.0,0.17,0.51,229.942294583522,166.4820637135001,0.9028777514632924,1,4.414817076,1,1,-4.88235294117647,23.1039880974206,140.355444310529,0.011248672371038984,0.9761439370282309,0.008274090718038217,0.0043332998826917405,3.182420360320201,0.0031782419451228455,31728.302831968296
1,CORN,DAP008,2015.5,678.0,593.0,162.0,0.0,1122.0,74.0,1196.0,1.868750157,165.2125,5.0275,855.7913852,10.0,0.17,0.64,303.7700790474986,72.58437507850005,0.9523809523809523,1,1.868750157,1,1,-4.88235294117647,23.1039880974206,52.4125827438786,0.39571059004207876,0.20779979441011315,0.311415022542848,0.08507459300496018,4.805368456925028,0.0018257954298463064,86507.8590259583
2,CUCUR,DAP008,2015.5,624.0,3340.0,3581.0,0.0,7603.0,145.0,7748.0,1.885245994,340.87806,46.805,84.38816416000002,10.0,0.17,0.05,340.87806,8086.410421460001,0.5087153735212192,1,1.885245994,1,1,-4.88235294117647,23.1039880974206,8367.84115026258,0.5512839780232341,0.025481453896753305,0.2042484405992258,0.21898612748078672,46.56948304002679,0.23700006036486332,7.840161221651045e-05
3,GRAIN,DAP008,2015.5,317.0,319.0,135.0,0.0,614.0,188.0,801.0,0.4333728670000001,182.1822275,3.1274999999999995,254.40430119500002,10.0,0.17,0.38,260.7820177708225,38.766686433499984,0.9523809523809523,1,0.4333728670000001,1,1,-4.88235294117647,23.1039880974206,17.1580438108266,0.4403384245363102,9.009323345076247e-05,0.3931790811265336,0.16639240110370543,3.1308568900305653,0.01034408197898873,2485.5053061837966
4,OTHDEC,DAP008,2015.5,1450.0,1648.0,1927.0,536.0,4047.0,1746.0,5793.0,3.184728218,2626.767255,2.05,138.58288249999998,10.0,0.17,0.11,2922.9061064772695,931.3488775367503,0.8718451129250504,1,3.184728218,1,1,-4.88235294117647,23.1039880974206,912.006248000982,0.15832689120596435,0.6043597018517957,0.10939650199742983,0.12791690494481026,1.697255736926962,0.06559907635713301,4.097123716599733
5,OTHTRK,DAP008,2015.5,617.0,5261.0,514.0,0.0,6015.0,822.0,6836.0,2.50866978,3825.144645,2.445,63.765743194,10.0,0.17,0.19,3825.144645,3024.069038649999,0.7173218100011616,1,2.50866978,1,1,-4.88235294117647,23.1039880974206,2912.28797112758,0.3071834089425672,0.1934392118139716,0.4549306306839566,0.044446748559504604,2.3409668516535356,0.08253895635975393,222.89558897932127
6,PASTR,DAP008,2015.5,245.0,139.0,1.0,0.0,519.0,148.0,666.0,4.643786792,106.387,3.3550000000000004,104.38403692,10.0,0.17,0.51,135.48192429729374,21.571893396000007,0.9523809523809523,1,4.643786792,1,1,-4.88235294117647,23.1039880974206,0.0,0.0031872275748922874,0.9951484485795302,0.0016524358181089296,1.1888027468409568e-05,1.1516020652061727,0.01878433112553634,2008.8602777630488
7,PRTOM,DAP008,2015.5,582.0,1588.0,758.0,0.0,2987.0,185.0,3172.0,1.956976357,77.29635999999999,45.5,445.254351275,10.0,0.17,0.28,78.6285446868823,627.9690684671245,0.8301654938213422,1,1.956976357,1,1,-4.88235294117647,23.1039880974206,606.925031585724,0.29727875796437564,0.12730930481423022,0.3894945252802957,0.18591741194109832,44.298229137304965,0.008021097516962322,4248.420549834776
8,RICE,DAP008,2015.5,550.0,819.0,318.0,0.0,1769.0,68.0,1837.0,3.136909449,337.059855,4.335,437.161038525,10.0,0.17,0.96,427.08539864795836,107.77218011725006,0.9414576867801441,1,3.136909449,1,1,-4.88235294117647,23.1039880974206,109.942120551479,0.06730061347017954,0.8206706427207732,0.0806961663848809,0.03133257742416621,3.059444451940703,0.0023827984995673326,101151.56772946488
9,SAFLR,DAP008,2015.5,123.0,192.0,43.0,0.0,341.0,28.0,369.0,1.068963255,487.2584599999999,1.4849999999999999,102.08999252000002,10.0,0.17,0.34,487.2584599999999,357.7232182499999,0.515627688655484,1,1.068963255,1,1,-4.88235294117647,23.1039880974206,331.785192452579,0.6567182608302728,0.020343289051442236,0.26384758477749237,0.05909086534079256,1.4832765630425666,0.028809645274604577,875.896065940697
10,VINE,DAP008,2015.5,1664.0,1075.0,1662.0,1241.0,3476.0,2220.0,5695.0,2.460587332,582.1462325,7.0825,459.19315355000003,10.0,0.17,0.11,664.1349036832396,240.7387519194997,0.9484586321157658,1,2.460587332,1,1,-4.88235294117647,23.1039880974206,255.025593919124,0.29093655143354136,0.2990530411008567,0.16103806650548852,0.24897234096011342,6.59244429810686,0.019797571067050355,11.054386350209633
0,ALFAL,DAP009,2015.5,553.0,527.0,276.0,0.0,1182.0,608.0,1790.0,4.414817076,218.41,5.12,52.60292494,10.0,0.17,0.51,287.13976158164064,70.00740853799994,0.9523809523809524,1,4.414817076,1,1,-4.88235294117647,23.1039880974206,46.9034204405793,0.009795814495296968,0.9775782697741299,0.008286248555432106,0.004339667175140913,2.3668313900689384,0.03727519555161622,2352.423303643677
1,CORN,DAP009,2015.5,678.0,593.0,162.0,0.0,1122.0,74.0,1196.0,1.868750157,146.0,5.01,223.7925897,10.0,0.17,0.64,304.2458835625749,72.58437507849999,0.9523809523809524,1,1.868750157,1,1,-4.88235294117647,23.1039880974206,49.4803869810794,0.3947786411987208,0.20812026796940328,0.31189529385867865,0.0852057969731972,4.788268200814073,0.006981911251371519,22534.092223420685
2,PASTR,DAP009,2015.5,245.0,139.0,1.0,0.0,519.0,148.0,666.0,4.643786792,106.387,3.3550000000000004,860.292937275,10.0,0.17,0.51,135.48192429729374,21.571893396000007,0.9523809523809523,1,4.643786792,1,1,-4.88235294117647,23.1039880974206,0.0,0.003187227574892288,0.9951484485795304,0.00165243581810893,1.1888027468409566e-05,1.151602065206173,0.0022792054064006673,16556.25093572829
0,ALFAL,DAP010,2015.5,553.0,527.0,276.0,0.0,1182.0,608.0,1790.0,4.361771624,177.7207325,5.782500000000001,2297.62618825,10.0,0.17,0.51,255.49764369218104,69.980885812,0.9523809523809523,1,4.361771624,1,1,-4.88235294117647,23.1064724540555,54.6909359559817,0.010630270600435828,0.9758374808862647,0.008881064715453166,0.00465118379784644,2.7140489075097296,0.0008533957019435494,104035.51982080485
1,CORN,DAP010,2015.5,678.0,593.0,162.0,0.0,1122.0,74.0,1196.0,2.30865375,165.2125,5.0275,5741.851602749999,10.0,0.17,0.64,304.69059085926494,72.80432687500013,0.9523809523809523,1,2.30865375,1,1,-4.88235294117647,23.1064724540555,52.6389355908988,0.26163491295567715,0.47629468877298087,0.20583807440384863,0.05623232386749322,4.417397625069773,0.0002721247618541129,580592.5909225934
2,GRAIN,DAP010,2015.5,317.0,319.0,135.0,0.0,614.0,188.0,801.0,1.152820207,173.232775,2.7475,428.21600035000006,10.0,0.17,0.38,306.1261722539618,39.12641010350001,0.9523809523809523,1,1.152820207,1,1,-4.88235294117647,23.1064724540555,35.4469837437044,0.4404611040862732,0.02707317644004517,0.37413340200904066,0.15833231746464105,2.7398320037673747,0.006145447496631406,4397.825923419791
3,OTHDEC,DAP010,2015.5,1450.0,1648.0,1927.0,536.0,4047.0,1746.0,5793.0,3.308391849,2295.460075,1.8725,145.08752222500001,10.0,0.17,0.11,3538.3946655572877,1254.4100933208756,0.8500074477981465,1,3.308391849,1,1,-4.88235294117647,23.1064724540555,1544.45362031197,0.16779342494585417,0.6334163353437681,0.09163813008187494,0.10715210962850304,1.5261645264652761,0.06265810423594537,5.4268400698826555
4,OTHTRK,DAP010,2015.5,617.0,5261.0,514.0,0.0,6015.0,822.0,6836.0,2.720162383,3524.7812649999996,2.3125,196.4047364925,10.0,0.17,0.19,3687.8188906723362,2148.1990791503745,0.7824619924069901,1,2.720162383,1,1,-4.88235294117647,23.1064724540555,2085.77308839572,0.22524168157982538,0.2975652942654372,0.4347207792342983,0.042472244920438953,2.152523315778973,0.026797510023073314,526.8073069790443
5,PASTR,DAP010,2015.5,245.0,139.0,1.0,0.0,519.0,148.0,666.0,4.648426015,106.387,3.3550000000000004,205.6460873575,10.0,0.17,0.51,135.4964925794502,21.57421300750002,0.9523809523809523,1,4.648426015,1,1,-4.88235294117647,23.1064724540555,0.0,0.0031686811229771628,0.9951766950510621,0.0016428050843468672,1.1818741614006238e-05,1.1502494997488857,0.009534751372715478,3957.6749131201
6,POTATO,DAP010,2015.5,583.0,2266.0,407.0,0.0,3187.0,268.0,3455.0,3.0958333330000003,660.96384,17.85,77.06103287,10.0,0.17,0.19,660.96384,8511.24621067,0.27859818170397704,1,3.0958333330000003,1,1,-4.88235294117647,23.1064724540555,8488.13973821594,0.4669706801168412,0.39577631407737507,0.11635439998350398,0.020898605822279842,16.10857102337608,0.06829856412144975,689.5959518109909
7,PRTOM,DAP010,2015.5,582.0,1588.0,758.0,0.0,2987.0,185.0,3172.0,3.0514996780000003,78.07657999999999,39.60666666666666,246.6225116666667,10.0,0.17,0.28,82.0413708439916,291.0635415660002,0.913826843045336,1,3.0514996780000003,1,1,-4.88235294117647,23.1064724540555,267.763758660305,0.08474792249157694,0.6874763794972593,0.15418065150968815,0.07359504650147583,31.271582402535028,0.014481356739467845,1694.6839211641293
8,SAFLR,DAP010,2015.5,123.0,192.0,43.0,0.0,341.0,28.0,369.0,1.396679049,447.6640025,1.1775,128.50333253500003,10.0,0.17,0.34,482.83549062953125,197.26065121362498,0.688421797972895,1,1.396679049,1,1,-4.88235294117647,23.1064724540555,173.465527272218,0.5105465331233846,0.11401871230875031,0.3067381824554473,0.06869657211241789,1.1545292525289979,0.022887939266377832,737.2678845407414
9,VINE,DAP010,2015.5,1664.0,1075.0,1662.0,1241.0,3476.0,2220.0,5695.0,2.642979671,597.4287049999999,7.7275,904.8953881000001,10.0,0.17,0.11,625.7737251371499,405.20965186275,0.9196977242298058,1,2.642979671,1,1,-4.88235294117647,23.1064724540555,385.13019183327,0.2639975060010206,0.3873158857667611,0.13695217531955958,0.21173443291265862,6.9975898010386794,0.010046364707413508,23.243352024882334
0,ALFAL,DAP012,2015.5,553.0,527.0,276.0,0.0,1182.0,608.0,1790.0,4.414817076,195.68301999999997,4.5425,1936.5694365,10.0,0.17,0.51,329.5303510747493,70.0074085380001,0.9523809523809523,1,4.414817076,1,1,-4.88235294117647,18.4344816275,78.3089673695487,0.010211903900159414,0.9771674858505403,0.008282766626875921,0.004337843622424581,2.107453701551888,0.0010125040067085094,90320.71175387336
1,CORN,DAP012,2015.5,678.0,593.0,162.0,0.0,1122.0,74.0,1196.0,1.868750157,165.2125,5.0275,251.93302582,10.0,0.17,0.64,303.7700790474986,72.58437507850005,0.9523809523809523,1,1.868750157,1,1,-4.88235294117647,18.4344816275,57.0820892137992,0.39571059004207865,0.2077997944101132,0.31141502254284786,0.08507459300496012,4.805368456925027,0.006202045146380959,25466.7049219318
2,GRAIN,DAP012,2015.5,317.0,319.0,135.0,0.0,614.0,188.0,801.0,0.4333728670000001,164.47232333333332,1.7233333333333334,803.8205823666667,10.0,0.17,0.38000000000000006,486.9295916070085,38.76668643350001,0.9523809523809522,1,0.4333728670000001,1,1,-4.88235294117647,18.4344816275,45.3737859052446,0.4561226112537629,8.755232572882774e-05,0.38209021545846283,0.1616996209620454,1.72513100372531,0.0032738387210990982,8370.83674503207
3,OTHTRK,DAP012,2015.5,617.0,5261.0,514.0,0.0,6015.0,822.0,6836.0,2.50866978,3519.563545,2.2699999999999996,196.6753006,10.0,0.17,0.19,3519.563545,1545.8738556499984,0.8118601483425354,1,2.50866978,1,1,-4.88235294117647,18.4344816275,1553.8880677225,0.21461145963362688,0.21928594403941262,0.5157170145932709,0.050385581733689656,2.1591653089727094,0.026760644975146623,423.6944182944077
4,PASTR,DAP012,2015.5,245.0,139.0,1.0,0.0,519.0,148.0,666.0,4.643786792,106.387,3.3550000000000004,667.7484293499999,10.0,0.17,0.51,135.48192429729374,21.571893396000007,0.9523809523809523,1,4.643786792,1,1,-4.88235294117647,18.4344816275,4.66950646992058,0.0031872275748922856,0.9951484485795303,0.0016524358181089288,1.188802746840956e-05,1.151602065206173,0.002936411719656395,12850.751272322808
5,PRTOM,DAP012,2015.5,582.0,1588.0,758.0,0.0,2987.0,185.0,3172.0,1.956976357,76.31786,47.022499999999994,523.39497635,10.0,0.17,0.28,77.59981172279359,710.895896867125,0.8219799505262975,1,1.956976357,1,1,-4.88235294117647,18.4344816275,682.932901537561,0.30936312109270864,0.12512002722168983,0.38279657309323756,0.18272027859236403,45.80300683024618,0.006823582060979351,5287.94412605316
6,SAFLR,DAP012,2015.5,123.0,192.0,43.0,0.0,341.0,28.0,369.0,1.068963255,345.219,0.98,221.50555530000003,10.0,0.17,0.34,395.02460630357143,18.43448162750002,0.9523809523809523,1,1.068963255,1,1,-4.88235294117647,18.4344816275,0.0,0.36150483411553,0.037837992049772846,0.4907496909628165,0.10990748287188078,0.9778804341761945,0.013278116057201365,562.4476820461772
0,ALFAL,DAP013,2015.5,553.0,527.0,276.0,0.0,1182.0,608.0,1790.0,4.361803545,165.71258333333333,5.419999999999999,192.7663021,10.0,0.17,0.51,272.78966934968633,69.98090177250008,0.9523809523809524,1,4.361803545,1,1,-4.88235294117647,23.1068831661024,55.7950892591973,0.010648239301929308,0.9758203325136778,0.00888052634268383,0.004650901841709179,2.5442654461308236,0.010171820968523369,8743.65867247026
1,CORN,DAP013,2015.5,678.0,593.0,162.0,0.0,1122.0,74.0,1196.0,2.308599053,200.2,4.68,289.9547905,10.0,0.17,0.64,326.68595941378203,72.80429952650002,0.9523809523809523,1,2.308599053,1,1,-4.88235294117647,23.1068831661024,49.6974163603977,0.2608976825346859,0.476746667080902,0.20606212010325342,0.05629353028115861,4.11136516290498,0.005388771116026793,29204.641895941968
2,GRAIN,DAP013,2015.5,317.0,319.0,135.0,0.0,614.0,188.0,801.0,1.152196709,145.0384,2.61,28.95465287,10.0,0.17,0.38,314.80768790977015,39.12609835450007,0.9523809523809523,1,1.152196709,1,1,-4.88235294117647,23.1068831661024,16.0192151883977,0.4274523595621255,0.027618829721992512,0.38289050796997,0.16203830274591205,2.6025878425320994,0.09088621988264303,281.9847003444452
3,PASTR,DAP013,2015.5,245.0,139.0,1.0,0.0,519.0,148.0,666.0,4.649192968,106.387,3.3550000000000004,1963.0167000000001,10.0,0.17,0.51,135.49890099734793,21.57459648400004,0.9523809523809523,1,4.649192968,1,1,-4.88235294117647,23.1068831661024,0.0,0.003165627177821558,0.9951813462394165,0.0016412192500279304,1.1807332734013887e-05,1.1500261760270079,0.0009988627777468679,37778.46663046872
0,ALFAL,DAP014,2015.5,553.0,527.0,276.0,0.0,1182.0,608.0,1790.0,4.414817076,190.64985000000001,6.8,583.5432381500001,10.0,0.17,0.51,229.942294583522,166.4820637135001,0.9028777514632924,1,4.414817076,1,1,-4.88235294117647,40.7157987375233,122.743633670426,0.011248672371038984,0.976143937028231,0.008274090718038219,0.004333299882691743,3.1824203603202013,0.0033601354373357837,30010.761407902275
1,CORN,DAP014,2015.5,678.0,593.0,162.0,0.0,1122.0,74.0,1196.0,1.868750157,173.1,4.845,73.9080185025,10.0,0.17,0.64,314.97250125228106,72.58437507849999,0.9523809523809524,1,1.868750157,1,1,-4.88235294117647,40.7157987375233,33.6384682597784,0.39534151498866393,0.20792670995580656,0.31160522199725693,0.08512655305827255,4.630788892296104,0.02114114316225576,7459.484112283219
2,GRAIN,DAP014,2015.5,317.0,319.0,135.0,0.0,614.0,188.0,801.0,0.4333728670000001,166.53963666666667,3.14,144.54986224333334,10.0,0.17,0.38000000000000006,259.88838452468895,38.76668643350001,0.9523809523809522,1,0.4333728670000001,1,1,-4.88235294117647,40.7157987375233,0.0,0.4406512593881702,9.004287390389382e-05,0.3929593052387629,0.16629939249916298,3.143368426866649,0.018205336944136657,1414.0318269882796
3,PRTOM,DAP014,2015.5,582.0,1588.0,758.0,0.0,2987.0,185.0,3172.0,1.956976357,77.29635999999999,45.5,430.947734825,10.0,0.17,0.28,78.6285446868823,627.9690684671245,0.8301654938213422,1,1.956976357,1,1,-4.88235294117647,40.7157987375233,589.313220945621,0.29727875796437564,0.1273093048142303,0.3894945252802957,0.18591741194109837,44.29822913730496,0.008287382164519005,4111.9131285131525
4,RICE,DAP014,2015.5,550.0,819.0,318.0,0.0,1769.0,68.0,1837.0,3.136909449,337.059855,4.335,646.8022443500001,10.0,0.17,0.96,427.08539864795836,107.77218011725006,0.9414576867801441,1,3.136909449,1,1,-4.88235294117647,40.7157987375233,92.3303099113762,0.06730061347017953,0.8206706427207734,0.08069616638488092,0.031332577424166216,3.059444451940703,0.001610487093645575,149658.94775912754
