i,g,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta,Etc
Cereal Grain,Ellensburg Wat,2016,401,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.003369953,28916.20348,0.74
Hay/Silage,Ellensburg Wat,2016,7529,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.000260431,192970.4752,0.51
Seed,Ellensburg Wat,2016,2,2.585,8180,0.38,253,455,345,15,0.17,0.74,8180,2016.625,0.351233754,1,2.585,1,1,-4.882352941,12.06,2004.565,0.333934966,0.565953477,0.06433723,0.035774328,0.321115026,0.675675676,904.8742256,0.74
Vegetable,Ellensburg Wat,2016,307,1,255,16.19,5353,3838,345,15,0.17,0.3,619.4286597,477.55,0.952380952,1,1,1,1,-4.882352941,12.06,465.49,0.082020831,0.00149573,0.38270737,0.533776069,16.19,0.010857763,2702.549541,0.3
Vineyard,Ellensburg Wat,2016,3,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,2.564102564,0.110570475,0.13
Cereal Grain,FGP,2016,153,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,31.4,0,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.008832362,11032.86567,0.74
Vegetable,FGP,2016,78,1,255,16.19,5353,3838,345,15,0.17,0.3,619.4286597,477.55,0.952380952,1,1,1,1,-4.882352941,31.4,446.15,0.082020831,0.00149573,0.38270737,0.533776069,16.19,0.042735043,686.6412515,0.3
Hay/Silage,Fowler Ditch,2016,27,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.072621641,692.017908,0.51
Herb,Fowler Ditch,2016,712,1,368,0.06,758,606,345,15,0.17,0.41,30170,86.2,0.952380952,1,1,1,1,-4.882352941,12.06,74.14,0.238205723,0.008286377,0.334769639,0.418738261,0.06,0.003425596,10982.16005,0.41
Vineyard,Fowler Ditch,2016,18,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,0.427350427,0.663422852,0.13
Berry,Irrigated area outside irrigation districts,2016,206,2,1900,4.17,5454,7676,345,15,0.17,0.25,3400.539568,675.25,0.952380952,1,2,1,1,-4.882352941,12.06,663.19,0.067858005,0.058850536,0.510539622,0.362751837,4.120303582,0.019417476,962.3563247,0.25
Cereal Grain,Irrigated area outside irrigation districts,2016,7913,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.000170776,570608.2746,0.74
Hay/Silage,Irrigated area outside irrigation districts,2016,10959,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.00017892,280882.3798,0.51
Herb,Irrigated area outside irrigation districts,2016,4058,1,368,0.06,758,606,345,15,0.17,0.41,30170,86.2,0.952380952,1,1,1,1,-4.882352941,12.06,74.14,0.238205723,0.008286377,0.334769639,0.418738261,0.06,0.000601041,62592.14253,0.41
Oilseed,Irrigated area outside irrigation districts,2016,13,2.603,314,1,253,455,345,15,0.17,0.74,1146.64725,54.60225,0.952380952,1,2.603,1,1,-4.882352941,12.06,42.54225,0.075727526,0.790101337,0.086225801,0.047945336,0.731503188,0.103950104,995.2187783,0.74
Orchard,Irrigated area outside irrigation districts,2016,10727,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.000717098,12976.03155,0.13
Seed,Irrigated area outside irrigation districts,2016,60,2.264,8180,0.38,253,455,345,15,0.17,0.74,8180,2021.44,0.349684725,1,2.264,1,1,-4.882352941,12.06,2009.38,0.482033433,0.373750077,0.092681501,0.051534989,0.346043561,0.022522523,27201.57386,0.74
Vegetable,Irrigated area outside irrigation districts,2016,5082,1,255,16.19,5353,3838,345,15,0.17,0.3,619.4286597,477.55,0.952380952,1,1,1,1,-4.882352941,12.06,465.49,0.082020831,0.00149573,0.38270737,0.533776069,16.19,0.00065591,44737.31847,0.3
Vineyard,Irrigated area outside irrigation districts,2016,5083,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,0.00151334,187.3432421,0.13
Berry,KID,2016,2,1.657,1900,4.17,5454,7676,345,15,0.17,0.25,3399.244065,674.99275,0.952380952,1,1.657,1,1,-4.882352941,12.06,662.93275,0.070624103,0.020257205,0.531484774,0.377633918,4.154050268,2,9.340909439,0.25
Cereal Grain,KID,2016,1734,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.000779326,125039.1442,0.74
Hay/Silage,KID,2016,2019,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.000971166,51747.56134,0.51
Herb,KID,2016,11,1,368,0.06,758,606,345,15,0.17,0.41,30170,86.2,0.952380952,1,1,1,1,-4.882352941,12.06,74.14,0.238205723,0.008286377,0.334769639,0.418738261,0.06,0.22172949,169.668203,0.41
Orchard,KID,2016,2782,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.002765028,3365.276385,0.13
Vegetable,KID,2016,664,1,255,16.19,5353,3838,345,15,0.17,0.3,619.4286597,477.55,0.952380952,1,1,1,1,-4.882352941,12.06,465.49,0.082020831,0.00149573,0.38270737,0.533776069,16.19,0.00502008,5845.253731,0.3
Vineyard,KID,2016,4410,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,0.001744287,162.5385988,0.13
Cereal Grain,KRD,2016,1470,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.000919287,106002.0427,0.74
Hay/Silage,KRD,2016,27527,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,7.12E-05,705525.0724,0.51
Herb,KRD,2016,5,1,368,0.06,758,606,345,15,0.17,0.41,30170,86.2,0.952380952,1,1,1,1,-4.882352941,12.06,74.14,0.238205723,0.008286377,0.334769639,0.418738261,0.06,0.487804878,77.12191046,0.41
Orchard,KRD,2016,823,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.009346668,995.5508501,0.13
Seed,KRD,2016,173,2,8180,0.38,253,455,345,15,0.17,0.74,8180,2025.4,0.348410758,1,2,1,1,-4.882352941,12.06,2013.34,0.598099215,0.223258259,0.114805578,0.063836948,0.361553697,0.007811279,78562.45139,0.74
Vegetable,KRD,2016,17,1.824,255,16.19,5353,3838,345,15,0.17,0.3,620.2302656,478.168,0.952380952,1,1.824,1,1,-4.882352941,12.06,466.108,0.078182204,0.048882216,0.36452255,0.50841303,16.03361721,0.196078431,149.7650178,0.3
Vineyard,KRD,2016,14,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,0.549450549,0.515995552,0.13
Hay/Silage,Moxee-Selah,2016,192,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.010212418,4921.016235,0.51
Herb,Moxee-Selah,2016,3329,1,368,0.06,758,606,345,15,0.17,0.41,30170,86.2,0.952380952,1,1,1,1,-4.882352941,12.06,74.14,0.238205723,0.008286377,0.334769639,0.418738261,0.06,0.00073266,51347.76798,0.41
Orchard,Moxee-Selah,2016,160,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.048076923,193.5457303,0.13
Vegetable,Moxee-Selah,2016,2,1,255,16.19,5353,3838,345,15,0.17,0.3,619.4286597,477.55,0.952380952,1,1,1,1,-4.882352941,12.06,465.49,0.082020831,0.00149573,0.38270737,0.533776069,16.19,1.666666667,17.60618594,0.3
Vineyard,Moxee-Selah,2016,49,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,0.156985871,1.805984431,0.13
Berry,Naches-Selah,2016,5,2,1900,4.17,5454,7676,345,15,0.17,0.25,3400.539568,675.25,0.952380952,1,2,1,1,-4.882352941,12.06,663.19,0.067858005,0.058850536,0.510539622,0.362751837,4.120303582,0.8,23.35816322,0.25
Hay/Silage,Naches-Selah,2016,626,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.003132243,16044.56335,0.51
Orchard,Naches-Selah,2016,4352,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.001767534,5264.443863,0.13
Vineyard,Naches-Selah,2016,15,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,0.512820513,0.552852377,0.13
Cereal Grain,Not In I.D.,2016,59,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.02290426,4254.503753,0.74
Hay/Silage,Not In I.D.,2016,1388,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.001412669,35574.84653,0.51
Herb,Not In I.D.,2016,241,1,368,0.06,758,606,345,15,0.17,0.41,30170,86.2,0.952380952,1,1,1,1,-4.882352941,12.06,74.14,0.238205723,0.008286377,0.334769639,0.418738261,0.06,0.010120433,3717.276084,0.41
Orchard,Not In I.D.,2016,2694,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.002855348,3258.826234,0.13
Vegetable,Not In I.D.,2016,9,1,255,16.19,5353,3838,345,15,0.17,0.3,619.4286597,477.55,0.952380952,1,1,1,1,-4.882352941,12.06,465.49,0.082020831,0.00149573,0.38270737,0.533776069,16.19,0.37037037,79.22783672,0.3
Vineyard,Not In I.D.,2016,2,2.497,703,6.71,2222,2929,345,15,0.17,0.13,865.8908718,276.67275,0.952380952,1,2.497,1,1,-4.882352941,12.06,264.61275,0.068788866,0.361246552,0.324097508,0.245867075,6.129517701,3.846153846,0.073757875,0.13
Cereal Grain,Olsen,2016,49,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.027578599,3533.401422,0.74
Hay/Silage,Olsen,2016,361,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.005431535,9252.535733,0.51
Cereal Grain,Packwood,2016,21,2.493,146,3.1,71,182,345,15,0.17,0.74,215.2144355,31.76975,0.952380952,1,2.493,1,1,-4.882352941,12.06,19.70975,0.09751131,0.837010075,0.047103194,0.018375422,2.163356131,0.064350064,1515.802456,0.74
Hay/Silage,Packwood,2016,378,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.00518726,9688.250712,0.51
Berry,Roza,2016,1097,2,1900,4.17,5454,7676,345,15,0.17,0.25,3400.539568,675.25,0.952380952,1,2,1,1,-4.882352941,12.06,663.19,0.067858005,0.058850536,0.510539622,0.362751837,4.120303582,0.003646308,5124.781011,0.25
Cereal Grain,Roza,2016,4409,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.000306498,317934.0178,0.74
Hay/Silage,Roza,2016,4584,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.000427745,117489.2626,0.51
Herb,Roza,2016,6955,1,368,0.06,758,606,345,15,0.17,0.41,30170,86.2,0.952380952,1,1,1,1,-4.882352941,12.06,74.14,0.238205723,0.008286377,0.334769639,0.418738261,0.06,0.000350686,107276.5774,0.41
Orchard,Roza,2016,27978,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.000274941,33843.89026,0.13
Vegetable,Roza,2016,316,1,255,16.19,5353,3838,345,15,0.17,0.3,619.4286597,477.55,0.952380952,1,1,1,1,-4.882352941,12.06,465.49,0.082020831,0.00149573,0.38270737,0.533776069,16.19,0.010548523,2781.777378,0.3
Vineyard,Roza,2016,18424,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,0.000417516,679.0501461,0.13
Berry,SVID,2016,26,2,1900,4.17,5454,7676,345,15,0.17,0.25,3400.539568,675.25,0.952380952,1,2,1,1,-4.882352941,12.06,663.19,0.067858005,0.058850536,0.510539622,0.362751837,4.120303582,0.153846154,121.4624487,0.25
Cereal Grain,SVID,2016,16209,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,8.34E-05,1168834.768,0.74
Hay/Silage,SVID,2016,9706,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.000202018,248767.6228,0.51
Herb,SVID,2016,7438,1,368,0.06,758,606,345,15,0.17,0.41,30170,86.2,0.952380952,1,1,1,1,-4.882352941,12.06,74.14,0.238205723,0.008286377,0.334769639,0.418738261,0.06,0.000327914,114726.554,0.41
Orchard,SVID,2016,7485,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.001027696,9054.311194,0.13
Vegetable,SVID,2016,1353,1,255,16.19,5353,3838,345,15,0.17,0.3,619.4286597,477.55,0.952380952,1,1,1,1,-4.882352941,12.06,465.49,0.082020831,0.00149573,0.38270737,0.533776069,16.19,0.002463661,11910.58479,0.3
Vineyard,SVID,2016,9399,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,0.000818418,346.4172994,0.13
Hay/Silage,Terrace Heights,2016,14,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.140056022,358.8241004,0.51
Orchard,Terrace Heights,2016,44,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.174825175,53.22507583,0.13
Vineyard,Terrace Heights,2016,11,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,0.699300699,0.405425076,0.13
Hay/Silage,Throp Mill,2016,66,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.029708853,1691.599331,0.51
Hay/Silage,Union Gap,2016,21,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.093370682,538.2361507,0.51
Orchard,Union Gap,2016,1781,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.004319095,2154.40591,0.13
Vineyard,Union Gap,2016,56,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,0.137362637,2.063982207,0.13
Cereal Grain,Wenas,2016,15,2.507,146,3.1,71,182,345,15,0.17,0.74,215.2855645,31.78025,0.952380952,1,2.507,1,1,-4.882352941,12.06,19.72025,0.094854862,0.841452096,0.04581871,0.017874332,2.151285479,0.09009009,1082.746214,0.74
Hay/Silage,Wenas,2016,920,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.002131287,23579.86946,0.51
Cereal Grain,West Side,2016,379,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.003565571,27329.77835,0.74
Hay/Silage,West Side,2016,3103,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.0006319,79530.79883,0.51
Berry,Yakima-Tieton,2016,13,2,1900,4.17,5454,7676,345,15,0.17,0.25,3400.539568,675.25,0.952380952,1,2,1,1,-4.882352941,12.06,663.19,0.067858005,0.058850536,0.510539622,0.362751837,4.120303582,0.307692308,60.73122437,0.25
Cereal Grain,Yakima-Tieton,2016,3,2.041,146,3.1,71,182,345,15,0.17,0.74,212.9179839,31.43075,0.952380952,1,2.041,1,1,-4.882352941,12.06,19.37075,0.231445256,0.612999838,0.111901157,0.043653748,2.577161343,0.45045045,216.3483725,0.74
Hay/Silage,Yakima-Tieton,2016,1704,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.001150695,43674.01908,0.51
Orchard,Yakima-Tieton,2016,15126,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.000508549,18297.32948,0.13
Vegetable,Yakima-Tieton,2016,12,1,255,16.19,5353,3838,345,15,0.17,0.3,619.4286597,477.55,0.952380952,1,1,1,1,-4.882352941,12.06,465.49,0.082020831,0.00149573,0.38270737,0.533776069,16.19,0.277777778,105.6371156,0.3
Vineyard,Yakima-Tieton,2016,69,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,0.11148272,2.543120934,0.13
Berry,Yakima-Wapato,2016,23,2,1900,4.17,5454,7676,345,15,0.17,0.25,3400.539568,675.25,0.952380952,1,2,1,1,-4.882352941,12.06,663.19,0.067858005,0.058850536,0.510539622,0.362751837,4.120303582,0.173913043,107.4475508,0.25
Cereal Grain,Yakima-Wapato,2016,32787,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,4.12E-05,2364278.213,0.74
Hay/Silage,Yakima-Wapato,2016,15994,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.000122595,409930.9045,0.51
Herb,Yakima-Wapato,2016,23495,1,368,0.06,758,606,345,15,0.17,0.41,30170,86.2,0.952380952,1,1,1,1,-4.882352941,12.06,74.14,0.238205723,0.008286377,0.334769639,0.418738261,0.06,0.00010381,362395.8572,0.41
Oilseed,Yakima-Wapato,2016,1109,2,314,1,253,455,345,15,0.17,0.74,1137.15,54.15,0.952380952,1,2,1,1,-4.882352941,12.06,42.09,0.200379317,0.44419401,0.228416859,0.127009814,0.891525101,0.001218531,84803.73192,0.74
