g,i,net_fallow_2020,net_fallow_2021,net_fallow_2022,year
Pitt River Central Polygon,Rice,75.00839454,534.5392331,353.7789211,2022
Pitt River Eastern Lower Polygon,Alfalfa,291.5577417,95.98520661,63.59869983,2022
Pitt River Eastern Lower Polygon,Field and Grain,126.2946358,285.7015809,18.4712847,2022
Pitt River Eastern Lower Polygon,N/A,434.2371118,785.8473168,477.3162572,2022
Pitt River Eastern Lower Polygon,Pasture,104.7670386,1075.445225,679.0590288,2022
Pitt River Eastern Lower Polygon,Rice,24.43592834,274.8425803,97.8403959,2022
Pitt River Eastrn Upper Polygon,Alfalfa,187.3910245,353.1478897,597.9527028,2022
Pitt River Eastrn Upper Polygon,Field and Grain,202.0583726,751.0251111,553.2956946,2022
Pitt River Eastrn Upper Polygon,N/A,291.8492705,749.763935,297.3740759,2022
Pitt River Eastrn Upper Polygon,Orchards,0,0,0,2022
Pitt River Eastrn Upper Polygon,Pasture,1386.581202,3409.920761,2458.164231,2022
Pitt River Eastrn Upper Polygon,Rice,197.5635231,648.0339378,66.35672437,2022
Pitt River Eastrn Upper Polygon,Truck,0,0,0,2022
Pitt River Western Polygon,Alfalfa,-10.77201956,284.6660063,584.0141983,2022
Pitt River Western Polygon,Berries,70.22651202,-18.13121971,-18.13121971,2022
Pitt River Western Polygon,Field and Grain,75.99504446,-30.70238447,6.736294794,2022
Pitt River Western Polygon,N/A,-26.10481711,161.0289201,478.1674336,2022
Pitt River Western Polygon,Onions and Garlic,0,-38.72616165,-18.74381771,2022
Pitt River Western Polygon,Pasture,411.0078724,1204.567482,786.1623872,2022
Pitt River Western Polygon,Rice,347.5410739,1174.269059,404.3476957,2022
Pitt River Western Polygon,Truck,-0.959489397,-0.959489397,-0.959489397,2022
Russian River Central Polygon,Field and Grain,17.36221537,-4.628856411,0.03093965,2022
Russian River Central Polygon,Grapes,499.9295282,389.9832027,547.2961153,2022
Russian River Central Polygon,N/A,58.14389327,-18.19264554,24.99324186,2022
Russian River Central Polygon,Orchards,0,2.723420512,-0.749991315,2022
Russian River Central Polygon,Pasture,168.0157642,15.047758,173.7418007,2022
Russian River Central Polygon,Subtropical,8.647114515,3.465717577,2.708120673,2022
Russian River Central Polygon,Truck,5.103936987,-0.333348889,3.428317674,2022
Russian River Central Polygon,Young Perennial,-2.113259451,-2.113259451,-2.113259451,2022
Russian River Lower Polygon,Berries,-1.965193208,11.08382994,11.09322818,2022
Russian River Lower Polygon,Corn,0,0,0,2022
Russian River Lower Polygon,Field and Grain,158.9570916,453.5380553,288.4753702,2022
Russian River Lower Polygon,Grapes,338.9104503,635.6121343,627.301915,2022
Russian River Lower Polygon,N/A,-32.45319265,-2.710039966,-13.80783115,2022
Russian River Lower Polygon,Orchards,44.01253293,145.8408323,136.3397398,2022
Russian River Lower Polygon,Pasture,319.940744,735.8439468,631.8533429,2022
Russian River Lower Polygon,Subtropical,0.319179604,3.939560843,3.069826363,2022
Russian River Lower Polygon,Truck,0.923912073,3.813286242,6.464049397,2022
Russian River Lower Polygon,Walnuts,0,0,22.13029174,2022
Russian River Lower Polygon,Young Perennial,1.092555899,2.206362026,2.206362026,2022
Russian River Upper Polygon,Alfalfa,24.36222794,-35.37884431,-35.37884431,2022
Russian River Upper Polygon,Berries,-0.26255855,-0.26255855,-0.26255855,2022
Russian River Upper Polygon,Cucurbits,0,0,0,2022
Russian River Upper Polygon,Field and Grain,11.992389,55.67962821,7.491260176,2022
Russian River Upper Polygon,Grapes,137.9882076,157.0468252,-15.89803608,2022
Russian River Upper Polygon,N/A,-16.2050454,-14.16040539,-66.34346589,2022
Russian River Upper Polygon,Orchards,15.67281731,31.10514063,37.18556447,2022
Russian River Upper Polygon,Pasture,71.13809832,94.32455633,39.12533294,2022
Russian River Upper Polygon,Subtropical,11.08833376,9.477303184,5.203999212,2022
Russian River Upper Polygon,Truck,6.117034968,6.117034968,3.287232222,2022
Russian River Upper Polygon,Walnuts,5.631460404,5.631460404,2.841214939,2022
Russian River Upper Polygon,Young Perennial,0,0,0,2022
Salinas Polygon,Alfalfa,4.047151867,14.01435163,29.32420519,2022
Salinas Polygon,Berries,125.1785843,35.01386923,118.1483104,2022
Salinas Polygon,Cucurbits,-7.226900022,-7.226900022,-7.226900022,2022
Salinas Polygon,Field and Grain,397.7008291,235.1656795,882.3505884,2022
Salinas Polygon,Grapes,-632.9732485,-22.71025351,1885.984897,2022
Salinas Polygon,Lettuce,1273.54854,467.5780425,1918.383967,2022
Salinas Polygon,N/A,88.26698586,36.95772457,130.4327537,2022
Salinas Polygon,Onions and Garlic,0,-27.37886871,-5.60719752,2022
Salinas Polygon,Orchards,11.49749987,11.55022643,29.10731558,2022
Salinas Polygon,Pasture,-2.351478814,227.6009429,787.4448829,2022
Salinas Polygon,Subtropical,47.52285382,148.8107873,195.181678,2022
Salinas Polygon,Truck,208.8353594,181.0154568,464.1134193,2022
Salinas Polygon,Walnuts,-5.813086358,-5.813086358,-5.813086358,2022
Salinas Polygon,Young Perennial,-24.03092264,-24.03092264,-24.03092264,2022
San Diego Polygon,Alfalfa,-10.42089268,-10.42089268,-10.42089268,2022
San Diego Polygon,Berries,-11.4093761,0.336447282,2.614129748,2022
San Diego Polygon,Cucurbits,0,0,0,2022
San Diego Polygon,Field and Grain,4.055411867,8.085647913,20.34473582,2022
San Diego Polygon,Grapes,7.002054661,50.59910758,74.56310441,2022
San Diego Polygon,Lettuce,11.81297448,18.15322067,18.20083969,2022
San Diego Polygon,N/A,-176.8750568,52.35042465,436.3938869,2022
San Diego Polygon,Orchards,-146.2794661,165.7554068,455.8250183,2022
San Diego Polygon,Pasture,-19.12416565,36.79751344,11.08822135,2022
San Diego Polygon,Subtropical,-55.09567606,55.5577045,192.0860886,2022
San Diego Polygon,Tomatoes,18.41664708,1.712388351,65.61235118,2022
San Diego Polygon,Truck,-43.20338994,-21.39041517,44.21870049,2022
San Diego Polygon,Young Perennial,-11.97535607,-11.97535607,-11.97535607,2022
Scott River Valley Polygon,Alfalfa,435.2715933,830.4628286,942.9241294,2022
Scott River Valley Polygon,Berries,0,-1.459603896,-1.459603896,2022
Scott River Valley Polygon,Field and Grain,317.1740386,333.097788,341.6241723,2022
Scott River Valley Polygon,N/A,599.8383687,323.3435048,475.8404743,2022
Scott River Valley Polygon,Orchards,0,0,0,2022
Scott River Valley Polygon,Pasture,356.7170649,243.0778693,436.4520783,2022
Scott River Valley Polygon,Truck,-1.387463263,-1.387463263,0,2022
Shasta Valley Polygon,Alfalfa,942.4484589,1180.569931,2082.826302,2022
Shasta Valley Polygon,Berries,23.83985654,23.83985654,0,2022
Shasta Valley Polygon,Field and Grain,1759.941928,1678.594048,1888.966586,2022
Shasta Valley Polygon,Grapes,-0.444504507,-0.444504507,-0.444504507,2022
Shasta Valley Polygon,N/A,429.8439663,238.172853,171.470213,2022
Shasta Valley Polygon,Orchards,0,0,3.743322355,2022
Shasta Valley Polygon,Pasture,1271.356115,3171.09483,6406.826672,2022
Shasta Valley Polygon,Truck,0,0,28.04171626,2022
Tulelake Polygon,Alfalfa,73.39824602,404.323363,1149.775601,2022
Tulelake Polygon,Field and Grain,2395.485816,4667.006367,7056.297471,2022
Tulelake Polygon,Lettuce,124.1668602,0,122.317177,2022
Tulelake Polygon,N/A,336.6977295,434.022614,238.0513872,2022
Tulelake Polygon,Onions and Garlic,206.8008579,774.0786057,882.301982,2022
Tulelake Polygon,Pasture,293.5253481,293.5253481,173.8097054,2022
Tulelake Polygon,Potatoes,748.8949966,2211.264507,2173.757168,2022
Watsonville Polygon,Berries,388.0112816,478.464572,410.5236672,2022
Watsonville Polygon,Field and Grain,21.71203462,1.571007061,-28.64700942,2022
Watsonville Polygon,Grapes,3.585262197,26.37376297,68.83644467,2022
Watsonville Polygon,Lettuce,-81.96305923,-215.8777327,-153.9343459,2022
Watsonville Polygon,N/A,-33.3549891,-34.69333802,-44.24281854,2022
Watsonville Polygon,Onions and Garlic,0,0,0,2022
Watsonville Polygon,Orchards,29.79128944,60.46148916,73.51554746,2022
Watsonville Polygon,Pasture,-8.771671257,7.218810548,93.91423436,2022
Watsonville Polygon,Subtropical,-2.077165111,-1.560141751,-4.759220619,2022
Watsonville Polygon,Truck,37.28245888,63.77341214,96.68709142,2022
Watsonville Polygon,Walnuts,-6.702650192,-6.702650192,-6.702650192,2022
Watsonville Polygon,Young Perennial,-5.490805929,-5.490805929,-5.490805929,2022
