g,i,year,xland,xwater,p,y,Cost of Water $/arc,omegalabor,omegasupply,omegaland,Etc
Benton,Hay/Silage,2021,5232,2,232,4.68,188,136,294,466,3.83877
Benton,Herb,2021,6860,2,386,0.06,188,848,678,466,2.416
Benton,Orchard,2021,12607,2,1381,17.05,188,1921,3616,466,2.65761
Benton,Seed,2021,38,2,9270,0.35,188,283,509,466,1.9686
Benton,Vegetable,2021,7258,0.454227379,856,15.25,188,5989,4294,466,2.9529
Benton,Vineyard,2021,18631,2,937,3.97,188,2486,3277,466,1.9686
Benton,Berry,2022,1270,2,3100,3.2,192,6588,9272,625,1.9686
Benton,Cereal Grain,2022,3592,1,264,2.77,192,85,220,625,2.081091
Benton,Hay/Silage,2022,5194,2,320,4.81,192,146,317,625,3.83877
Benton,Herb,2022,6898,2,424,0.06,192,915,732,625,2.416
Benton,Orchard,2022,12614,2,1697,15.27,192,2074,3904,625,2.65761
Benton,Seed,2022,8347,2,9510,0.37,192,305,549,625,1.9686
Benton,Vegetable,2022,7119,1,900,15.44,192,6466,4636,625,2.9529
Benton,Vineyard,2022,18630,2,903,5.8,192,2684,3538,625,1.9686
Benton,Berry,2023,1248,2,1900,3.53,198,6858,9652,731,1.9686
Benton,Cereal Grain,2023,4423,1,255,2.26,198,89,229,731,2.081091
Benton,Hay/Silage,2023,5179,2,258,5.11,198,152,330,731,3.83877
Benton,Herb,2023,6589,2,438,0.06,198,953,762,731,2.416
Benton,Orchard,2023,12333,2,1173,18.67,198,2159,4064,731,2.65761
Benton,Seed,2023,8239,2,9750,0.39,198,318,572,731,1.9686
Benton,Vegetable,2023,5872,1,860,16.63,198,6731,4826,731,2.9529
Benton,Vineyard,2023,18881,2,935,4.78,198,2794,3683,731,1.9686
Benton,Berry,2024,1248,2,4000,3.97,202,7074,9956,718,1.9686
Benton,Cereal Grain,2024,4423,1,278,3.6,202,92,236,718,2.081091
Benton,Hay/Silage,2024,5241,2,275,5,202,157,341,718,3.83877
Benton,Herb,2024,6589,2,600,0.06,202,983,786,718,2.416
Benton,Orchard,2024,12322,2,956,21.5,202,2227,4192,718,2.65761
Benton,Seed,2024,8203,2,14000,0.39,202,328,590,718,1.9686
Benton,Vegetable,2024,5872,1,1180,11.2,202,6943,4978,718,2.9529
Benton,Vineyard,2024,18875,2,940,4.33,202,2882,3799,718,1.9686
Kittitas,Berry,2015,3,1,2273,3.96,78,5400,7600,345,1.9686
Kittitas,Cereal Grain,2015,3004,3,160,2.21,78,70,180,345,2.081091
Kittitas,Hay/Silage,2015,48928,2,174,5.42,78,120,260,345,3.83877
Kittitas,Orchard,2015,1104,2,1269,16.16,78,1700,3200,345,2.65761
Kittitas,Seed,2015,175,3,7980,0.35,78,250,450,345,1.9686
Kittitas,Vegetable,2015,424,3,255,26.89,78,5300,3800,345,2.9529
Kittitas,Vineyard,2015,25,1,679,5.79,78,2200,2900,345,1.9686
Kittitas,Berry,2016,3,2,1900,4.17,80,5454,7676,345,1.9686
Kittitas,Cereal Grain,2016,3004,2,146,3.1,80,71,182,345,2.081091
Kittitas,Hay/Silage,2016,48928,2,142,5.43,80,253,455,345,3.83877
Kittitas,Herb,2016,6,1,368,0.06,80,121,263,345,2.416
Kittitas,Orchard,2016,1104,2,1364,18.6,80,1717,3232,345,2.65761
Kittitas,Seed,2016,175,2,8180,0.38,80,253,455,345,1.9686
Kittitas,Vegetable,2016,420,2,255,16.19,80,5353,3838,345,2.9529
Kittitas,Vineyard,2016,25,1,703,6.71,80,2222,2929,345,1.9686
Kittitas,Berry,2017,3,1,1700,4.02,82,5562,7828,350,1.9686
Kittitas,Cereal Grain,2017,2991,2,148,2.86,82,72,185,350,2.081091
Kittitas,Hay/Silage,2017,48806,2,172,5.69,82,124,268,350,3.83877
Kittitas,Herb,2017,6,2,320,136.15,82,258,464,350,2.416
Kittitas,Oilseed,2017,100,3,350,0.07,82,773,618,350,1.9686
Kittitas,Orchard,2017,1247,1,1205,19.01,82,1751,3296,350,2.65761
Kittitas,Seed,2017,175,2,8400,0.39,82,258,464,350,1.9686
Kittitas,Vegetable,2017,420,2,240,15.47,82,5459,3914,350,2.9529
Kittitas,Vineyard,2017,25,1,730,5.74,82,2266,2987,350,1.9686
Kittitas,Berry,2018,3,1,1467,3.99,84,5670,7980,358,1.9686
Kittitas,Cereal Grain,2018,1943,2,173,3.05,84,74,189,358,2.081091
Kittitas,Hay/Silage,2018,46842,3,186,4.76,84,126,273,358,3.83877
Kittitas,Herb,2018,10,2,340,0.07,0,263,473,358,2.416
Kittitas,Oilseed,2018,150,3,340,0.9,1,788,630,358,1.9686
Kittitas,Orchard,2018,1846,2,1194,17.27,84,1785,3360,358,2.65761
Kittitas,Seed,2018,955,2,8600,0.4,84,263,473,358,1.9686
Kittitas,Vegetable,2018,612,2,760,16.31,84,5565,3990,358,2.9529
Kittitas,Vineyard,2018,25,1,734,6.32,84,2310,3045,358,1.9686
Kittitas,Berry,2019,3,1,1600,3.86,87,5778,8132,360,1.9686
Kittitas,Cereal Grain,2019,1904,2,180,2.84,87,75,193,360,2.081091
Kittitas,Hay/Silage,2019,46738,2,193,4.65,87,128,278,360,3.83877
Kittitas,Herb,2019,10,2,386,0.07,87,268,482,360,2.416
Kittitas,Oilseed,2019,150,3,320,0.98,87,803,642,360,1.9686
Kittitas,Orchard,2019,1944,2,1234,18.86,87,1819,3424,360,2.65761
Kittitas,Seed,2019,955,2,8800,0.38,87,268,482,360,1.9686
Kittitas,Vegetable,2019,651,2,780,16.6,87,5671,4066,360,2.9529
Kittitas,Vineyard,2019,31,1,777,5.31,87,2354,3103,360,1.9686
Kittitas,Berry,2020,3,1,2200,3.88,89,5832,8208,390,1.9686
Kittitas,Cereal Grain,2020,1958,2,194,3.13,89,76,194,390,2.081091
Kittitas,Hay/Silage,2020,46735,2,191,4.81,89,130,281,390,3.83877
Kittitas,Herb,2020,10,2,386,0.06,89,270,486,390,2.416
Kittitas,Oilseed,2020,150,3,400,1.12,89,810,648,390,1.9686
Kittitas,Orchard,2020,1944,2,1676,16.88,89,1836,3456,390,2.65761
Kittitas,Seed,2020,955,2,9030,0.36,89,270,486,390,1.9686
Kittitas,Vegetable,2020,651,3,780,16.52,89,5724,4104,390,2.9529
Kittitas,Vineyard,2020,31,1,889,4.38,89,2376,3132,390,1.9686
Kittitas,Berry,2021,33,2,3600,2.8,91,6102,8588,395,1.9686
Kittitas,Cereal Grain,2021,1440,2,275,1.86,91,79,203,395,2.081091
Kittitas,Hay/Silage,2021,45353,3,232,4.68,91,136,294,395,3.83877
Kittitas,Herb,2021,17,3,386,0.06,91,283,509,395,2.416
Kittitas,Oilseed,2021,285,3,640,0.55,91,848,678,395,1.9686
Kittitas,Orchard,2021,1982,2,1381,17.05,91,1921,3616,395,2.65761
Kittitas,Seed,2021,527,2,9270,0.35,91,283,509,395,1.9686
Kittitas,Vegetable,2021,1376,2,856,15.25,91,5989,4294,395,2.9529
Kittitas,Vineyard,2021,64,2,937,3.97,91,2486,3277,395,1.9686
Kittitas,Berry,2022,33,2,3100,3.2,93,6588,9272,430,1.9686
Kittitas,Cereal Grain,2022,1440,2,264,2.77,93,85,220,430,2.081091
Kittitas,Hay/Silage,2022,45325,2,320,5.3,93,146,317,430,3.83877
Kittitas,Herb,2022,17,3,424,0.06,93,305,549,430,2.416
Kittitas,Oilseed,2022,285,2,590,0.85,93,915,732,430,1.9686
Kittitas,Orchard,2022,1982,2,1697,15.27,93,2074,3904,430,2.65761
Kittitas,Seed,2022,527,2,9510,0.37,93,305,549,430,1.9686
Kittitas,Vegetable,2022,1403,2,900,15.44,93,6466,4636,430,2.9529
Kittitas,Vineyard,2022,63,2,903,5.8,93,2684,3538,430,1.9686
Kittitas,Berry,2023,33,3,1900,3.53,96,6858,9652,182,1.9686
Kittitas,Cereal Grain,2023,1440,2,255,2.26,96,89,229,182,2.081091
Kittitas,Hay/Silage,2023,45325,2,258,5.11,96,152,330,182,3.83877
Kittitas,Herb,2023,17,2,438,0.06,96,318,572,182,2.416
Kittitas,Oilseed,2023,285,3,470,0.82,96,953,762,182,1.9686
Kittitas,Orchard,2023,1982,2,1173,18.67,96,2159,4064,182,2.65761
Kittitas,Seed,2023,527,2,9750,0.39,96,318,572,182,1.9686
Kittitas,Vegetable,2023,1403,2,860,16.63,96,6731,4826,182,2.9529
Kittitas,Vineyard,2023,63,2,935,4.78,96,2794,3683,182,1.9686
Kittitas,Berry,2024,33,3,4000,3.97,98,7074,9956,170,1.9686
Kittitas,Cereal Grain,2024,2347,2,278,3.6,98,92,236,170,2.081091
Kittitas,Hay/Silage,2024,40467,3,275,5,98,157,341,170,3.83877
Kittitas,Herb,2024,15,2,600,0.06,98,328,590,170,2.416
Kittitas,Oilseed,2024,68,3,370,0.77,98,983,786,170,1.9686
Kittitas,Orchard,2024,2054,2,956,21.5,98,2227,4192,170,2.65761
Kittitas,Seed,2024,432,2,14000,0.39,98,328,590,170,1.9686
Kittitas,Vegetable,2024,2237,2,1180,11.2,98,6943,4978,170,2.9529
Kittitas,Vineyard,2024,35,2,940,4.33,98,2882,3799,170,1.9686
Yakima,Berry,2015,412,2,2273,3.96,176,5400,7600,345,1.9686
Yakima,Cereal Grain,2015,59979,2,160,2.21,176,70,180,345,2.081091
Yakima,Hay/Silage,2015,41910,2,174,5.42,176,120,260,345,3.83877
Yakima,Herb,2015,39854,2,377,0.06,176,750,600,345,2.416
Yakima,Oilseed,2015,1112,2,350,0.55,176,250,450,345,1.9686
Yakima,Orchard,2015,70920,3,1269,16.16,176,1700,3200,345,2.65761
Yakima,Seed,2015,922,3,7980,0.35,176,250,450,345,1.9686
Yakima,Vegetable,2015,88,1,255,26.89,176,5300,3800,345,2.9529
Yakima,Vineyard,2015,6324,8,679,5.79,176,2200,2900,345,1.9686
Yakima,Berry,2016,421,2,1900,4.17,180,5454,7676,345,1.9686
Yakima,Cereal Grain,2016,59322,2,146,3.1,180,71,182,345,2.081091
Yakima,Hay/Silage,2016,39700,2,142,5.43,180,121,263,345,3.83877
Yakima,Herb,2016,41489,1,368,0.06,180,758,606,345,2.416
Yakima,Oilseed,2016,1119,2,314,1,180,253,455,345,1.9686
Yakima,Orchard,2016,70800,2,1364,18.6,180,1717,3232,345,2.65761
Yakima,Seed,2016,1436,2,8180,0.38,180,253,455,345,1.9686
Yakima,Vegetable,2016,6713,1,255,16.19,180,5353,3838,345,2.9529
Yakima,Vineyard,2016,18583,2,703,6.71,180,2222,2929,345,1.9686
Yakima,Berry,2017,421,1,1700,4.02,185,5562,7828,350,1.9686
Yakima,Cereal Grain,2017,59641,2,148,2.86,185,72,185,350,2.081091
Yakima,Hay/Silage,2017,39195,2,172,5.69,185,124,268,350,3.83877
Yakima,Herb,2017,41489,2,320,0.07,185,773,618,350,2.416
Yakima,Oilseed,2017,1119,2,350,0.84,185,258,464,350,1.9686
Yakima,Orchard,2017,70863,2,1205,19.01,185,1751,3296,350,2.65761
Yakima,Seed,2017,1436,1,8400,0.39,185,258,464,350,1.9686
Yakima,Vegetable,2017,6717,2,240,15.47,185,5459,3914,350,2.9529
Yakima,Vineyard,2017,18178,2,730,5.74,185,2266,2987,350,1.9686
Yakima,Berry,2018,415,2,1467,3.99,160,5670,7980,358,1.9686
Yakima,Cereal Grain,2018,57352,2,173,3.05,160,74,189,358,2.081091
Yakima,Hay/Silage,2018,39441,2,186,4.76,160,126,273,358,3.83877
Yakima,Herb,2018,43897,2,340,0.07,160,788,630,358,2.416
Yakima,Oilseed,2018,1122,2,340,0.9,160,263,473,358,1.9686
Yakima,Orchard,2018,70586,3,1194,17.27,160,1785,3360,358,2.65761
Yakima,Seed,2018,1485,3,8600,0.4,160,263,473,358,1.9686
Yakima,Vegetable,2018,6113,2,760,16.31,160,5565,3990,358,2.9529
Yakima,Vineyard,2018,18293,3,734,6.32,160,2310,3045,358,1.9686
Yakima,Berry,2019,436,2,1600,3.86,194,5778,8132,360,1.9686
Yakima,Cereal Grain,2019,55820,2,180,2.84,194,75,193,360,2.081091
Yakima,Hay/Silage,2019,41728,2,193,4.65,194,128,278,360,3.83877
Yakima,Herb,2019,43845,2,386,0.07,194,803,642,360,2.416
Yakima,Oilseed,2019,1084,2,320,0.98,194,268,482,360,1.9686
Yakima,Orchard,2019,71161,2,1234,18.86,194,1819,3424,360,2.65761
Yakima,Seed,2019,748,2,8800,0.38,194,268,482,360,1.9686
Yakima,Vegetable,2019,5012,2,780,16.6,194,5671,4066,360,2.9529
Yakima,Vineyard,2019,18075,2,777,5.31,194,2354,3103,360,1.9686
Yakima,Berry,2020,441,1,2200,3.88,199,5832,8208,390,1.9686
Yakima,Cereal Grain,2020,55801,2,194,3.13,199,76,194,390,2.081091
Yakima,Hay/Silage,2020,41763,2,191,4.81,199,130,281,390,3.83877
Yakima,Herb,2020,43742,2,386,0.06,199,810,648,390,2.416
Yakima,Oilseed,2020,1084,2,400,1.12,199,270,486,390,1.9686
Yakima,Orchard,2020,70821,2,1676,16.88,199,1836,3456,390,2.65761
Yakima,Seed,2020,748,2,9030,0.36,199,270,486,390,1.9686
Yakima,Vegetable,2020,5016,2,780,16.52,199,5724,4104,390,2.9529
Yakima,Vineyard,2020,17957,2,889,4.38,199,2376,3132,390,1.9686
Yakima,Berry,2021,411,2,3600,2.8,204,6102,8588,395,1.9686
Yakima,Cereal Grain,2021,58210,2,275,1.86,204,79,203,395,2.081091
Yakima,Hay/Silage,2021,42278,2,232,4.68,204,136,294,395,3.83877
Yakima,Herb,2021,44016,2,386,0.06,204,848,678,395,2.416
Yakima,Oilseed,2021,954,2,640,0.55,204,283,509,395,1.9686
Yakima,Orchard,2021,66403,2,1381,17.05,204,1921,3616,395,2.65761
Yakima,Seed,2021,206,2,9270,0.35,204,283,509,395,1.9686
Yakima,Vegetable,2021,4252,2,856,15.25,204,5989,4294,395,2.9529
Yakima,Vineyard,2021,16821,2,937,3.97,204,2486,3277,395,1.9686
Yakima,Berry,2022,411,2,3100,3.2,209,6588,9272,430,1.9686
Yakima,Cereal Grain,2022,58220,2,264,2.77,209,85,220,430,2.081091
Yakima,Hay/Silage,2022,42329,2,320,5.3,209,146,317,430,3.83877
Yakima,Herb,2022,44116,2,420,0.06,209,915,732,430,2.416
Yakima,Oilseed,2022,954,2,590,0.85,209,305,549,430,1.9686
Yakima,Orchard,2022,66438,2,1697,15.27,209,2074,3904,430,2.65761
Yakima,Seed,2022,168,2,9510,0.37,,305,549,430,1.9686
Yakima,Vegetable,2022,4251,2,900,15.44,209,6466,4636,430,2.9529
Yakima,Vineyard,2022,16759,2,903,5.8,209,2684,3538,430,1.9686
Yakima,Berry,2023,412,2,1900,3.53,215,6858,9652,236,1.9686
Yakima,Cereal Grain,2023,58304,2,255,2.26,215,89,229,236,2.081091
Yakima,Hay/Silage,2023,42419,2,258,5.11,215,152,330,236,3.83877
Yakima,Herb,2023,44164,2,438,0.06,215,953,762,236,2.416
Yakima,Oilseed,2023,954,2,470,0.82,215,318,572,236,1.9686
Yakima,Orchard,2023,66533,2,1173,18.67,215,2159,4064,236,2.65761
Yakima,Seed,2023,168,3,9750,0.39,215,318,572,236,1.9686
Yakima,Vegetable,2023,4284,2,860,16.63,215,6731,4826,236,2.9529
Yakima,Vineyard,2023,16782,2,935,4.78,215,2794,3683,236,1.9686
Yakima,Berry,2024,296,2,4000,3.97,220,7074,9956,233,1.9686
Yakima,Cereal Grain,2024,62558,2,278,3.6,220,92,236,233,2.081091
Yakima,Hay/Silage,2024,38705,2,275,5,220,157,341,233,3.83877
Yakima,Herb,2024,34348,2,600,0.06,220,983,786,233,2.416
Yakima,Oilseed,2024,1315,2,370,0.77,220,328,590,233,1.9686
Yakima,Orchard,2024,65418,2,956,21.5,220,2227,4192,233,2.65761
Yakima,Seed,2024,449,2,14000,0.39,220,328,590,233,1.9686
Yakima,Vegetable,2024,4939,2,1180,11.2,220,6943,4978,233,2.9529
Yakima,Vineyard,2024,16658,2,940,4.33,220,2882,3799,233,1.9686
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2024,1.81,1,940,4.33,2882,3799,407,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2024,2.01,57,277.5,3.6,92,236,407,2.081091
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2024,2.1,12,275,5,157,341,407,3.83877
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2024,1.91,10,5800,0.39,328,590,407,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2024,2.35,17,1180,11.2,6943,4978,407,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2024,1.81,1,940,4.33,2882,3799,407,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2024,2.34,10,275,5,157,341,407,3.83877
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2024,1.77,2,1180,11.2,6943,4978,407,2.9529
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2024,1.6,15,275,5,157,341,407,3.83877
BRADEN IRRIGATION DISTRICT NO. 20,Vineyard,2024,2.66,5,940,4.33,2882,3799,407,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2024,2.36,22,277.5,3.6,92,236,407,2.081091
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2024,1.95,11,5800,0.39,328,590,407,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2024,2.39,1,1180,11.2,6943,4978,407,2.9529
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2024,2.95,217,277.5,3.6,92,236,407,2.081091
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2024,2.06,102,275,5,157,341,407,3.83877
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2024,1.82,411,5800,0.39,328,590,407,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2024,2.61,2,1180,11.2,6943,4978,407,2.9529
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2024,1.8,2128,277.5,3.6,92,236,407,2.081091
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2024,2.86,1113,275,5,157,341,407,3.83877
GARDENA FARMS DISTRICT NO. 13,Orchard,2024,1.5,7,4781,21.5,2227,4192,407,2.65761
GARDENA FARMS DISTRICT NO. 13,Seed,2024,2.28,4440,5800,0.39,328,590,407,1.9686
GARDENA FARMS DISTRICT NO. 13,Vegetable,2024,2.82,78,1180,11.2,6943,4978,407,2.9529
GREEN TANK IRRIGATION DISTRICT NO. 11,Hay/Silage,2024,2.35,19,275,5,157,341,407,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2024,2.68,97,277.5,3.6,92,236,407,2.081091
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2024,2.66,32,275,5,157,341,407,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Seed,2024,1.78,7,5800,0.39,328,590,407,1.9686
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2024,1.82,5,275,5,157,341,407,3.83877
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2024,2.26,15,1180,11.2,6943,4978,407,2.9529
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2024,2.7,209,277.5,3.6,92,236,407,2.081091
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2024,2.94,27,275,5,157,341,407,3.83877
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2024,2.49,438,5800,0.39,328,590,407,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2024,2.86,30,277.5,3.6,92,236,407,2.081091
MUD CREEK IRRIGATION DISTRICT NO. 7,Hay/Silage,2024,3.02,11,275,5,157,341,407,3.83877
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2024,1.9,8,5800,0.39,328,590,407,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2024,1.75,674,277.5,3.6,92,236,407,2.081091
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2024,2.64,684,275,5,157,341,407,3.83877
TOUCHET IRRIGATION DISTRICT NO. 16,Herb,2024,2.12,1,60000,0.06,328,590,407,2.416
TOUCHET IRRIGATION DISTRICT NO. 16,Oilseed,2024,2.43,56,370,0.77,983,786,407,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2024,2.57,558,5800,0.39,328,590,407,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2024,3.04,333,1180,11.2,6943,4978,407,2.9529
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2024,2.19,1468,277.5,3.6,92,236,407,2.081091
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2024,2.67,1035,956,21.5,2227,4192,407,2.65761
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2024,1.32,1882,1180,11.2,6943,4978,407,2.9529
WALLA WALLA WATER & POWER DISTRICT NO. 18,Seed,2024,1.84,67,5800,0.39,328,590,407,1.9686
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2024,1.65,121,1180,11.2,6943,4978,407,2.9529
WATER DISTRIBUTION DISTRICT NO.  1,Seed,2024,2.87,4,5800,0.39,328,590,407,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2024,1.71,350,277.5,3.6,92,236,407,2.081091
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2024,2.35,234,275,5,157,341,407,3.83877
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2024,93.3,570,5800,0.39,328,590,407,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2024,2.99,50,1180,11.2,6943,4978,407,2.9529
