g,i,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,Etc
Naches-Selah,Hay/Silage,2024,645,2,275,5,157,341,233,0.51
Naches-Selah,Orchard,2024,4178,2,956,21.5,2227,4192,233,0.13
Naches-Selah,Vegetable,2024,1,2.184,1180,11.2,6943,4978,233,0.3
Naches-Selah,Vineyard,2024,23,2,940,4.33,2882,3799,233,0.13
Not In I.D.,Berry,2024,1,2.167,4000,3.97,7074,9956,233,0.25
Not In I.D.,Cereal Grain,2024,35,2,278,3.6,92,236,233,0.74
Not In I.D.,Hay/Silage,2024,1037,2,275,5,157,341,233,0.51
Not In I.D.,Herb,2024,236,2,600,0.06,983,786,233,0.41
Not In I.D.,Orchard,2024,2340,2,956,21.5,2227,4192,233,0.13
Not In I.D.,Vegetable,2024,16,2,1180,11.2,6943,4978,233,0.3
Not In I.D.,Vineyard,2024,1,1.969,940,4.33,2882,3799,233,0.13
Olsen,Hay/Silage,2024,316,2,275,5,157,341,233,0.51
Packwood,Hay/Silage,2024,400,2,275,5,157,341,233,0.51
Roza,Berry,2024,1285,2,4000,3.97,7074,9956,233,0.25
Roza,Cereal Grain,2024,6683,2,278,3.6,92,236,233,0.74
Roza,Hay/Silage,2024,3510,2,275,5,157,341,233,0.51
Roza,Herb,2024,8077,2,600,0.06,983,786,233,0.41
Roza,Orchard,2024,27533,2,956,21.5,2227,4192,233,0.13
Roza,Vegetable,2024,335,2,1180,11.2,6943,4978,233,0.3
Roza,Vineyard,2024,14913,2,940,4.33,2882,3799,233,0.13
SVID,Berry,2024,56,2,4000,3.97,7074,9956,233,0.25
SVID,Cereal Grain,2024,16312,2,278,3.6,92,236,233,0.74
SVID,Hay/Silage,2024,9274,2,275,5,157,341,233,0.51
SVID,Herb,2024,7613,2,600,0.06,983,786,233,0.41
SVID,Orchard,2024,7043,2,956,21.5,2227,4192,233,0.13
SVID,Seed,2024,9,2.662,14000,0.39,328,590,233,0.74
SVID,Vegetable,2024,640,2,1180,11.2,6943,4978,233,0.3
SVID,Vineyard,2024,8016,2,940,4.33,2882,3799,233,0.13
Terrace Heights,Hay/Silage,2024,20,2,275,5,157,341,233,0.51
Terrace Heights,Orchard,2024,31,2,956,21.5,2227,4192,233,0.13
Terrace Heights,Vineyard,2024,10,2,940,4.33,2882,3799,233,0.13
Throp Mill,Hay/Silage,2024,68,2,275,5,157,341,233,0.51
Union Gap,Cereal Grain,2024,15,2,278,3.6,92,236,233,0.74
Union Gap,Hay/Silage,2024,37,2,275,5,157,341,233,0.51
Union Gap,Orchard,2024,1654,2,956,21.5,2227,4192,233,0.13
Union Gap,Vineyard,2024,62,2,940,4.33,2882,3799,233,0.13
Wenas,Hay/Silage,2024,788,2,275,5,157,341,233,0.51
Wenas,Herb,2024,194,2,600,0.06,983,786,233,0.41
West Side,Cereal Grain,2024,59,2,278,3.6,92,236,233,0.74
West Side,Hay/Silage,2024,3121,2,275,5,157,341,233,0.51
West Side,Oilseed,2024,5,2.366,370,0.77,655.5,688,201.5,0.74
West Side,Seed,2024,40,1.98,14000,0.39,328,590,233,0.74
West Side,Vegetable,2024,81,2,1180,11.2,6943,4978,233,0.3
Yakima-Tieton,Berry,2024,12,2,4000,3.97,7074,9956,233,0.25
Yakima-Tieton,Hay/Silage,2024,1729,2,275,5,157,341,233,0.51
Yakima-Tieton,Orchard,2024,14428,2,956,21.5,2227,4192,233,0.13
Yakima-Tieton,Vegetable,2024,23,2,1180,11.2,6943,4978,233,0.3
Yakima-Tieton,Vineyard,2024,93,2,940,4.33,2882,3799,233,0.13
Yakima-Wapato,Berry,2024,29,2,4000,3.97,7074,9956,233,0.25
Yakima-Wapato,Cereal Grain,2024,31999,2,278,3.6,92,236,233,0.74
Yakima-Wapato,Hay/Silage,2024,17317,2,275,5,157,341,233,0.51
Yakima-Wapato,Herb,2024,18107,2,600,0.06,983,786,233,0.41
Yakima-Wapato,Oilseed,2024,1036,2.5,370,0.77,655.5,688,201.5,0.74
Yakima-Wapato,Orchard,2024,9468,2,956,21.5,2227,4192,233,0.13
Yakima-Wapato,Seed,2024,434,2,14000,0.39,328,590,233,0.74
Yakima-Wapato,Vegetable,2024,3845,2,1180,11.2,6943,4978,233,0.3
Yakima-Wapato,Vineyard,2024,2181,2,940,4.33,2882,3799,233,0.13
Ahtanum,Berry,2023,3,2,1900,3.53,6858,9652,236,0.25
Ahtanum,Cereal Grain,2023,14,2,255,2.26,89,229,236,0.74
Ahtanum,Hay/Silage,2023,1532,2,258,5.11,152,330,236,0.51
Ahtanum,Herb,2023,35,2,438,0.06,953,762,236,0.41
Ahtanum,Orchard,2023,111,2,1173,18.67,2159,4064,236,0.13
Buena,Cereal Grain,2023,109,2,255,2.26,89,229,236,0.74
Buena,Hay/Silage,2023,62,2,258,5.11,152,330,236,0.51
Buena,Herb,2023,72,2,438,0.06,953,762,236,0.41
Buena,Orchard,2023,39,2,1173,18.67,2159,4064,236,0.13
Buena,Vegetable,2023,4,2,860,16.63,6731,4826,236,0.3
Bull Ditch,Hay/Silage,2023,832,2,258,5.11,152,330,236,0.51
Bull Ditch,Oilseed,2023,5,2.283,470,0.82,635.5,667,209,0.74
Bull Ditch,Vegetable,2023,28,2,860,16.63,6731,4826,236,0.3
Cascade,Cereal Grain,2023,190,2,255,2.26,89,229,236,0.74
Cascade,Hay/Silage,2023,6268,2,258,5.11,152,330,236,0.51
Cascade,Herb,2023,3,2,438,0.06,953,762,236,0.41
Cascade,Orchard,2023,76,2,1173,18.67,2159,4064,236,0.13
Cascade,Seed,2023,113,2,9750,0.39,318,572,236,0.74
Cascade,Vegetable,2023,220,2,860,16.63,6731,4826,236,0.3
Ellensburg Wat,Cereal Grain,2023,277,2,255,2.26,89,229,236,0.74
Ellensburg Wat,Hay/Silage,2023,6884,2,258,5.11,152,330,236,0.51
Ellensburg Wat,Oilseed,2023,172,2.5,470,0.82,635.5,667,209,0.74
Ellensburg Wat,Seed,2023,91,2,9750,0.39,318,572,236,0.74
Ellensburg Wat,Vegetable,2023,607,2,860,16.63,6731,4826,236,0.3
Ellensburg Wat,Vineyard,2023,8,2,935,4.78,2794,3683,236,0.13
FGP,Cereal Grain,2023,4,1.913,255,2.26,89,229,236,0.74
FGP,Hay/Silage,2023,1,2.782,258,5.11,152,330,236,0.51
FGP,Vegetable,2023,155,2,860,16.63,6731,4826,236,0.3
Fowler Ditch,Hay/Silage,2023,11,2,258,5.11,152,330,236,0.51
Fowler Ditch,Herb,2023,665,2,438,0.06,953,762,236,0.41
Fowler Ditch,Vineyard,2023,18,2,935,4.78,2794,3683,236,0.13
Irrigated area outside irrigation districts,Berry,2023,169,2,1900,3.53,6858,9652,236,0.25
Irrigated area outside irrigation districts,Cereal Grain,2023,9874,2,255,2.26,89,229,236,0.74
Irrigated area outside irrigation districts,Hay/Silage,2023,9348,2,258,5.11,152,330,236,0.51
Irrigated area outside irrigation districts,Herb,2023,3914,2,438,0.06,953,762,236,0.41
Irrigated area outside irrigation districts,Orchard,2023,9197,2,1173,18.67,2159,4064,236,0.13
Irrigated area outside irrigation districts,Vegetable,2023,4188,2,860,16.63,6731,4826,236,0.3
Irrigated area outside irrigation districts,Vineyard,2023,5012,2,935,4.78,2794,3683,236,0.13
KID,Berry,2023,4,2,1900,3.53,6858,9652,236,0.25
KID,Cereal Grain,2023,1199,2,255,2.26,89,229,236,0.74
KID,Hay/Silage,2023,1321,2,258,5.11,152,330,236,0.51
KID,Herb,2023,12,2,438,0.06,953,762,236,0.41
KID,Orchard,2023,1926,2,1173,18.67,2159,4064,236,0.13
KID,Vegetable,2023,1231,2,860,16.63,6731,4826,236,0.3
KID,Vineyard,2023,5176,2,935,4.78,2794,3683,236,0.13
KRD,Berry,2023,33,2,1900,3.53,6858,9652,236,0.25
KRD,Cereal Grain,2023,879,2,255,2.26,89,229,236,0.74
KRD,Hay/Silage,2023,25065,2,258,5.11,152,330,236,0.51
KRD,Herb,2023,13,2,438,0.06,953,762,236,0.41
KRD,Oilseed,2023,107,2.5,470,0.82,635.5,667,209,0.74
KRD,Orchard,2023,1699,2,1173,18.67,2159,4064,236,0.13
KRD,Seed,2023,325,2,9750,0.39,318,572,236,0.74
KRD,Vegetable,2023,543,2,860,16.63,6731,4826,236,0.3
KRD,Vineyard,2023,13,2,935,4.78,2794,3683,236,0.13
Moxee-Selah,Hay/Silage,2023,167,2,258,5.11,152,330,236,0.51
Moxee-Selah,Herb,2023,3403,2,438,0.06,953,762,236,0.41
Moxee-Selah,Orchard,2023,103,2,1173,18.67,2159,4064,236,0.13
Moxee-Selah,Vegetable,2023,5,2,860,16.63,6731,4826,236,0.3
Moxee-Selah,Vineyard,2023,5,1.575,935,4.78,2794,3683,236,0.13
Naches-Selah,Berry,2023,24,2,1900,3.53,6858,9652,236,0.25
Naches-Selah,Hay/Silage,2023,591,2,258,5.11,152,330,236,0.51
Naches-Selah,Orchard,2023,4248,2,1173,18.67,2159,4064,236,0.13
Naches-Selah,Vineyard,2023,13,2,935,4.78,2794,3683,236,0.13
Not In I.D.,Berry,2023,1,2.133,1900,3.53,6858,9652,236,0.25
Not In I.D.,Cereal Grain,2023,58,2,255,2.26,89,229,236,0.74
Not In I.D.,Hay/Silage,2023,1106,2,258,5.11,152,330,236,0.51
Not In I.D.,Herb,2023,399,2,438,0.06,953,762,236,0.41
Not In I.D.,Orchard,2023,2459,2,1173,18.67,2159,4064,236,0.13
Not In I.D.,Vegetable,2023,13,2,860,16.63,6731,4826,236,0.3
Not In I.D.,Vineyard,2023,1,2.182,935,4.78,2794,3683,236,0.13
Olsen,Hay/Silage,2023,363,2,258,5.11,152,330,236,0.51
Olsen,Vineyard,2023,29,2.333,935,4.78,2794,3683,236,0.13
Packwood,Hay/Silage,2023,409,2,258,5.11,152,330,236,0.51
Roza,Berry,2023,1379,2,1900,3.53,6858,9652,236,0.25
Roza,Cereal Grain,2023,6414,2,255,2.26,89,229,236,0.74
Roza,Hay/Silage,2023,3936,2,258,5.11,152,330,236,0.51
Roza,Herb,2023,8746,2,438,0.06,953,762,236,0.41
Roza,Orchard,2023,27526,2,1173,18.67,2159,4064,236,0.13
Roza,Vegetable,2023,268,2,860,16.63,6731,4826,236,0.3
Roza,Vineyard,2023,14889,2,935,4.78,2794,3683,236,0.13
SVID,Berry,2023,40,2,1900,3.53,6858,9652,236,0.25
SVID,Cereal Grain,2023,13817,2,255,2.26,89,229,236,0.74
SVID,Hay/Silage,2023,11171,2,258,5.11,152,330,236,0.51
SVID,Herb,2023,9034,2,438,0.06,953,762,236,0.41
SVID,Oilseed,2023,1,2.815,470,0.82,635.5,667,209,0.74
SVID,Orchard,2023,7083,2,1173,18.67,2159,4064,236,0.13
SVID,Vegetable,2023,877,2,860,16.63,6731,4826,236,0.3
SVID,Vineyard,2023,8280,2,935,4.78,2794,3683,236,0.13
Terrace Heights,Hay/Silage,2023,15,2,258,5.11,152,330,236,0.51
Terrace Heights,Orchard,2023,31,2,1173,18.67,2159,4064,236,0.13
Terrace Heights,Vineyard,2023,10,2,935,4.78,2794,3683,236,0.13
Throp Mill,Hay/Silage,2023,67,2,258,5.11,152,330,236,0.51
Union Gap,Hay/Silage,2023,48,2,258,5.11,152,330,236,0.51
Union Gap,Orchard,2023,1683,2,1173,18.67,2159,4064,236,0.13
Union Gap,Vineyard,2023,55,2,935,4.78,2794,3683,236,0.13
Wenas,Hay/Silage,2023,874,2,258,5.11,152,330,236,0.51
Wenas,Herb,2023,92,2,438,0.06,953,762,236,0.41
West Side,Cereal Grain,2023,22,2,255,2.26,89,229,236,0.74
West Side,Hay/Silage,2023,3486,2,258,5.11,152,330,236,0.51
West Side,Vegetable,2023,3,1.683,860,16.63,6731,4826,236,0.3
Yakima-Tieton,Berry,2023,13,2,1900,3.53,6858,9652,236,0.25
Yakima-Tieton,Hay/Silage,2023,1608,2,258,5.11,152,330,236,0.51
Yakima-Tieton,Herb,2023,1,2,438,0.06,953,762,236,0.41
Yakima-Tieton,Orchard,2023,14529,2,1173,18.67,2159,4064,236,0.13
Yakima-Tieton,Vegetable,2023,9,2,860,16.63,6731,4826,236,0.3
Yakima-Tieton,Vineyard,2023,82,2,935,4.78,2794,3683,236,0.13
Yakima-Wapato,Berry,2023,29,2,1900,3.53,6858,9652,236,0.25
Yakima-Wapato,Cereal Grain,2023,31273,2,255,2.26,89,229,236,0.74
Yakima-Wapato,Hay/Silage,2023,17724,2,258,5.11,152,330,236,0.51
Yakima-Wapato,Herb,2023,24398,2,438,0.06,953,762,236,0.41
Yakima-Wapato,Oilseed,2023,953,2.5,470,0.82,635.5,667,209,0.74
Yakima-Wapato,Orchard,2023,10062,2,1173,18.67,2159,4064,236,0.13
Yakima-Wapato,Seed,2023,167,2,9750,0.39,318,572,236,0.74
Yakima-Wapato,Vegetable,2023,3267,2,860,16.63,6731,4826,236,0.3
Yakima-Wapato,Vineyard,2023,2125,2,935,4.78,2794,3683,236,0.13
Ahtanum,Berry,2022,3,2,3100,3.2,6588,9272,430,0.25
Ahtanum,Cereal Grain,2022,14,2,264,2.77,85,220,430,0.74
Ahtanum,Hay/Silage,2022,1532,2,320,5.3,146,317,430,0.51
Ahtanum,Herb,2022,35,2,424,0.06,915,732,430,0.41
Ahtanum,Orchard,2022,142,2,1697,15.27,2074,3904,430,0.13
Buena,Cereal Grain,2022,109,2,264,2.77,85,220,430,0.74
Buena,Hay/Silage,2022,62,2,320,5.3,146,317,430,0.51
Buena,Herb,2022,72,2,424,0.06,915,732,430,0.41
Buena,Orchard,2022,39,2,1697,15.27,2074,3904,430,0.13
Buena,Vegetable,2022,4,2,900,15.44,6466,4636,430,0.3
Bull Ditch,Hay/Silage,2022,832,2,320,5.3,146,317,430,0.51
Bull Ditch,Oilseed,2022,5,2.331,590,0.85,610,640.5,430,0.74
Bull Ditch,Vegetable,2022,28,2,900,15.44,6466,4636,430,0.3
Cascade,Cereal Grain,2022,190,2,264,2.77,85,220,430,0.74
Cascade,Hay/Silage,2022,6268,2,320,5.3,146,317,430,0.51
Cascade,Herb,2022,3,2,424,0.06,915,732,430,0.41
Cascade,Orchard,2022,76,2,1697,15.27,2074,3904,430,0.13
Cascade,Seed,2022,113,2,9510,0.37,305,549,430,0.74
Cascade,Vegetable,2022,220,2,900,15.44,6466,4636,430,0.3
Ellensburg Wat,Cereal Grain,2022,277,2,264,2.77,85,220,430,0.74
Ellensburg Wat,Hay/Silage,2022,6884,2,320,5.3,146,317,430,0.51
Ellensburg Wat,Oilseed,2022,172,2,590,0.85,610,640.5,430,0.74
Ellensburg Wat,Seed,2022,91,2,9510,0.37,305,549,430,0.74
Ellensburg Wat,Vegetable,2022,607,2,900,15.44,6466,4636,430,0.3
Ellensburg Wat,Vineyard,2022,8,2,903,5.8,2684,3538,430,0.13
FGP,Hay/Silage,2022,156,2,320,5.3,146,317,430,0.51
Fowler Ditch,Hay/Silage,2022,11,2,320,5.3,146,317,430,0.51
Fowler Ditch,Herb,2022,665,2,424,0.06,915,732,430,0.41
Fowler Ditch,Vineyard,2022,18,2,903,5.8,2684,3538,430,0.13
Irrigated area outside irrigation districts,Berry,2022,174,2,3100,3.2,6588,9272,430,0.25
Irrigated area outside irrigation districts,Cereal Grain,2022,8936,2,264,2.77,85,220,430,0.74
Irrigated area outside irrigation districts,Hay/Silage,2022,9446,2,320,5.3,146,317,430,0.51
Irrigated area outside irrigation districts,Herb,2022,3933,2,424,0.06,915,732,430,0.41
Irrigated area outside irrigation districts,Orchard,2022,9047,2,1697,15.27,2074,3904,430,0.13
Irrigated area outside irrigation districts,Vegetable,2022,5308,2,900,15.44,6466,4636,430,0.3
Irrigated area outside irrigation districts,Vineyard,2022,5016,2,903,5.8,2684,3538,430,0.13
KID,Berry,2022,4,2,3100,3.2,6588,9272,430,0.25
KID,Cereal Grain,2022,1257,2,264,2.77,85,220,430,0.74
KID,Hay/Silage,2022,1158,2,320,5.3,146,317,430,0.51
KID,Herb,2022,207,2,424,0.06,915,732,430,0.41
KID,Orchard,2022,2003,2,1697,15.27,2074,3904,430,0.13
KID,Vegetable,2022,1655,2,900,15.44,6466,4636,430,0.3
KID,Vineyard,2022,4844,2,903,5.8,2684,3538,430,0.13
KRD,Berry,2022,33,2,3100,3.2,6588,9272,430,0.25
KRD,Cereal Grain,2022,879,2,264,2.77,85,220,430,0.74
KRD,Hay/Silage,2022,25065,2,320,5.3,146,317,430,0.51
KRD,Herb,2022,13,2,424,0.06,915,732,430,0.41
KRD,Oilseed,2022,107,2,590,0.85,610,640.5,430,0.74
KRD,Orchard,2022,1699,2,1697,15.27,2074,3904,430,0.13
KRD,Seed,2022,325,2,9510,0.37,305,549,430,0.74
KRD,Vegetable,2022,543,2,900,15.44,6466,4636,430,0.3
KRD,Vineyard,2022,13,2,903,5.8,2684,3538,430,0.13
Moxee-Selah,Hay/Silage,2022,167,2,320,5.3,146,317,430,0.51
Moxee-Selah,Herb,2022,3403,2,424,0.06,915,732,430,0.41
Moxee-Selah,Orchard,2022,103,2,1697,15.27,2074,3904,430,0.13
Moxee-Selah,Vegetable,2022,5,2,900,15.44,6466,4636,430,0.3
Moxee-Selah,Vineyard,2022,5,1.713,903,5.8,2684,3538,430,0.13
Naches-Selah,Berry,2022,24,2,3100,3.2,6588,9272,430,0.25
Naches-Selah,Hay/Silage,2022,590,2,320,5.3,146,317,430,0.51
Naches-Selah,Orchard,2022,4290,2,1697,15.27,2074,3904,430,0.13
Naches-Selah,Vineyard,2022,13,2,903,5.8,2684,3538,430,0.13
Not In I.D.,Berry,2022,1,2.133,3100,3.2,6588,9272,430,0.25
Not In I.D.,Cereal Grain,2022,58,2,264,2.77,85,220,430,0.74
Not In I.D.,Hay/Silage,2022,1091,2,320,5.3,146,317,430,0.51
Not In I.D.,Herb,2022,384,2,424,0.06,915,732,430,0.41
Not In I.D.,Orchard,2022,2489,2,1697,15.27,2074,3904,430,0.13
Not In I.D.,Vegetable,2022,13,2,900,15.44,6466,4636,430,0.3
Not In I.D.,Vineyard,2022,1,2.395,903,5.8,2684,3538,430,0.13
Olsen,Hay/Silage,2022,363,2,320,5.3,146,317,430,0.51
Olsen,Vineyard,2022,29,2.488,903,5.8,2684,3538,430,0.13
Packwood,Hay/Silage,2022,409,2,320,5.3,146,317,430,0.51
Roza,Berry,2022,1429,2,3100,3.2,6588,9272,430,0.25
Roza,Cereal Grain,2022,6522,2,264,2.77,85,220,430,0.74
Roza,Hay/Silage,2022,3885,2,320,5.3,146,317,430,0.51
Roza,Herb,2022,8817,2,424,0.06,915,732,430,0.41
Roza,Orchard,2022,27727,2,1697,15.27,2074,3904,430,0.13
Roza,Vegetable,2022,118,2,900,15.44,6466,4636,430,0.3
Roza,Vineyard,2022,14926,2,903,5.8,2684,3538,430,0.13
SVID,Berry,2022,8,2,3100,3.2,6588,9272,430,0.25
SVID,Cereal Grain,2022,13826,2,264,2.77,85,220,430,0.74
SVID,Hay/Silage,2022,11063,2,320,5.3,146,317,430,0.51
SVID,Herb,2022,9040,2,424,0.06,915,732,430,0.41
SVID,Oilseed,2022,1,2.733,590,0.85,610,640.5,430,0.74
SVID,Orchard,2022,7017,2,1697,15.27,2074,3904,430,0.13
SVID,Vegetable,2022,871,2,900,15.44,6466,4636,430,0.3
SVID,Vineyard,2022,8295,2,903,5.8,2684,3538,430,0.13
Terrace Heights,Hay/Silage,2022,15,2,320,5.3,146,317,430,0.51
Terrace Heights,Orchard,2022,31,2,1697,15.27,2074,3904,430,0.13
Terrace Heights,Vineyard,2022,10,2,903,5.8,2684,3538,430,0.13
Throp Mill,Hay/Silage,2022,67,2,320,5.3,146,317,430,0.51
Union Gap,Hay/Silage,2022,49,2,320,5.3,146,317,430,0.51
Union Gap,Orchard,2022,1686,2,1697,15.27,2074,3904,430,0.13
Union Gap,Vineyard,2022,55,2,903,5.8,2684,3538,430,0.13
Wenas,Hay/Silage,2022,874,2,320,5.3,146,317,430,0.51
Wenas,Herb,2022,92,2,424,0.06,915,732,430,0.41
West Side,Cereal Grain,2022,22,2,264,2.77,85,220,430,0.74
West Side,Hay/Silage,2022,3486,2,320,5.3,146,317,430,0.51
West Side,Vegetable,2022,3,2.192,900,15.44,6466,4636,430,0.3
Yakima-Tieton,Berry,2022,14,2,3100,3.2,6588,9272,430,0.25
Yakima-Tieton,Hay/Silage,2022,1606,2,320,5.3,146,317,430,0.51
Yakima-Tieton,Herb,2022,1,2,424,0.06,915,732,430,0.41
Yakima-Tieton,Orchard,2022,14546,2,1697,15.27,2074,3904,430,0.13
Yakima-Tieton,Vegetable,2022,9,2,900,15.44,6466,4636,430,0.3
Yakima-Tieton,Vineyard,2022,81,2,903,5.8,2684,3538,430,0.13
Yakima-Wapato,Berry,2022,27,2,3100,3.2,6588,9272,430,0.25
Yakima-Wapato,Cereal Grain,2022,31136,2,264,2.77,85,220,430,0.74
Yakima-Wapato,Hay/Silage,2022,17724,2,320,5.3,146,317,430,0.51
Yakima-Wapato,Herb,2022,24382,2,424,0.06,915,732,430,0.41
Yakima-Wapato,Oilseed,2022,953,2,590,0.85,610,640.5,430,0.74
Yakima-Wapato,Orchard,2022,10064,2,1697,15.27,2074,3904,430,0.13
Yakima-Wapato,Seed,2022,167,2,9510,0.37,305,549,430,0.74
Yakima-Wapato,Vegetable,2022,3233,2,900,15.44,6466,4636,430,0.3
Yakima-Wapato,Vineyard,2022,2125,2,903,5.8,2684,3538,430,0.13
Ahtanum,Berry,2021,3,2,3600,2.8,6102,8588,395,0.25
Ahtanum,Cereal Grain,2021,14,2,275,1.86,79,203,395,0.74
Ahtanum,Hay/Silage,2021,1532,2,232,4.68,136,294,395,0.51
Ahtanum,Herb,2021,35,2,386,0.06,848,678,395,0.41
Ahtanum,Orchard,2021,142,2,1381,17.05,1921,3616,395,0.13
Buena,Cereal Grain,2021,109,2,275,1.86,79,203,395,0.74
Buena,Hay/Silage,2021,62,2,232,4.68,136,294,395,0.51
Buena,Herb,2021,72,2,386,0.06,848,678,395,0.41
Buena,Orchard,2021,39,2,1381,17.05,1921,3616,395,0.13
Buena,Vegetable,2021,4,2,856,15.25,5989,4294,395,0.3
Bull Ditch,Hay/Silage,2021,860,2,232,4.68,136,294,395,0.51
Bull Ditch,Oilseed,2021,5,2.79,640,0.55,565.5,593.5,395,0.74
Cascade,Cereal Grain,2021,190,2,275,1.86,79,203,395,0.74
Cascade,Hay/Silage,2021,6268,2,232,4.68,136,294,395,0.51
Cascade,Herb,2021,3,2,386,0.06,848,678,395,0.41
Cascade,Orchard,2021,76,2,1381,17.05,1921,3616,395,0.13
Cascade,Seed,2021,113,2,9270,0.35,283,509,395,0.74
Cascade,Vegetable,2021,220,2,856,15.25,5989,4294,395,0.3
Ellensburg Wat,Cereal Grain,2021,277,2,275,1.86,79,203,395,0.74
Ellensburg Wat,Hay/Silage,2021,6884,2,232,4.68,136,294,395,0.51
Ellensburg Wat,Oilseed,2021,172,2.5,640,0.55,565.5,593.5,395,0.74
Ellensburg Wat,Seed,2021,91,2,9270,0.35,283,509,395,0.74
Ellensburg Wat,Vegetable,2021,607,2,856,15.25,5989,4294,395,0.3
