i,g,year,xwater,omegaland,omegasupply,omegalabor,p,y,xland
APPLE,13,2008,2.291936312,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.067707
APPLE,13,2009,2.018955931,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.067707
APPLE,13,2010,1.65731376,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.799169
APPLE,13,2011,2.114945154,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054386
APPLE,13,2012,2.108026059,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054385
APPLE,13,2013,1.85298605,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054386
APPLE,13,2014,2.045956865,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054386
APPLE,13,2015,2.281097955,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054385
APPLE,13,2016,2.324385524,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054385
APPLE,13,2017,2.150992212,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054385
APPLE,13,2018,2.275270235,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054385
APPLE,15,2012,2.082255712,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.506617
APPLE,15,2013,1.896118985,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.506617
APPLE,15,2014,1.997889226,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.506617
APPLE,15,2015,2.1522538,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.506616
APPLE,15,2016,2.310338295,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.506616
APPLE,15,2017,2.122116428,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.506616
APPLE,15,2018,2.241087048,5007.715533,17965.50499,7699.50214,2102.721739,15.18,22.563536
APPLE,17,2008,2.489986727,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.247016
APPLE,17,2009,2.371269639,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.247016
APPLE,17,2010,2.122939128,5007.715533,17965.50499,7699.50214,2102.721739,15.18,8.656516
APPLE,17,2011,2.271618638,5007.715533,17965.50499,7699.50214,2102.721739,15.18,8.656516
APPLE,17,2012,2.18560758,5007.715533,17965.50499,7699.50214,2102.721739,15.18,18.872767
APPLE,17,2013,2.176174497,5007.715533,17965.50499,7699.50214,2102.721739,15.18,18.872766
APPLE,17,2014,2.433805573,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.946809
APPLE,17,2015,2.545107105,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.946807
APPLE,17,2016,2.466179367,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.946807
APPLE,17,2017,2.420580737,5007.715533,17965.50499,7699.50214,2102.721739,15.18,20.335649
APPLE,17,2018,2.432921229,5007.715533,17965.50499,7699.50214,2102.721739,15.18,20.335649
APPLE,18,2008,2.417134057,5007.715533,17965.50499,7699.50214,2102.721739,15.18,8.58068
APPLE,18,2009,2.325100464,5007.715533,17965.50499,7699.50214,2102.721739,15.18,8.58068
APPLE,18,2010,2.105835997,5007.715533,17965.50499,7699.50214,2102.721739,15.18,8.58068
APPLE,18,2011,2.204570246,5007.715533,17965.50499,7699.50214,2102.721739,15.18,8.228158
APPLE,18,2012,2.239481015,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627599
APPLE,18,2013,2.124424729,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627599
APPLE,18,2014,2.365756201,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627599
APPLE,18,2015,2.39389504,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627598
APPLE,18,2016,2.39389504,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627598
APPLE,18,2017,2.262124203,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627598
APPLE,18,2018,2.29031369,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627598
APPLE,2,2010,1.98060417,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.832469
APPLE,2,2011,2.072683095,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.986221
APPLE,2,2012,2.118713081,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.986222
APPLE,2,2013,2.025053652,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10.37085
APPLE,2,2014,2.151848749,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10.37085
APPLE,2,2015,2.249652259,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10.370848
APPLE,2,2016,2.278863091,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25.283257
APPLE,2,2017,2.225998074,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25.283257
APPLE,2,2018,2.180564046,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25.283257
APPLE,23,2008,2.380054584,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.513964
APPLE,23,2009,2.146811698,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.513964
APPLE,23,2010,1.787757443,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.513964
APPLE,23,2011,2.267855027,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.483486
APPLE,23,2012,2.201343063,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517034
APPLE,23,2013,1.958286994,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517036
APPLE,23,2014,2.207462154,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517036
APPLE,23,2015,2.420675746,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517033
APPLE,23,2016,2.441075235,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517033
APPLE,23,2017,2.245278876,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517033
APPLE,23,2018,2.38056132,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517033
APPLE,25,2008,2.282699496,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895
APPLE,25,2009,2.22916499,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895
APPLE,25,2010,1.673360142,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895
APPLE,25,2011,2.17349652,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895
APPLE,25,2012,2.103885203,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895
APPLE,25,2013,1.905348305,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895
APPLE,25,2014,2.136346088,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895
APPLE,25,2015,2.50264746,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895
APPLE,25,2016,2.397480299,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895
APPLE,25,2017,2.181068753,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895
APPLE,25,2018,2.487476058,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895
APPLE,27,2008,2.649872019,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.296097
APPLE,27,2009,2.558117064,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.296097
APPLE,27,2010,2.028944512,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.296097
APPLE,27,2011,2.567077101,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.2961
APPLE,27,2012,2.399360049,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.296101
APPLE,27,2013,1.959516016,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.2961
APPLE,27,2014,2.477210205,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.2961
APPLE,27,2015,2.840880384,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.2961
APPLE,27,2016,2.608335789,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.406201
APPLE,27,2017,2.502275189,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.210344
APPLE,27,2018,2.81375703,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.210344
APPLE,28,2008,2.905419776,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2.697821
APPLE,28,2009,2.829414077,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2.697821
APPLE,28,2010,2.230695882,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2.697821
APPLE,28,2011,2.837380193,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.029831
APPLE,28,2012,2.648687214,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.029833
APPLE,28,2013,2.277355987,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.029831
APPLE,28,2014,2.75277493,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.029831
APPLE,28,2015,3.119263721,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.029833
APPLE,28,2016,2.877668723,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.029833
APPLE,28,2017,2.702492148,5007.715533,17965.50499,7699.50214,2102.721739,15.18,6.768664
APPLE,28,2018,3.089782897,5007.715533,17965.50499,7699.50214,2102.721739,15.18,6.768664
APPLE,29,2008,3.322928125,5007.715533,17965.50499,7699.50214,2102.721739,15.18,82.532642
APPLE,29,2009,3.018234799,5007.715533,17965.50499,7699.50214,2102.721739,15.18,110.819282
APPLE,29,2010,2.885337837,5007.715533,17965.50499,7699.50214,2102.721739,15.18,110.342066
APPLE,29,2011,3.123736389,5007.715533,17965.50499,7699.50214,2102.721739,15.18,110.342061
APPLE,29,2012,3.057704014,5007.715533,17965.50499,7699.50214,2102.721739,15.18,98.444207
APPLE,29,2013,2.803517477,5007.715533,17965.50499,7699.50214,2102.721739,15.18,98.444213
APPLE,29,2014,3.117810133,5007.715533,17965.50499,7699.50214,2102.721739,15.18,98.61885
APPLE,29,2015,3.323011825,5007.715533,17965.50499,7699.50214,2102.721739,15.18,233.7469
APPLE,29,2016,3.361998679,5007.715533,17965.50499,7699.50214,2102.721739,15.18,267.035314
APPLE,29,2017,3.130439188,5007.715533,17965.50499,7699.50214,2102.721739,15.18,269.538954
APPLE,29,2018,3.264607585,5007.715533,17965.50499,7699.50214,2102.721739,15.18,240.578987
APPLE,3,2008,1.991625964,5007.715533,17965.50499,7699.50214,2102.721739,15.18,194.198997
APPLE,3,2009,2.113030567,5007.715533,17965.50499,7699.50214,2102.721739,15.18,196.217811
APPLE,3,2010,1.734243349,5007.715533,17965.50499,7699.50214,2102.721739,15.18,133.091141
APPLE,3,2011,2.04563204,5007.715533,17965.50499,7699.50214,2102.721739,15.18,107.805274
APPLE,3,2012,1.932075493,5007.715533,17965.50499,7699.50214,2102.721739,15.18,107.805282
APPLE,3,2013,1.907913423,5007.715533,17965.50499,7699.50214,2102.721739,15.18,92.3444
APPLE,3,2014,1.971815801,5007.715533,17965.50499,7699.50214,2102.721739,15.18,92.3444
APPLE,3,2015,2.239596401,5007.715533,17965.50499,7699.50214,2102.721739,15.18,92.344391
APPLE,3,2016,2.053412713,5007.715533,17965.50499,7699.50214,2102.721739,15.18,82.413241
APPLE,3,2017,2.205045854,5007.715533,17965.50499,7699.50214,2102.721739,15.18,82.413241
APPLE,3,2018,2.20039872,5007.715533,17965.50499,7699.50214,2102.721739,15.18,81.054563
APPLE,30,2008,3.653448783,5007.715533,17965.50499,7699.50214,2102.721739,15.18,151.798654
APPLE,30,2009,3.512117013,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.799656
APPLE,30,2010,3.466597188,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.799656
APPLE,30,2011,3.465256826,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.799632
APPLE,30,2012,3.551441535,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.286775
APPLE,30,2013,3.443604605,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.286769
APPLE,30,2014,3.505603042,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.286769
APPLE,30,2015,3.659129242,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.753634
APPLE,30,2016,3.551441535,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.753635
APPLE,30,2017,3.440468042,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.753669
APPLE,30,2018,3.543969796,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.826087
APPLE,31,2008,4.35257637,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4327.321786
APPLE,31,2009,4.333769453,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3953.488419
APPLE,31,2010,4.254634743,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3306.934685
APPLE,31,2011,4.318272426,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3306.934685
APPLE,31,2012,4.263942817,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3342.459675
APPLE,31,2013,4.341822925,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3342.459681
APPLE,31,2014,4.350221937,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3558.242166
APPLE,31,2015,4.333188629,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3586.737478
APPLE,31,2016,4.21617526,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3607.128947
APPLE,31,2017,4.333033961,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3607.128951
APPLE,31,2018,4.335623354,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3675.689593
APPLE,32,2008,4.217021251,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2286.097111
APPLE,32,2009,4.124994331,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2261.857298
APPLE,32,2010,3.951298724,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2243.013866
APPLE,32,2011,4.058170461,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2424.515634
APPLE,32,2012,3.859719569,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2384.037598
APPLE,32,2013,4.131363349,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2548.871263
APPLE,32,2014,4.200845448,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2548.871263
APPLE,32,2015,4.217021251,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2913.089772
APPLE,32,2016,4.075225637,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2913.089779
APPLE,32,2017,4.16398413,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2944.52187
APPLE,32,2018,4.13837452,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2930.055975
APPLE,33,2008,4.333001519,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10366.8117
APPLE,33,2009,4.31663799,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10223.66705
APPLE,33,2010,4.278661586,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10215.67919
APPLE,33,2011,4.289630393,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10203.29154
APPLE,33,2012,4.206807208,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10194.4358
APPLE,33,2013,4.333001519,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10182.1389
APPLE,33,2014,4.333001519,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10182.1389
APPLE,33,2015,4.333001519,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10234.264
APPLE,33,2016,4.195258161,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10230.10289
APPLE,33,2017,4.333001519,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10364.27855
APPLE,33,2018,4.321682851,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10631.6229
APPLE,34,2008,3.865845185,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.41937
APPLE,34,2009,3.8217063,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.41937
APPLE,34,2010,3.678280304,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.41937
APPLE,34,2011,3.752531116,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.41937
APPLE,34,2012,3.612867105,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.419371
APPLE,34,2013,3.743371159,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.41937
APPLE,34,2014,3.844404139,5007.715533,17965.50499,7699.50214,2102.721739,15.18,13.211254
APPLE,34,2015,3.865845185,5007.715533,17965.50499,7699.50214,2102.721739,15.18,13.21125
APPLE,34,2016,3.74405647,5007.715533,17965.50499,7699.50214,2102.721739,15.18,13.037851
APPLE,34,2017,3.795363769,5007.715533,17965.50499,7699.50214,2102.721739,15.18,13.037851
APPLE,34,2018,3.803641233,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.227336
APPLE,35,2008,3.920509697,5007.715533,17965.50499,7699.50214,2102.721739,15.18,27.169365
APPLE,35,2009,3.859121356,5007.715533,17965.50499,7699.50214,2102.721739,15.18,21.049003
APPLE,35,2010,3.739163689,5007.715533,17965.50499,7699.50214,2102.721739,15.18,21.049003
APPLE,35,2011,3.762648345,5007.715533,17965.50499,7699.50214,2102.721739,15.18,17.165546
APPLE,35,2012,3.697030598,5007.715533,17965.50499,7699.50214,2102.721739,15.18,17.165544
APPLE,35,2013,3.814964679,5007.715533,17965.50499,7699.50214,2102.721739,15.18,17.200445
APPLE,35,2014,3.920509697,5007.715533,17965.50499,7699.50214,2102.721739,15.18,17.094934
APPLE,35,2015,3.920509697,5007.715533,17965.50499,7699.50214,2102.721739,15.18,17.911739
APPLE,35,2016,3.800694125,5007.715533,17965.50499,7699.50214,2102.721739,15.18,18.738809
APPLE,35,2017,3.89354328,5007.715533,17965.50499,7699.50214,2102.721739,15.18,18.738809
APPLE,35,2018,3.85783532,5007.715533,17965.50499,7699.50214,2102.721739,15.18,18.738809
APPLE,36,2008,4.195795195,5007.715533,17965.50499,7699.50214,2102.721739,15.18,28716.85078
APPLE,36,2009,4.192778402,5007.715533,17965.50499,7699.50214,2102.721739,15.18,28688.42386
APPLE,36,2010,4.177804189,5007.715533,17965.50499,7699.50214,2102.721739,15.18,28717.63098
APPLE,36,2011,4.185643152,5007.715533,17965.50499,7699.50214,2102.721739,15.18,28252.40321
APPLE,36,2012,4.156366739,5007.715533,17965.50499,7699.50214,2102.721739,15.18,28195.29893
APPLE,36,2013,4.195795195,5007.715533,17965.50499,7699.50214,2102.721739,15.18,28657.87863
APPLE,36,2014,4.195795195,5007.715533,17965.50499,7699.50214,2102.721739,15.18,29193.38881
APPLE,36,2015,4.195795195,5007.715533,17965.50499,7699.50214,2102.721739,15.18,29071.16828
APPLE,36,2016,4.063136979,5007.715533,17965.50499,7699.50214,2102.721739,15.18,28944.38724
APPLE,36,2017,4.195795195,5007.715533,17965.50499,7699.50214,2102.721739,15.18,29862.49577
APPLE,36,2018,4.18889874,5007.715533,17965.50499,7699.50214,2102.721739,15.18,30224.62329
APPLE,37-KID,2008,4.673352391,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3059.142534
APPLE,37-KID,2009,4.673352391,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3022.002984
APPLE,37-KID,2010,4.666300716,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3085.121567
APPLE,37-KID,2011,4.665723006,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3167.820609
APPLE,37-KID,2012,4.61856097,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3448.153901
APPLE,37-KID,2013,4.673223897,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3419.550102
APPLE,37-KID,2014,4.673352391,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3196.489618
APPLE,37-KID,2015,4.657199796,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3188.727527
APPLE,37-KID,2016,4.576521686,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3028.553768
APPLE,37-KID,2017,4.673352391,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3040.835557
APPLE,37-KID,2018,4.66293417,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3028.278914
APPLE,37-RID,2008,4.203971482,5007.715533,17965.50499,7699.50214,2102.721739,15.18,28146.18394
APPLE,37-RID,2009,4.203971482,5007.715533,17965.50499,7699.50214,2102.721739,15.18,26594.40812
APPLE,37-RID,2010,4.187249248,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25151.50282
APPLE,37-RID,2011,4.167729693,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25147.53371
APPLE,37-RID,2012,4.199179002,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25214.41193
APPLE,37-RID,2013,4.166538535,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25532.43384
APPLE,37-RID,2014,4.203971482,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25643.40706
APPLE,37-RID,2015,4.184583223,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25440.89353
APPLE,37-RID,2016,4.087270013,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25440.89351
APPLE,37-RID,2017,4.193060705,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25558.18478
APPLE,37-RID,2018,4.203971482,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25900.81242
APPLE,37-SVID,2008,3.918879643,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4719.436723
APPLE,37-SVID,2009,3.918879643,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4481.1812
APPLE,37-SVID,2010,3.89340376,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3602.691505
APPLE,37-SVID,2011,3.890902764,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3602.691574
APPLE,37-SVID,2012,3.903104042,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3437.280294
APPLE,37-SVID,2013,3.885131746,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3286.320254
APPLE,37-SVID,2014,3.918879643,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3399.887244
APPLE,37-SVID,2015,3.902498649,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3466.253071
APPLE,37-SVID,2016,3.802220903,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3473.794127
APPLE,37-SVID,2017,3.91157363,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3459.96018
APPLE,37-SVID,2018,3.918879643,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3513.227304
APPLE,37-WIP,2008,3.891670028,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11190.79487
APPLE,37-WIP,2009,3.891670028,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11195.70101
APPLE,37-WIP,2010,3.847265724,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10741.4762
APPLE,37-WIP,2011,3.844781758,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10409.47418
APPLE,37-WIP,2012,3.835736885,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10397.94146
APPLE,37-WIP,2013,3.839955684,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10313.34623
APPLE,37-WIP,2014,3.87546039,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10449.84513
APPLE,37-WIP,2015,3.887067213,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10445.60172
APPLE,37-WIP,2016,3.77732484,5007.715533,17965.50499,7699.50214,2102.721739,15.18,9996.571349
APPLE,37-WIP,2017,3.863227407,5007.715533,17965.50499,7699.50214,2102.721739,15.18,9996.571367
APPLE,37-WIP,2018,3.891531993,5007.715533,17965.50499,7699.50214,2102.721739,15.18,9611.105557
APPLE,38-YTID,2008,3.621346761,5007.715533,17965.50499,7699.50214,2102.721739,15.18,20852.4297
