i,g,year,xwater,ETc,Pe,omegaland,omegasupply,omegalabor,p,y,TotalAcres,xland,NonIrrigatedAcres,PriceProxy,YieldProxy,CostProxy,WaterProxy,MargRev,MargProf
APPLE,5,2014,1.998477472,2.274235467,3.943159595,579.5597734,2505.78762,1765.045556,566.574,24.2,2.888293,0,2.888293,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,5,2015,2.321673784,2.274235467,3.137446738,649.032176,2806.158858,1976.62331,834.492,18.4,2.888294,0,2.888294,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,5,2016,2.232671039,2.274235467,3.4665388,669.4147242,2894.284948,2038.698229,713.372,22.2,2.888294,0,2.888294,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
APPLE,5,2017,2.431972317,2.274235467,3.517049518,665.6627895,2878.063064,2027.271737,692.224,22.75,2.888294,0,2.888294,APPLES,APPLES,Apples (Red Delicious),Apple,15748.096,10177.09841
APPLE,5,2018,2.362258968,2.274235467,3.261814526,571.2373147,2469.804595,1739.699561,686,19.7,3.510043,0,3.510043,APPLES,APPLES,Apples (Red Delicious),Apple,13514.2,8733.458529
APPLE,6,2008,2.269406166,1.97067123,0.723441847,414.6541255,1792.800712,1262.826468,531.696,18.45,2.087739,2.087739,0,APPLES,APPLES,Apples (Red Delicious),Apple,9809.7912,6339.509895
APPLE,6,2009,2.253569875,1.97067123,0.721112463,457.3618226,1977.451931,1392.892484,636.48,17,2.087739,2.087739,0,APPLES,APPLES,Apples (Red Delicious),Apple,10820.16,6992.453763
APPLE,6,2010,1.980755748,1.97067123,0.799281527,500.8702376,2165.565138,1525.397082,640.512,18.5,2.087739,2.087739,0,APPLES,APPLES,Apples (Red Delicious),Apple,11849.472,7657.639542
APPLE,6,2011,2.145402975,1.97067123,0.837736765,616.3674888,2664.929648,1877.143216,796.824,18.3,2.087739,2.087739,0,APPLES,APPLES,Apples (Red Delicious),Apple,14581.8792,9423.438847
APPLE,6,2012,2.018716343,1.97067123,1.254027357,776.2306154,3356.114685,2364.005338,842.38,21.8,6.234069,4.510886,1.723183,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,6,2013,2.140089039,1.97067123,0.569219157,636.7088158,2752.877514,1939.092596,780.472,19.3,6.234064,4.510883,1.723181,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
APPLE,6,2014,2.220416733,1.97067123,0.927874532,579.5597734,2505.78762,1765.045556,566.574,24.2,8.708049,4.510883,4.197166,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,6,2015,2.34910818,1.97067123,0.960695845,649.032176,2806.158858,1976.62331,834.492,18.4,8.708051,4.510886,4.197165,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,6,2016,2.272661088,1.97067123,0.918208723,669.4147242,2894.284948,2038.698229,713.372,22.2,8.708051,4.510886,4.197165,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
APPLE,6,2017,2.255142343,1.97067123,0.77821622,665.6627895,2878.063064,2027.271737,692.224,22.75,9.626417,4.548505,5.077912,APPLES,APPLES,Apples (Red Delicious),Apple,15748.096,10177.09841
APPLE,6,2018,2.286081691,1.97067123,0.885727049,571.2373147,2469.804595,1739.699561,686,19.7,9.882022,4.548505,5.333517,APPLES,APPLES,Apples (Red Delicious),Apple,13514.2,8733.458529
APPLE,7,2008,1.763712784,2.143695601,3.320966035,414.6541255,1792.800712,1262.826468,531.696,18.45,3.640535,1.515004,2.125531,APPLES,APPLES,Apples (Red Delicious),Apple,9809.7912,6339.509895
APPLE,7,2009,1.99626819,2.143695601,3.010335338,457.3618226,1977.451931,1392.892484,636.48,17,3.640535,1.515004,2.125531,APPLES,APPLES,Apples (Red Delicious),Apple,10820.16,6992.453763
APPLE,7,2010,1.474290873,2.143695601,3.325488066,500.8702376,2165.565138,1525.397082,640.512,18.5,3.640535,1.515004,2.125531,APPLES,APPLES,Apples (Red Delicious),Apple,11849.472,7657.639542
APPLE,7,2011,1.75319602,2.143695601,3.739002315,616.3674888,2664.929648,1877.143216,796.824,18.3,1.515004,1.515004,0,APPLES,APPLES,Apples (Red Delicious),Apple,14581.8792,9423.438847
APPLE,7,2012,1.676168538,2.143695601,4.029228188,776.2306154,3356.114685,2364.005338,842.38,21.8,1.515005,1.515005,0,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,7,2013,1.770918739,2.143695601,3.16790609,636.7088158,2752.877514,1939.092596,780.472,19.3,63.362639,62.082417,1.280222,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
APPLE,7,2014,1.765014466,2.143695601,3.91445506,579.5597734,2505.78762,1765.045556,566.574,24.2,63.362639,62.082417,1.280222,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,7,2015,2.246434399,2.143695601,3.226325629,649.032176,2806.158858,1976.62331,834.492,18.4,68.365648,67.085425,1.280223,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,7,2016,1.948366482,2.143695601,3.488198641,669.4147242,2894.284948,2038.698229,713.372,22.2,68.365648,67.085425,1.280223,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
APPLE,7,2017,2.063292186,2.143695601,3.547842627,665.6627895,2878.063064,2027.271737,692.224,22.75,68.365648,67.085425,1.280223,APPLES,APPLES,Apples (Red Delicious),Apple,15748.096,10177.09841
APPLE,7,2018,2.179373131,2.143695601,3.547305708,571.2373147,2469.804595,1739.699561,686,19.7,69.102148,67.821925,1.280223,APPLES,APPLES,Apples (Red Delicious),Apple,13514.2,8733.458529
APPLE,10,2008,1.951132459,1.939889592,2.049014783,414.6541255,1792.800712,1262.826468,531.696,18.45,2.852284,0,2.852284,APPLES,APPLES,Apples (Red Delicious),Apple,9809.7912,6339.509895
APPLE,10,2009,1.909313753,1.939889592,2.153328645,457.3618226,1977.451931,1392.892484,636.48,17,6.533038,3.680754,2.852284,APPLES,APPLES,Apples (Red Delicious),Apple,10820.16,6992.453763
APPLE,10,2010,1.369747389,1.939889592,2.410970501,500.8702376,2165.565138,1525.397082,640.512,18.5,5.791554,3.680754,2.1108,APPLES,APPLES,Apples (Red Delicious),Apple,11849.472,7657.639542
APPLE,10,2011,1.794480637,1.939889592,2.515987029,616.3674888,2664.929648,1877.143216,796.824,18.3,5.791554,3.680754,2.1108,APPLES,APPLES,Apples (Red Delicious),Apple,14581.8792,9423.438847
APPLE,10,2012,1.698152656,1.939889592,2.815616386,776.2306154,3356.114685,2364.005338,842.38,21.8,15.28143,8.685798,6.595632,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,10,2013,1.661771765,1.939889592,1.976656738,636.7088158,2752.877514,1939.092596,780.472,19.3,14.958018,8.36239,6.595628,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
APPLE,10,2014,1.799151542,1.939889592,2.758398967,579.5597734,2505.78762,1765.045556,566.574,24.2,14.958018,8.36239,6.595628,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,10,2015,2.164670976,1.939889592,2.293361494,649.032176,2806.158858,1976.62331,834.492,18.4,14.95802,8.362388,6.595632,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,10,2016,1.939739924,1.939889592,2.423036262,669.4147242,2894.284948,2038.698229,713.372,22.2,14.95802,8.362388,6.595632,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
APPLE,10,2017,1.987510501,1.939889592,2.683196444,665.6627895,2878.063064,2027.271737,692.224,22.75,17.800835,11.205203,6.595632,APPLES,APPLES,Apples (Red Delicious),Apple,15748.096,10177.09841
APPLE,10,2018,2.176441899,1.939889592,2.09648351,571.2373147,2469.804595,1739.699561,686,19.7,17.800835,11.205203,6.595632,APPLES,APPLES,Apples (Red Delicious),Apple,13514.2,8733.458529
APPLE,11,2010,1.532766536,1.918954058,1.969968762,500.8702376,2165.565138,1525.397082,640.512,18.5,0.511597,0,0.511597,APPLES,APPLES,Apples (Red Delicious),Apple,11849.472,7657.639542
APPLE,11,2011,1.951508984,1.918954058,1.851147731,616.3674888,2664.929648,1877.143216,796.824,18.3,0.511597,0,0.511597,APPLES,APPLES,Apples (Red Delicious),Apple,14581.8792,9423.438847
APPLE,11,2012,1.842864147,1.918954058,2.292882706,776.2306154,3356.114685,2364.005338,842.38,21.8,0.511598,0,0.511598,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,11,2013,1.661306535,1.918954058,1.700386491,636.7088158,2752.877514,1939.092596,780.472,19.3,0.511597,0,0.511597,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
APPLE,11,2014,1.921292354,1.918954058,2.241948113,579.5597734,2505.78762,1765.045556,566.574,24.2,0.511597,0,0.511597,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,11,2015,2.195659136,1.918954058,1.968014171,649.032176,2806.158858,1976.62331,834.492,18.4,0.511598,0,0.511598,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,11,2016,2.083901127,1.918954058,2.10405037,669.4147242,2894.284948,2038.698229,713.372,22.2,0.511598,0,0.511598,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
APPLE,11,2017,2.026850373,1.918954058,2.316993272,665.6627895,2878.063064,2027.271737,692.224,22.75,0.511598,0,0.511598,APPLES,APPLES,Apples (Red Delicious),Apple,15748.096,10177.09841
APPLE,11,2018,2.191254106,1.918954058,1.722083841,571.2373147,2469.804595,1739.699561,686,19.7,0.511598,0,0.511598,APPLES,APPLES,Apples (Red Delicious),Apple,13514.2,8733.458529
APPLE,12,2008,2.22508518,1.924675786,1.132226152,414.6541255,1792.800712,1262.826468,531.696,18.45,4.355684,4.355684,0,APPLES,APPLES,Apples (Red Delicious),Apple,9809.7912,6339.509895
APPLE,12,2009,1.998064327,1.924675786,1.542472408,457.3618226,1977.451931,1392.892484,636.48,17,4.355684,4.355684,0,APPLES,APPLES,Apples (Red Delicious),Apple,10820.16,6992.453763
APPLE,12,2010,1.705149585,1.924675786,2.023175791,500.8702376,2165.565138,1525.397082,640.512,18.5,4.32979,0,4.32979,APPLES,APPLES,Apples (Red Delicious),Apple,11849.472,7657.639542
APPLE,12,2011,2.024315781,1.924675786,1.700830817,616.3674888,2664.929648,1877.143216,796.824,18.3,4.32979,0,4.32979,APPLES,APPLES,Apples (Red Delicious),Apple,14581.8792,9423.438847
APPLE,12,2012,2.038112701,1.924675786,2.093367604,776.2306154,3356.114685,2364.005338,842.38,21.8,4.329791,0,4.329791,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,12,2013,1.793627686,1.924675786,1.141076701,636.7088158,2752.877514,1939.092596,780.472,19.3,4.32979,0,4.32979,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
APPLE,12,2014,1.994552653,1.924675786,2.017401667,579.5597734,2505.78762,1765.045556,566.574,24.2,4.32979,0,4.32979,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,12,2015,2.237015647,1.924675786,1.786326789,649.032176,2806.158858,1976.62331,834.492,18.4,4.32979,0,4.32979,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,12,2016,2.313669656,1.924675786,1.789181831,669.4147242,2894.284948,2038.698229,713.372,22.2,4.32979,0,4.32979,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
APPLE,12,2017,2.125179665,1.924675786,2.081599448,665.6627895,2878.063064,2027.271737,692.224,22.75,4.32979,0,4.32979,APPLES,APPLES,Apples (Red Delicious),Apple,15748.096,10177.09841
APPLE,12,2018,2.235185922,1.924675786,1.400931532,571.2373147,2469.804595,1739.699561,686,19.7,4.32979,0,4.32979,APPLES,APPLES,Apples (Red Delicious),Apple,13514.2,8733.458529
APPLE,13,2008,2.28245537,1.996720491,1.396583322,414.6541255,1792.800712,1262.826468,531.696,18.45,1.067707,0,1.067707,APPLES,APPLES,Apples (Red Delicious),Apple,9809.7912,6339.509895
APPLE,13,2009,1.997593503,1.996720491,1.897609113,457.3618226,1977.451931,1392.892484,636.48,17,1.067707,0,1.067707,APPLES,APPLES,Apples (Red Delicious),Apple,10820.16,6992.453763
APPLE,13,2010,1.654315153,1.996720491,2.219854558,500.8702376,2165.565138,1525.397082,640.512,18.5,0.799169,0,0.799169,APPLES,APPLES,Apples (Red Delicious),Apple,11849.472,7657.639542
APPLE,13,2011,2.115646495,1.996720491,1.909943088,616.3674888,2664.929648,1877.143216,796.824,18.3,1.054386,0,1.054386,APPLES,APPLES,Apples (Red Delicious),Apple,14581.8792,9423.438847
APPLE,13,2012,2.099171861,1.996720491,2.435400401,776.2306154,3356.114685,2364.005338,842.38,21.8,1.054385,0,1.054385,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,13,2013,1.843234317,1.996720491,1.48542008,636.7088158,2752.877514,1939.092596,780.472,19.3,1.054386,0,1.054386,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
APPLE,13,2014,2.043760717,1.996720491,2.274098182,579.5597734,2505.78762,1765.045556,566.574,24.2,1.054386,0,1.054386,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,13,2015,2.283030892,1.996720491,2.1649537,649.032176,2806.158858,1976.62331,834.492,18.4,1.054385,0,1.054385,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,13,2016,2.296540433,1.996720491,2.360647891,669.4147242,2894.284948,2038.698229,713.372,22.2,1.054385,0,1.054385,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
APPLE,13,2017,2.14030234,1.996720491,2.513231065,665.6627895,2878.063064,2027.271737,692.224,22.75,1.054385,0,1.054385,APPLES,APPLES,Apples (Red Delicious),Apple,15748.096,10177.09841
APPLE,13,2018,2.280240752,1.996720491,1.766287784,571.2373147,2469.804595,1739.699561,686,19.7,1.054385,0,1.054385,APPLES,APPLES,Apples (Red Delicious),Apple,13514.2,8733.458529
APPLE,15,2012,2.082126658,1.949846929,2.683977218,776.2306154,3356.114685,2364.005338,842.38,21.8,16.506617,16.506617,0,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,15,2013,1.895791815,1.949846929,1.245770883,636.7088158,2752.877514,1939.092596,780.472,19.3,16.506617,16.506617,0,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
APPLE,15,2014,1.997793961,1.949846929,2.558661554,579.5597734,2505.78762,1765.045556,566.574,24.2,16.506617,16.506617,0,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,15,2015,2.152023335,1.949846929,2.182300785,649.032176,2806.158858,1976.62331,834.492,18.4,16.506616,16.506616,0,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,15,2016,2.310154795,1.949846929,2.677771296,669.4147242,2894.284948,2038.698229,713.372,22.2,16.506616,16.506616,0,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
APPLE,15,2017,2.121760233,1.949846929,2.689312848,665.6627895,2878.063064,2027.271737,692.224,22.75,16.506616,16.506616,0,APPLES,APPLES,Apples (Red Delicious),Apple,15748.096,10177.09841
APPLE,15,2018,2.240886143,1.949846929,1.985621261,571.2373147,2469.804595,1739.699561,686,19.7,22.563536,22.563536,0,APPLES,APPLES,Apples (Red Delicious),Apple,13514.2,8733.458529
APPLE,17,2008,2.490361314,2.12787155,0.821371793,414.6541255,1792.800712,1262.826468,531.696,18.45,3.247016,0,3.247016,APPLES,APPLES,Apples (Red Delicious),Apple,9809.7912,6339.509895
APPLE,17,2009,2.371671208,2.12787155,1.149717115,457.3618226,1977.451931,1392.892484,636.48,17,3.247016,0,3.247016,APPLES,APPLES,Apples (Red Delicious),Apple,10820.16,6992.453763
APPLE,17,2010,2.123264982,2.12787155,1.69485122,500.8702376,2165.565138,1525.397082,640.512,18.5,8.656516,2.658366,5.99815,APPLES,APPLES,Apples (Red Delicious),Apple,11849.472,7657.639542
APPLE,17,2011,2.271787874,2.12787155,1.356741509,616.3674888,2664.929648,1877.143216,796.824,18.3,8.656516,2.658366,5.99815,APPLES,APPLES,Apples (Red Delicious),Apple,14581.8792,9423.438847
APPLE,17,2012,2.185885482,2.12787155,1.911546597,776.2306154,3356.114685,2364.005338,842.38,21.8,18.872767,11.583362,7.289405,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,17,2013,2.176207863,2.12787155,0.627842108,636.7088158,2752.877514,1939.092596,780.472,19.3,18.872766,11.58336,7.289406,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
APPLE,17,2014,2.434079048,2.12787155,1.459802462,579.5597734,2505.78762,1765.045556,566.574,24.2,11.946809,4.657403,7.289406,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,17,2015,2.545503538,2.12787155,1.338168658,649.032176,2806.158858,1976.62331,834.492,18.4,11.946807,4.657402,7.289405,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,17,2016,2.466619804,2.12787155,1.712950996,669.4147242,2894.284948,2038.698229,713.372,22.2,11.946807,4.657402,7.289405,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
APPLE,17,2017,2.421078748,2.12787155,1.413134308,665.6627895,2878.063064,2027.271737,692.224,22.75,20.335649,13.845308,6.490341,APPLES,APPLES,Apples (Red Delicious),Apple,15748.096,10177.09841
APPLE,17,2018,2.433333452,2.12787155,1.237649129,571.2373147,2469.804595,1739.699561,686,19.7,20.335649,13.845308,6.490341,APPLES,APPLES,Apples (Red Delicious),Apple,13514.2,8733.458529
APPLE,18,2008,2.417292528,1.96673447,0.480734675,414.6541255,1792.800712,1262.826468,531.696,18.45,8.58068,3.28444,5.29624,APPLES,APPLES,Apples (Red Delicious),Apple,9809.7912,6339.509895
APPLE,18,2009,2.325026406,1.96673447,0.784341626,457.3618226,1977.451931,1392.892484,636.48,17,8.58068,3.28444,5.29624,APPLES,APPLES,Apples (Red Delicious),Apple,10820.16,6992.453763
APPLE,18,2010,2.105025695,1.96673447,0.846848915,500.8702376,2165.565138,1525.397082,640.512,18.5,8.58068,3.28444,5.29624,APPLES,APPLES,Apples (Red Delicious),Apple,11849.472,7657.639542
APPLE,18,2011,2.204262749,1.96673447,0.891379569,616.3674888,2664.929648,1877.143216,796.824,18.3,8.228158,2.931918,5.29624,APPLES,APPLES,Apples (Red Delicious),Apple,14581.8792,9423.438847
APPLE,18,2012,2.239645817,1.96673447,0.976919794,776.2306154,3356.114685,2364.005338,842.38,21.8,7.627599,2.331359,5.29624,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,18,2013,2.124115276,1.96673447,0.385576863,636.7088158,2752.877514,1939.092596,780.472,19.3,7.627599,2.331359,5.29624,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
APPLE,18,2014,2.365570094,1.96673447,0.921964805,579.5597734,2505.78762,1765.045556,566.574,24.2,7.627599,2.331359,5.29624,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,18,2015,2.394161657,1.96673447,1.077412733,649.032176,2806.158858,1976.62331,834.492,18.4,7.627598,2.331359,5.296239,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,18,2016,2.394161657,1.96673447,0.90390562,669.4147242,2894.284948,2038.698229,713.372,22.2,7.627598,2.331359,5.296239,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
