i,g,year,xwater,ETc,Pe,omegaland,omegasupply,omegalabor,p,y,TotalAcres,xland,NonIrrigatedAcres,MarginalProfit,MarginalRevenue
APPLE,12,2016,2.313710031,1.924682036,1.789211226,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979,0,4.32979,1246.593333,31919.316
APPLE,12,2017,2.125206661,1.924682036,2.081644966,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979,0,4.32979,1246.593333,31919.316
APPLE,12,2018,2.235207392,1.924682036,1.400943564,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979,0,4.32979,1246.593333,31919.316
APPLE,13,2008,2.291936312,1.996725853,1.348971285,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.067707,0,1.067707,1246.593333,31919.316
APPLE,13,2009,2.018955931,1.996725853,1.809293849,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.067707,0,1.067707,1246.593333,31919.316
APPLE,13,2010,1.65731376,1.996725853,2.159396106,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.799169,0,0.799169,1246.593333,31919.316
APPLE,13,2011,2.114945154,1.996725853,1.846341349,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054386,0,1.054386,1246.593333,31919.316
APPLE,13,2012,2.108026059,1.996725853,2.371885887,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054385,0,1.054385,1246.593333,31919.316
APPLE,13,2013,1.85298605,1.996725853,1.384190887,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054386,0,1.054386,1246.593333,31919.316
APPLE,13,2014,2.045956865,1.996725853,2.195537902,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054386,0,1.054386,1246.593333,31919.316
APPLE,13,2015,2.281097955,1.996725853,2.061508116,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054385,0,1.054385,1246.593333,31919.316
APPLE,13,2016,2.324385524,1.996725853,2.255531454,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054385,0,1.054385,1246.593333,31919.316
APPLE,13,2017,2.150992212,1.996725853,2.423784041,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054385,0,1.054385,1246.593333,31919.316
APPLE,13,2018,2.275270235,1.996725853,1.703223504,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.054385,0,1.054385,1246.593333,31919.316
APPLE,15,2012,2.082255712,1.949998735,2.684814855,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.506617,16.506617,0,1246.593333,31919.316
APPLE,15,2013,1.896118985,1.949998735,1.245651505,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.506617,16.506617,0,1246.593333,31919.316
APPLE,15,2014,1.997889226,1.949998735,2.55984505,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.506617,16.506617,0,1246.593333,31919.316
APPLE,15,2015,2.1522538,1.949998735,2.182741252,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.506616,16.506616,0,1246.593333,31919.316
APPLE,15,2016,2.310338295,1.949998735,2.67903928,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.506616,16.506616,0,1246.593333,31919.316
APPLE,15,2017,2.122116428,1.949998735,2.689710955,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.506616,16.506616,0,1246.593333,31919.316
APPLE,15,2018,2.241087048,1.949998735,1.986265976,5007.715533,17965.50499,7699.50214,2102.721739,15.18,22.563536,22.563536,0,1246.593333,31919.316
APPLE,17,2008,2.489986727,2.127399655,0.820376085,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.247016,0,3.247016,1246.593333,31919.316
APPLE,17,2009,2.371269639,2.127399655,1.148598908,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.247016,0,3.247016,1246.593333,31919.316
APPLE,17,2010,2.122939128,2.127399655,1.691989426,5007.715533,17965.50499,7699.50214,2102.721739,15.18,8.656516,2.658366,5.99815,1246.593333,31919.316
APPLE,17,2011,2.271618638,2.127399655,1.354981116,5007.715533,17965.50499,7699.50214,2102.721739,15.18,8.656516,2.658366,5.99815,1246.593333,31919.316
APPLE,17,2012,2.18560758,2.127399655,1.909064044,5007.715533,17965.50499,7699.50214,2102.721739,15.18,18.872767,11.583362,7.289405,1246.593333,31919.316
APPLE,17,2013,2.176174497,2.127399655,0.626998636,5007.715533,17965.50499,7699.50214,2102.721739,15.18,18.872766,11.58336,7.289406,1246.593333,31919.316
APPLE,17,2014,2.433805573,2.127399655,1.457770981,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.946809,4.657403,7.289406,1246.593333,31919.316
APPLE,17,2015,2.545107105,2.127399655,1.336710136,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.946807,4.657402,7.289405,1246.593333,31919.316
APPLE,17,2016,2.466179367,2.127399655,1.710276008,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.946807,4.657402,7.289405,1246.593333,31919.316
APPLE,17,2017,2.420580737,2.127399655,1.410940553,5007.715533,17965.50499,7699.50214,2102.721739,15.18,20.335649,13.845308,6.490341,1246.593333,31919.316
APPLE,17,2018,2.432921229,2.127399655,1.236106849,5007.715533,17965.50499,7699.50214,2102.721739,15.18,20.335649,13.845308,6.490341,1246.593333,31919.316
APPLE,18,2008,2.417134057,1.96651362,0.479485489,5007.715533,17965.50499,7699.50214,2102.721739,15.18,8.58068,3.28444,5.29624,1246.593333,31919.316
APPLE,18,2009,2.325100464,1.96651362,0.782545421,5007.715533,17965.50499,7699.50214,2102.721739,15.18,8.58068,3.28444,5.29624,1246.593333,31919.316
APPLE,18,2010,2.105835997,1.96651362,0.844073516,5007.715533,17965.50499,7699.50214,2102.721739,15.18,8.58068,3.28444,5.29624,1246.593333,31919.316
APPLE,18,2011,2.204570246,1.96651362,0.889459731,5007.715533,17965.50499,7699.50214,2102.721739,15.18,8.228158,2.931918,5.29624,1246.593333,31919.316
APPLE,18,2012,2.239481015,1.96651362,0.974323491,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627599,2.331359,5.29624,1246.593333,31919.316
APPLE,18,2013,2.124424729,1.96651362,0.384528379,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627599,2.331359,5.29624,1246.593333,31919.316
APPLE,18,2014,2.365756201,1.96651362,0.919635419,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627599,2.331359,5.29624,1246.593333,31919.316
APPLE,18,2015,2.39389504,1.96651362,1.075600082,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627598,2.331359,5.296239,1246.593333,31919.316
APPLE,18,2016,2.39389504,1.96651362,0.901126789,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627598,2.331359,5.296239,1246.593333,31919.316
APPLE,18,2017,2.262124203,1.96651362,0.918130506,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627598,2.331359,5.296239,1246.593333,31919.316
APPLE,18,2018,2.29031369,1.96651362,0.838850391,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627598,2.331359,5.296239,1246.593333,31919.316
APPLE,2,2010,1.98060417,1.909540162,0.885147886,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.832469,2.694651,3.137818,1246.593333,31919.316
APPLE,2,2011,2.072683095,1.909540162,0.814343447,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.986221,4.848403,3.137818,1246.593333,31919.316
APPLE,2,2012,2.118713081,1.909540162,1.01945655,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.986222,4.848404,3.137818,1246.593333,31919.316
APPLE,2,2013,2.025053652,1.909540162,0.71743497,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10.37085,6.590538,3.780312,1246.593333,31919.316
APPLE,2,2014,2.151848749,1.909540162,0.941523464,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10.37085,6.590538,3.780312,1246.593333,31919.316
APPLE,2,2015,2.249652259,1.909540162,1.062568392,5007.715533,17965.50499,7699.50214,2102.721739,15.18,10.370848,6.590537,3.780311,1246.593333,31919.316
APPLE,2,2016,2.278863091,1.909540162,0.912627579,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25.283257,3.423296,21.859961,1246.593333,31919.316
APPLE,2,2017,2.225998074,1.909540162,0.804934671,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25.283257,3.423296,21.859961,1246.593333,31919.316
APPLE,2,2018,2.180564046,1.909540162,0.988547473,5007.715533,17965.50499,7699.50214,2102.721739,15.18,25.283257,3.423296,21.859961,1246.593333,31919.316
APPLE,23,2008,2.380054584,2.105787171,1.651310137,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.513964,1.513964,0,1246.593333,31919.316
APPLE,23,2009,2.146811698,2.105787171,2.030296911,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.513964,1.513964,0,1246.593333,31919.316
APPLE,23,2010,1.787757443,2.105787171,2.357479161,5007.715533,17965.50499,7699.50214,2102.721739,15.18,1.513964,1.513964,0,1246.593333,31919.316
APPLE,23,2011,2.267855027,2.105787171,1.824012872,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.483486,1.513964,3.969522,1246.593333,31919.316
APPLE,23,2012,2.201343063,2.105787171,2.555699421,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517034,11.547513,3.969521,1246.593333,31919.316
APPLE,23,2013,1.958286994,2.105787171,1.448215612,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517036,11.547514,3.969522,1246.593333,31919.316
APPLE,23,2014,2.207462154,2.105787171,2.175502446,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517036,11.547514,3.969522,1246.593333,31919.316
APPLE,23,2015,2.420675746,2.105787171,2.165267601,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517033,11.547512,3.969521,1246.593333,31919.316
APPLE,23,2016,2.441075235,2.105787171,2.208108767,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517033,11.547512,3.969521,1246.593333,31919.316
APPLE,23,2017,2.245278876,2.105787171,2.404059308,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517033,11.547512,3.969521,1246.593333,31919.316
APPLE,23,2018,2.38056132,2.105787171,1.89866183,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.517033,11.547512,3.969521,1246.593333,31919.316
APPLE,25,2008,2.282699496,2.285705318,3.027036264,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895,0,0.986895,1246.593333,31919.316
APPLE,25,2009,2.22916499,2.285705318,3.008809318,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895,0,0.986895,1246.593333,31919.316
APPLE,25,2010,1.673360142,2.285705318,4.234966389,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895,0,0.986895,1246.593333,31919.316
APPLE,25,2011,2.17349652,2.285705318,3.689081388,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895,0,0.986895,1246.593333,31919.316
APPLE,25,2012,2.103885203,2.285705318,4.775119505,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895,0,0.986895,1246.593333,31919.316
APPLE,25,2013,1.905348305,2.285705318,2.904880011,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895,0,0.986895,1246.593333,31919.316
APPLE,25,2014,2.136346088,2.285705318,4.146095536,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895,0,0.986895,1246.593333,31919.316
APPLE,25,2015,2.50264746,2.285705318,3.651149999,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895,0,0.986895,1246.593333,31919.316
APPLE,25,2016,2.397480299,2.285705318,4.309416977,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895,0,0.986895,1246.593333,31919.316
APPLE,25,2017,2.181068753,2.285705318,4.514440565,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895,0,0.986895,1246.593333,31919.316
APPLE,25,2018,2.487476058,2.285705318,3.297875339,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.986895,0,0.986895,1246.593333,31919.316
APPLE,27,2008,2.649872019,2.446568218,2.02450821,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.296097,0,5.296097,1246.593333,31919.316
APPLE,27,2009,2.558117064,2.446568218,2.125619714,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.296097,0,5.296097,1246.593333,31919.316
APPLE,27,2010,2.028944512,2.446568218,2.930431573,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.296097,0,5.296097,1246.593333,31919.316
APPLE,27,2011,2.567077101,2.446568218,2.448466554,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.2961,0,5.2961,1246.593333,31919.316
APPLE,27,2012,2.399360049,2.446568218,3.244490927,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.296101,0,5.296101,1246.593333,31919.316
APPLE,27,2013,1.959516016,2.446568218,2.240351944,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.2961,0,5.2961,1246.593333,31919.316
APPLE,27,2014,2.477210205,2.446568218,2.859269367,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.2961,0,5.2961,1246.593333,31919.316
APPLE,27,2015,2.840880384,2.446568218,2.467438098,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.2961,0,5.2961,1246.593333,31919.316
APPLE,27,2016,2.608335789,2.446568218,2.87315123,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.406201,0,5.406201,1246.593333,31919.316
APPLE,27,2017,2.502275189,2.446568218,3.053332575,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.210344,1.103647,10.106697,1246.593333,31919.316
APPLE,27,2018,2.81375703,2.446568218,2.092860775,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.210344,1.103647,10.106697,1246.593333,31919.316
APPLE,28,2008,2.905419776,2.695635413,2.253017928,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2.697821,0,2.697821,1246.593333,31919.316
APPLE,28,2009,2.829414077,2.695635413,2.19837654,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2.697821,0,2.697821,1246.593333,31919.316
APPLE,28,2010,2.230695882,2.695635413,3.302727844,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2.697821,0,2.697821,1246.593333,31919.316
APPLE,28,2011,2.837380193,2.695635413,2.630656356,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.029831,0,3.029831,1246.593333,31919.316
APPLE,28,2012,2.648687214,2.695635413,3.5191667,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.029833,0,3.029833,1246.593333,31919.316
APPLE,28,2013,2.277355987,2.695635413,2.191188739,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.029831,0,3.029831,1246.593333,31919.316
APPLE,28,2014,2.75277493,2.695635413,2.917473541,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.029831,0,3.029831,1246.593333,31919.316
APPLE,28,2015,3.119263721,2.695635413,2.546603646,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.029833,0,3.029833,1246.593333,31919.316
APPLE,28,2016,2.877668723,2.695635413,2.993519692,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3.029833,0,3.029833,1246.593333,31919.316
APPLE,28,2017,2.702492148,2.695635413,3.185613601,5007.715533,17965.50499,7699.50214,2102.721739,15.18,6.768664,3.108257,3.660407,1246.593333,31919.316
APPLE,28,2018,3.089782897,2.695635413,2.106831226,5007.715533,17965.50499,7699.50214,2102.721739,15.18,6.768664,3.108257,3.660407,1246.593333,31919.316
APPLE,29,2008,3.322928125,2.787456674,1.417012825,5007.715533,17965.50499,7699.50214,2102.721739,15.18,82.532642,79.503835,3.028807,1246.593333,31919.316
APPLE,29,2009,3.018234799,2.787456674,1.854684146,5007.715533,17965.50499,7699.50214,2102.721739,15.18,110.819282,107.94877,2.870512,1246.593333,31919.316
APPLE,29,2010,2.885337837,2.787456674,2.216476775,5007.715533,17965.50499,7699.50214,2102.721739,15.18,110.342066,107.716435,2.625631,1246.593333,31919.316
APPLE,29,2011,3.123736389,2.787456674,1.896434889,5007.715533,17965.50499,7699.50214,2102.721739,15.18,110.342061,107.71643,2.625631,1246.593333,31919.316
APPLE,29,2012,3.057704014,2.787456674,2.559710321,5007.715533,17965.50499,7699.50214,2102.721739,15.18,98.444207,92.210099,6.234108,1246.593333,31919.316
APPLE,29,2013,2.803517477,2.787456674,1.328947376,5007.715533,17965.50499,7699.50214,2102.721739,15.18,98.444213,92.210104,6.234109,1246.593333,31919.316
APPLE,29,2014,3.117810133,2.787456674,2.350199859,5007.715533,17965.50499,7699.50214,2102.721739,15.18,98.61885,92.210104,6.408746,1246.593333,31919.316
APPLE,29,2015,3.323011825,2.787456674,1.870942569,5007.715533,17965.50499,7699.50214,2102.721739,15.18,233.7469,225.492724,8.254176,1246.593333,31919.316
APPLE,29,2016,3.361998679,2.787456674,2.057537065,5007.715533,17965.50499,7699.50214,2102.721739,15.18,267.035314,258.781138,8.254176,1246.593333,31919.316
APPLE,29,2017,3.130439188,2.787456674,2.36116372,5007.715533,17965.50499,7699.50214,2102.721739,15.18,269.538954,258.781128,10.757826,1246.593333,31919.316
APPLE,29,2018,3.264607585,2.787456674,1.55477942,5007.715533,17965.50499,7699.50214,2102.721739,15.18,240.578987,229.821162,10.757825,1246.593333,31919.316
APPLE,3,2008,1.991625964,1.989408298,1.35668436,5007.715533,17965.50499,7699.50214,2102.721739,15.18,194.198997,189.332955,4.866042,1246.593333,31919.316
APPLE,3,2009,2.113030567,1.989408298,1.373564444,5007.715533,17965.50499,7699.50214,2102.721739,15.18,196.217811,191.351769,4.866042,1246.593333,31919.316
APPLE,3,2010,1.734243349,1.989408298,1.286610968,5007.715533,17965.50499,7699.50214,2102.721739,15.18,133.091141,128.225099,4.866042,1246.593333,31919.316
APPLE,3,2011,2.04563204,1.989408298,1.424203652,5007.715533,17965.50499,7699.50214,2102.721739,15.18,107.805274,102.939232,4.866042,1246.593333,31919.316
APPLE,3,2012,1.932075493,1.989408298,1.803397848,5007.715533,17965.50499,7699.50214,2102.721739,15.18,107.805282,102.939239,4.866043,1246.593333,31919.316
APPLE,3,2013,1.907913423,1.989408298,1.321547632,5007.715533,17965.50499,7699.50214,2102.721739,15.18,92.3444,84.584152,7.760248,1246.593333,31919.316
APPLE,3,2014,1.971815801,1.989408298,1.686205469,5007.715533,17965.50499,7699.50214,2102.721739,15.18,92.3444,84.584152,7.760248,1246.593333,31919.316
APPLE,3,2015,2.239596401,1.989408298,1.504302404,5007.715533,17965.50499,7699.50214,2102.721739,15.18,92.344391,84.584145,7.760246,1246.593333,31919.316
APPLE,3,2016,2.053412713,1.989408298,1.488869309,5007.715533,17965.50499,7699.50214,2102.721739,15.18,82.413241,74.363683,8.049558,1246.593333,31919.316
APPLE,3,2017,2.205045854,1.989408298,1.318245091,5007.715533,17965.50499,7699.50214,2102.721739,15.18,82.413241,74.363683,8.049558,1246.593333,31919.316
APPLE,3,2018,2.20039872,1.989408298,1.55517824,5007.715533,17965.50499,7699.50214,2102.721739,15.18,81.054563,71.884368,9.170195,1246.593333,31919.316
APPLE,30,2008,3.653448783,2.927303393,0.615727307,5007.715533,17965.50499,7699.50214,2102.721739,15.18,151.798654,146.30988,5.488774,1246.593333,31919.316
APPLE,30,2009,3.512117013,2.927303393,0.807045326,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.799656,11.799656,0,1246.593333,31919.316
APPLE,30,2010,3.466597188,2.927303393,0.741671117,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.799656,11.799656,0,1246.593333,31919.316
APPLE,30,2011,3.465256826,2.927303393,0.580413726,5007.715533,17965.50499,7699.50214,2102.721739,15.18,11.799632,11.799632,0,1246.593333,31919.316
APPLE,30,2012,3.551441535,2.927303393,1.03446418,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.286775,12.286775,0,1246.593333,31919.316
APPLE,30,2013,3.443604605,2.927303393,0.367081868,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.286769,12.286769,0,1246.593333,31919.316
APPLE,30,2014,3.505603042,2.927303393,1.04648546,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.286769,12.286769,0,1246.593333,31919.316
APPLE,30,2015,3.659129242,2.927303393,0.934619596,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.753634,12.753634,0,1246.593333,31919.316
APPLE,30,2016,3.551441535,2.927303393,1.028154749,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.753635,12.753635,0,1246.593333,31919.316
APPLE,30,2017,3.440468042,2.927303393,1.193128684,5007.715533,17965.50499,7699.50214,2102.721739,15.18,12.753669,12.753669,0,1246.593333,31919.316
APPLE,30,2018,3.543969796,2.927303393,0.712086555,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.826087,7.826087,0,1246.593333,31919.316
APPLE,31,2008,4.35257637,3.482061096,0.088930095,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4327.321786,4327.321786,0,1246.593333,31919.316
APPLE,31,2009,4.333769453,3.482061096,0.045723027,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3953.488419,3953.488419,0,1246.593333,31919.316
APPLE,31,2010,4.254634743,3.482061096,0.300229442,5007.715533,17965.50499,7699.50214,2102.721739,15.18,3306.934685,3306.934685,0,1246.593333,31919.316
