,i,g,year,xwater,ETc,Pe,omegaland,omegasupply,omegalabor,p,y,TotalAcres,xland,NonIrrigatedAcres,MarginalProfit,MarginalRevenue,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
0,APPLE,10,2017.0,2.028061807,1.939973116,2.4303644319999997,5007.715533,17965.50499,7699.50214,2102.721739,15.18,16.85323,10.257598,6.595631999999999,1246.593333,31919.316000000003,15.0,0.17,0.11,2102.721739,1216.1724079149983,0.9618985441921613,1,2.028061807,1,1,-4.88235294117647,31.15198014925,1185.02042776575,0.1894679424606534,0.029236484688108168,0.5469069009654249,0.23438867188581358,15.090970614978279,0.8862610029081945,0.7913497528787898
1,BEAN,10,2017.0,0.882329689,0.860654517,2.446269061,421.592,427.0364,183.0156,938.3912,1.1,141.846379,8.254743,133.591636,0.58632,1032.23032,15.0,0.17,0.17,997.3844478197726,52.243947266749956,0.9523809523809524,1,0.882329689,1,1,-4.88235294117647,31.15198014925,21.0919671175,0.4342854006452929,0.006582944690874724,0.3913921582646825,0.16773949639914967,1.101247064800643,0.7126027958927941,1.8539886034293234
2,BLUEBERRY,10,2017.0,1.607257605,1.5974417379999999,2.430474517,4254.082,12661.36348,5426.298636,4131.7,6.140473171,43.66162666666667,29.144275333333336,14.517351333333332,3028.84888,25370.593000000004,15.0,0.17,0.11,4131.7,3004.740020545698,0.8815660311734855,1,1.607257605,1,1,-4.88235294117647,31.15198014925,2973.58804039645,0.283647131690987,0.009555888898650168,0.49475788554036254,0.2120390938700003,6.12960240194005,0.3119277795358836,2.622288320729393
3,CANEBERRY,10,2017.0,1.9624708019999997,1.888099607,2.4303242083333334,2156.154667,2860.5833670000006,1225.9643,2384.88,4.583333333,260.4272203333333,128.074339,132.35288133333333,4687.997667,10930.700000000003,15.0,0.17,0.11,2384.88,4658.56060317504,0.5738094903790385,1,1.9624708019999997,1,1,-4.88235294117647,31.15198014925,4627.40862302579,0.5828136963643212,0.06769320572198,0.24464516854814147,0.10484792936555735,4.520499078688351,0.07098150310117228,10.81859516444034
4,CORN,10,2017.0,1.2311622173333332,1.139152545,2.426052056666667,387.26500000000004,504.2933,216.12569999999997,180.37,7.0,456.29751633333336,335.6543563333333,120.64316000000001,154.906,1262.59,15.0,0.17,0.45,180.37,136.43856674000017,0.8919375515884015,1,1.2311622173333332,1,1,-4.88235294117647,31.15198014925,105.28658659075,0.4043738190177115,0.039360001364019986,0.3893863257327879,0.16687985388548052,6.963647886088947,0.0066205672004309305,8572.184008369555
5,GRAPE,10,2017.0,1.094051585,0.983300227,2.127939372,1288.48148,1521.585296,652.107984,979.0,3.62,3.884437,2.676337,1.2081,81.80524,3543.98,15.0,0.17,0.11,979.0,65.39446622500009,0.9815477327115277,1,1.094051585,1,1,-4.88235294117647,31.15198014925,34.2424860757501,0.38104919243450686,0.007163537650689522,0.42825108894036257,0.1835361809744411,3.6181113195015246,3.3967729366328268,0.044913893210402574
6,HAY,10,2017.0,2.1498770093333333,2.06157238,2.4310361186666665,576.123,414.4266,177.6114,212.19999999999996,6.0,3310.8570569999997,657.3038046666667,2653.5532523333336,105.039,1273.2,15.0,0.17,0.51,212.19999999999996,72.79084485999965,0.9428284284794222,1,2.1498770093333333,1,1,-4.88235294117647,31.15198014925,41.6388647107496,0.25011380655591836,0.5216943017489679,0.15973432418657954,0.06845756750853407,5.185979656491874,0.0029830716022096466,30617.20588925095
7,PASTURE,10,2017.0,1.266440199,1.34422909,2.429350731,235.939,257.6728,110.4312,225.17,2.5,6189.497951,525.839782,5663.658168999999,-41.118,562.925,15.0,0.17,0.51,261.6766332537,31.15198014925007,0.9523809523809522,1,1.266440199,1,1,-4.88235294117647,31.15198014925,0.0,0.3840903311300496,0.08655750890075203,0.37054651197843885,0.1588056479907595,2.468925686787919,0.0037288626323930163,10081.497099492526
8,VEGETABLE,10,2017.0,1.6129146393333336,1.544869717,2.4291385450000003,789.426,1844.7848999999999,790.6221,106.32,32.0,1648.0149966666668,1055.2719983333334,592.7429983333333,-22.593,3402.24,15.0,0.17,0.3,113.17118923654687,172.45133597950007,0.9523809523809522,1,1.6129146393333336,1,1,-4.88235294117647,31.15198014925,141.29935583025,0.2500372512734573,0.06489626715090029,0.4795465371029497,0.20551994447269278,31.606597751589533,0.003158743280024397,10863.18280488451
0,BEAN,11,2017.0,0.9958482969999999,0.853203109,2.028721864,421.5919999999999,427.0364,183.01560000000003,938.3912,1.1,174.96159366666666,121.62704866666667,53.334545,0.58632,1032.23032,15.0,0.17,0.17,999.0098278888636,52.32908622275007,0.9523809523809522,1,0.9958482969999999,1,1,-4.88235294117647,31.2117219637501,21.117364259,0.4313822840619735,0.013323527080425687,0.3887059322003205,0.16658825665728022,1.1000615902949122,0.04836385496204677,27.321950437614177
1,BLUEBERRY,11,2017.0,1.665448482333333,1.5733792200000003,2.0320988100000004,4254.082,12661.36348,5426.298636,4131.7,6.140473171,13.531428,10.909478,2.62195,3028.84888,25370.593000000004,15.0,0.17,0.11,4131.7,3003.867157385699,0.8816004356968633,1,1.665448482333333,1,1,-4.88235294117647,31.2117219637501,2972.65543542195,0.28299339809310936,0.011753801870663372,0.49367695997857003,0.21157584005765714,6.1268571401161225,0.833303764938074,0.9814742816587306
2,CANEBERRY,11,2017.0,2.036007001,1.8660393290000001,2.031912543,2156.154667,2860.5833670000006,1225.9643,2384.88,4.583333333,147.831449,145.584532,2.246917,4687.997667,10930.700000000003,15.0,0.17,0.11,2384.88,4657.457560190041,0.5739104027620588,1,2.036007001,1,1,-4.88235294117647,31.2117219637501,4626.24583822629,0.5733962802884957,0.08270225403537805,0.24073102598170393,0.10317043969442245,4.505590451553843,0.062444196275666775,12.295711931120717
3,CORN,11,2017.0,1.291385579,1.13216978,2.028844403,387.26500000000004,504.2933,216.12569999999997,180.37,7.0,14.376249666666666,14.376249666666666,0.0,154.906,1262.59,15.0,0.17,0.45,180.37,135.53521631500016,0.8926530256734173,1,1.291385579,1,1,-4.88235294117647,31.2117219637501,104.32349435125,0.3988624215234988,0.051504931273457254,0.38474285304213074,0.16488979416091315,6.946558013063588,0.154575934179465,366.51776541268714
4,GRAIN,11,2017.0,1.037072145,1.064310923,2.031874993,132.625,165.6221,70.9809,250.25891880000003,1.796407186,438.5931683333333,252.38695700000002,186.2062113333333,80.33892,449.56692,15.0,0.17,0.38000000000000006,250.25891880000003,64.78283791791047,0.8558994556260456,1,1.037072145,1,1,-4.88235294117647,31.2117219637501,33.5711159541604,0.43617122682456083,0.0410561119233276,0.3659408628764781,0.15683179837563346,1.7939409297211564,0.010426762851173884,1362.494257386143
5,GRAPE,11,2017.0,1.041462371,0.9748275620000001,2.0295788179999996,1288.48148,1521.585296,652.107984,979.0,3.6199999999999997,8.176996333333333,1.9597453333333332,6.217251,81.80524,3543.98,15.0,0.17,0.11,979.0,66.18330443500008,0.9813251473103685,1,1.041462371,1,1,-4.88235294117647,31.2117219637501,34.9715824712495,0.381874613885811,0.005369897417854901,0.42892884208743376,0.1838266466089002,3.619283387268467,4.6388216551822845,0.03290731978389334
6,HAY,11,2017.0,2.221182528,2.036642109,2.032450474,576.123,414.4266,177.6114,212.19999999999996,6.0,3995.308942333333,631.012318,3364.2966243333335,105.039,1273.2,15.0,0.17,0.51,212.19999999999996,71.7212620799997,0.9436685029217721,1,2.221182528,1,1,-4.88235294117647,31.2117219637501,40.5095401162498,0.2249615260417481,0.5694554662040553,0.1439081054279377,0.061674902326259017,5.076329854405192,0.003107362975005331,29344.10190808657
7,PASTURE,11,2017.0,1.3460959516666666,1.326492953,2.0313797263333333,235.939,257.6728,110.4312,225.17,2.5,11640.256803333332,397.6559156666667,11242.600886666667,-41.118,562.925,15.0,0.17,0.51,262.1784644955,31.21172196375009,0.9523809523809522,1,1.3460959516666666,1,1,-4.88235294117647,31.2117219637501,0.0,0.3703093104437461,0.11944562111851616,0.3571715479064164,0.15307352053132134,2.4513669348328238,0.004930856643835544,7625.637707398617
8,VEGETABLE,11,2017.0,1.6738305446666668,1.525014166,2.031050425,789.426,1844.7848999999999,790.6221,106.32,32.0,93.803631,89.03077566666667,4.772855333333333,-22.593,3402.24,15.0,0.17,0.3,113.20117128370312,172.49702290850004,0.9523809523809524,1,1.6738305446666668,1,1,-4.88235294117647,31.2117219637501,141.28530094475,0.24615364777473925,0.07945242363458478,0.47207575001347324,0.20231817857720283,31.506824617219316,0.03744023691103638,916.5442943469044
0,BLUEBERRY,13,2017.0,1.793235972333333,1.646529335,2.1278822093333334,4254.082,12661.36348,5426.298636,4131.7,6.140473171,25.17761,25.17761,0.0,3028.84888,25370.593000000004,15.0,0.17,0.11,4131.7,3001.9503450356983,0.8816759882213926,1,1.793235972333333,1,1,-4.88235294117647,31.3017614165001,2970.6485836192,0.28113954425306553,0.018042592472834074,0.49057250424537535,0.21024535902872482,6.118945987431753,0.36107116961892294,2.2645126107594797
1,CANEBERRY,13,2017.0,2.1834476586666667,1.943948403,2.1275046353333336,2156.154667,2860.5833670000006,1225.9643,2384.88,4.583333333,15.914335,15.914335,0.0,4687.997667,10930.700000000003,15.0,0.17,0.11,2384.88,4655.245950325041,0.574112732884115,1,2.1834476586666667,1,1,-4.88235294117647,31.3017614165001,4623.94418890854,0.5501657789124993,0.11975839577786684,0.23105307772482084,0.09902274758481301,4.4678827757045205,0.5712402743130072,1.3436493663853497
2,GRAIN,13,2017.0,1.144182402,1.121057757,2.1277597053333333,132.625,165.6221,70.9809,250.25891880000003,1.796407186,27.742615,27.742615,0.0,80.33892,449.56692,15.0,0.17,0.38000000000000006,250.25891880000003,63.17618406291049,0.859473236932437,1,1.144182402,1,1,-4.88235294117647,31.3017614165001,31.8744226464104,0.42059742679856554,0.07115941088814035,0.3557702136193059,0.15247294869398823,1.7836140291399551,0.09485691768308144,148.5477540146421
3,HAY,13,2017.0,2.3774841816666665,2.123113996,2.1280603123333335,576.123,414.4266,177.6114,212.19999999999996,6.0,1405.0226323333334,81.791382,1323.2312503333333,105.039,1273.2,15.0,0.17,0.51,212.19999999999996,69.3767372749998,0.9455099455898525,1,2.3774841816666665,1,1,-4.88235294117647,31.3017614165001,38.0749758584998,0.1752145598846169,0.6640825434064174,0.11249202769627602,0.04821086901268972,4.826603743711777,0.023972994046310283,3789.797322837228
4,HOPS,13,2017.0,1.3546073936666667,1.185477418,2.1253227210000003,3255.9888000000005,2143.8816,918.8064,13598.0,0.6536,1.7510070000000002,1.7510070000000002,0.0,2568.976,8887.6528,15.0,0.17,0.20000000000000004,13598.0,2548.6568890949993,0.7132362226059281,1,1.3546073936666667,1,1,-4.88235294117647,31.3017614165001,2517.3551276785,0.648074281897743,0.009984205633079652,0.23935905872842414,0.1025824537407532,0.6525639266343876,2.8554997210176762,13.696865285510558
5,PASTURE,13,2017.0,1.4661485553333333,1.384231646,2.1273060536666666,235.939,257.6728,110.4312,225.17,2.5,3632.708558,69.862293,3562.846265,-41.118,562.925,15.0,0.17,0.51,262.93479589860004,31.301761416500046,0.9523809523809522,1,1.4661485553333333,1,1,-4.88235294117647,31.3017614165001,0.0,0.3435955402582166,0.18312750872273337,0.331293865713335,0.14198308530571502,2.4153187673225185,0.028066417942014733,1340.1638678098482
6,VEGETABLE,13,2017.0,1.796504548,1.590145437,2.1267205293333333,789.426,1844.7848999999999,790.6221,106.32,32.0,23.182413,12.181886,11.000527,-22.593,3402.24,15.0,0.17,0.3,113.26154989471877,172.58902841100007,0.9523809523809522,1,1.796504548,1,1,-4.88235294117647,31.3017614165001,141.287266994501,0.23647743605762625,0.11570078161771656,0.45347524762726005,0.1943465346973972,31.251891725138695,0.27363031745111827,125.4207430052836
0,HAY,14,2017.0,2.3394466973333334,2.117045148,3.042848761333333,576.123,414.4266,177.6114,212.19999999999996,6.0,373.777033,17.030588,356.746445,105.039,1273.2,15.0,0.17,0.51,212.19999999999996,69.94729953999975,0.9450618131165568,1,2.3394466973333334,1,1,-4.88235294117647,69.9472995399997,0.0,0.18655375955546494,0.6424943877152947,0.11966629691046836,0.05128555581877216,4.8881110620145956,0.11513309544717362,789.8084716145122
0,APPLE,15,2017.0,2.2245139236666667,1.949998735,2.4516720703333337,5007.715533,17965.50499,7699.50214,2102.721739,15.18,18.525589333333333,18.525589333333333,0.0,1246.593333,31919.316000000003,15.0,0.17,0.11,2102.721739,1213.2256261649989,0.9619908638944438,1,2.2245139236666667,1,1,-4.88235294117647,28.8602789261995,1184.3653472388,0.18547612613364534,0.04932677942803861,0.5356379660770064,0.2295591283613096,15.026754358274804,0.49072172157847094,1.4285293171259827
1,CORN,15,2017.0,1.3727765373333334,1.140896593,2.4490421826666666,387.26500000000004,504.2933,216.12569999999997,180.37,7.0,7.907576333333334,3.3441543333333335,4.563422,154.906,1262.59,15.0,0.17,0.45,180.37,134.31435194000014,0.8936199780292888,1,1.3727765373333334,1,1,-4.88235294117647,28.8602789261995,105.454073013801,0.38961188492206356,0.07224602130127113,0.3766994656436657,0.16144262813299956,6.916562983398136,0.6645094695755833,85.05901858583877
2,GRAPE,15,2017.0,1.122610911,0.9850742330000001,2.4497393033333332,1288.48148,1521.585296,652.107984,979.0,3.6199999999999997,15.444308000000001,10.357971000000001,5.086336999999999,81.80524,3543.98,15.0,0.17,0.11,979.0,64.9660763350001,0.9816686109021496,1,1.122610911,1,1,-4.88235294117647,28.8602789261995,36.1057974088003,0.3805283329448171,0.008327277824767552,0.4278010724612907,0.18334331676912458,3.617332271498536,0.8776727692044214,0.1737709416582702
3,PASTURE,15,2017.0,1.4602485429999998,1.354257069,2.4515991686666667,235.939,257.6728,110.4312,225.17,2.5,2815.1798786666673,4.729506,2810.450372666666,-41.118,562.925,15.0,0.17,0.51,262.89762582090003,31.297336407250025,0.9523809523809522,1,1.4602485429999998,1,1,-4.88235294117647,28.8602789261995,2.43705748105063,0.345073054642748,0.17960695925835554,0.3327239902692274,0.1425959958296689,2.4173806418694155,0.41458543740625137,90.72430678923422
4,PEAR,15,2017.0,2.438478465,2.041428755,1.985381576,2639.021143,3444.17688,1476.075806,284.58,26.79285714,2.488721,2.488721,0.0,65.43745714,7624.711286,15.0,0.17,0.11,284.58,28.8602789261995,0.9962149020667379,1,2.438478465,1,1,-4.88235294117647,28.8602789261995,0.0,0.2558441084425604,0.2723142079593275,0.33028917849949885,0.1415525050986132,25.128711637173947,3.652843806480956,0.0823007450311297
5,VEGETABLE,15,2017.0,1.7694074553333332,1.5555492190000002,2.4510144196666666,789.426,1844.7848999999999,790.6221,106.32,32.0,52.043600999999995,20.507991,31.535610000000002,-22.593,3402.24,15.0,0.17,0.3,113.24821304442189,172.56870559150016,0.9523809523809522,1,1.7694074553333332,1,1,-4.88235294117647,28.8602789261995,143.708426665301,0.23883688909672626,0.10686386608911677,0.45800947136990977,0.1962897734442471,31.314885927976867,0.16253826780659955,211.13915627670906
0,APPLE,17,2017.0,2.4398937776666667,2.127399655,1.4524411366666665,5007.715533,17965.50499,7699.50214,2102.721739,15.18,17.539368333333332,10.782672666666665,6.756695666666666,1246.593333,31919.316000000003,15.0,0.17,0.11,2102.721739,1209.9949283549988,0.9620920784007384,1,2.4398937776666667,1,1,-4.88235294117647,31.40751937025,1178.58740898475,0.1790193710559324,0.08203765900118053,0.5172600789312289,0.2216828910116579,14.919684424688112,0.843103502437994,0.8310323830243411
1,BLUEBERRY,17,2017.0,1.9355588886666666,1.7434947880000002,1.453100105,4254.082,12661.36348,5426.298636,4131.7,6.140473171,7.046823,7.046823,0.0,3028.84888,25370.593000000004,15.0,0.17,0.11,4131.7,2999.8155012906986,0.881760134608706,1,1.9355588886666666,1,1,-4.88235294117647,31.40751937025,2968.40798192045,0.27823271125412746,0.02799138828852652,0.48564313027411465,0.2081327701832314,6.106302174616495,1.2900720070461669,0.6336155241044438
2,CANEBERRY,17,2017.0,2.3672234493333337,2.068012026,1.4525001043333334,2156.154667,2860.5833670000006,1225.9643,2384.88,4.583333333,2.5167913333333334,2.5167913333333334,0.0,4687.997667,10930.700000000003,15.0,0.17,0.11,2384.88,4652.489313465041,0.5743649250456601,1,2.3672234493333337,1,1,-4.88235294117647,31.40751937025,4621.08179409479,0.512689522260924,0.17959426036863507,0.2154013521668386,0.09231486520360227,4.404151927764559,3.612102827320511,0.21240702053290877
3,GRAIN,17,2017.0,1.2152303773333335,1.185375194,1.45297114,132.625,165.6221,70.9809,250.25891880000003,1.796407186,27.295929333333333,22.686905333333332,4.609024000000001,80.33892,449.56692,15.0,0.17,0.38000000000000006,250.25891880000003,62.110464432910476,0.8618437841910737,1,1.2152303773333335,1,1,-4.88235294117647,31.40751937025,30.7029450626606,0.4069249110375228,0.09866255344108603,0.3460887748649738,0.14832376065641736,1.7735634106919707,0.11599550087168144,120.81578793120454
4,GRAPE,17,2017.0,1.251700195,1.079559474,1.322086943,1288.48148,1521.585296,652.107984,979.0,3.62,14.189549,14.189549,0.0,81.80524,3543.98,15.0,0.17,0.11,979.0,63.02973707499996,0.9822149851085502,1,1.251700195,1,1,-4.88235294117647,31.40751937025,31.62221770475,0.37737060221130264,0.01568812217607984,0.4248588929288322,0.18208238268378527,3.612222783922699,0.6406763943596158,0.23771099949940708
5,HAY,17,2017.0,2.575135914,2.260833505,1.4528510723333332,576.123,414.4266,177.6114,212.19999999999996,6.0,2105.4740829999996,592.811778,1512.662305,105.039,1273.2,15.0,0.17,0.51,212.19999999999996,66.41196128999968,0.9478385475259192,1,2.575135914,1,1,-4.88235294117647,31.40751937025,35.0044419197497,0.12481133460430395,0.7601862805167319,0.08050166941527492,0.034500715463689255,4.506900306750335,0.003307600129573489,27341.727797321164
6,PASTURE,17,2017.0,1.6071591603333333,1.474921504,1.4523381416666667,235.939,257.6728,110.4312,225.17,2.5,1230.344065,120.58209466666666,1109.7619703333332,-41.118,562.925,15.0,0.17,0.51,263.8231627101,31.407519370250043,0.9523809523809524,1,1.6071591603333333,1,1,-4.88235294117647,31.40751937025,0.0,0.3038348153585024,0.2778211899780239,0.29284079626443166,0.12550319839904214,2.3566761062735697,0.016260990648286715,2314.0339514189855
7,VEGETABLE,17,2017.0,1.9157964429999998,1.6871192,1.4522746036666667,789.426,1844.7848999999999,790.6221,106.32,32.0,124.86336966666666,111.33138233333334,13.531987333333333,-22.593,3402.24,15.0,0.17,0.3,113.32026387428908,172.67849733225026,0.9523809523809522,1,1.9157964429999998,1,1,-4.88235294117647,31.40751937025,141.270977962001,0.2245529824144239,0.16034906994394602,0.4305685633491409,0.18452938429248897,30.925139637092837,0.029940644438897906,1146.3383664715702
0,APPLE,18,2017.0,2.315444311,1.96651362,0.8860358953333334,5007.715533,17965.50499,7699.50214,2102.721739,15.18,7.627598,2.331359,5.296239,1246.593333,31919.316000000003,15.0,0.17,0.11,2102.721739,1211.8616703549985,0.9620335952552939,1,2.315444311,1,1,-4.88235294117647,31.36793442425,1180.49373593075,0.1830434521589727,0.0616300439388443,0.5287285527020977,0.22659795120008502,14.986847754765794,3.8994033483942587,0.17973433498787697
1,BEAN,18,2017.0,1.091837627,0.873470101,0.900430068,421.592,427.0364,183.0156,938.3912,1.1,89.628769,79.918045,9.710724,0.58632,1032.23032,15.0,0.17,0.17,1000.3842205684091,52.401078220250156,0.9523809523809522,1,1.091837627,1,1,-4.88235294117647,31.36793442425,21.0331437960002,0.42733039477939444,0.022674734040603665,0.3849964098260015,0.16499846135400062,1.0982123553559224,0.07360481529767739,17.955286922659855
2,BLUEBERRY,18,2017.0,1.897152667,1.617109151,0.8863170913333334,4254.082,12661.36348,5426.298636,4131.7,6.140473171,6.148755,6.148755,0.0,3028.84888,25370.593000000004,15.0,0.17,0.11,4131.7,3000.391594615698,0.8817374274798272,1,1.897152667,1,1,-4.88235294117647,31.36793442425,2969.02366019145,0.27911750833246035,0.024955610753059923,0.4871488165939655,0.20877806432051418,6.1101750336379,1.478495905416477,0.5529095923045583
3,CANEBERRY,18,2017.0,2.2544287520000004,1.9139892949999997,0.886036688,2156.154667,2860.5833670000006,1225.9643,2384.88,4.583333333,40.242767,40.242767,0.0,4687.997667,10930.700000000003,15.0,0.17,0.11,2384.88,4654.18123392504,0.5742101389422886,1,2.2544287520000004,1,1,-4.88235294117647,31.36793442425,4622.81329950079,0.5368146456539759,0.14106928404900448,0.22548124921579615,0.09663482108122355,4.445600310506678,0.2259016903810091,3.3971709249032274
4,CORN,18,2017.0,1.4382896086666666,1.158045486,0.8851617639999999,387.26500000000004,504.2933,216.12569999999997,180.37,7.0,175.6917543333333,139.696949,35.99480533333333,154.906,1262.59,15.0,0.17,0.45,180.37,133.33165587000016,0.8943982956700115,1,1.4382896086666666,1,1,-4.88235294117647,31.36793442425,101.96372144575,0.3804840016441512,0.09298955818423511,0.36856850812012953,0.15795793205148406,6.885719212083994,0.015907449934516624,3546.516300525815
5,GRAIN,18,2017.0,1.2135360796666665,1.097404876,0.8862517103333333,132.625,165.6221,70.9809,250.25891880000003,1.796407186,828.6807193333333,301.642444,527.0382753333333,80.33892,449.56692,15.0,0.17,0.38000000000000006,250.25891880000003,62.13587889791048,0.8617872531967676,1,1.2135360796666665,1,1,-4.88235294117647,31.36793442425,30.7679444736606,0.4072848272870756,0.09792991329172265,0.34634968159484114,0.14843557782636052,1.773837180268774,0.008724166640714596,1606.5622490912224
6,GRAPE,18,2017.0,1.1965486570000001,0.9967055989999999,0.8854072186666665,1288.48148,1521.585296,652.107984,979.0,3.6199999999999997,1.5293153333333331,1.5293153333333331,0.0,81.80524,3543.98,15.0,0.17,0.11,979.0,63.857010145000004,0.9819815545953984,1,1.1965486570000001,1,1,-4.88235294117647,31.36793442425,32.4890757207496,0.3788981546125105,0.012076532207719998,0.4263177192258387,0.18270759395393085,3.614759735290249,5.944430748035673,0.025635599818433233
7,HAY,18,2017.0,2.4644487923333336,2.089584587,0.8862314003333333,576.123,414.4266,177.6114,212.19999999999996,6.0,2915.801342,1398.0365486666667,1517.764793333333,105.039,1273.2,15.0,0.17,0.51,212.19999999999996,68.07226811499982,0.9465345050934655,1,2.4644487923333336,1,1,-4.88235294117647,31.36793442425,36.7043336907498,0.15127464639185773,0.7096986585462429,0.09731868654332963,0.041708008518569845,4.685471372083071,0.0014025272197608328,64647.007181888104
8,PASTURE,18,2017.0,1.5543792323333332,1.361192582,0.8860727726666666,235.939,257.6728,110.4312,225.17,2.5,1061.1378670000001,263.282686,797.8551809999999,-41.118,562.925,15.0,0.17,0.51,263.49064916369997,31.367934424249977,0.9523809523809524,1,1.5543792323333332,1,1,-4.88235294117647,31.36793442425,0.0,0.3196409104646637,0.24018682853839002,0.30812058269786236,0.13205167829908385,2.380740149047333,0.007447448761311597,5051.785403052513
