,i,g,year,xland,xwater,p,y,Cost of Water $/arc,omegalabor,omegasupply,omegaland,Etc,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
2,Hay/Silage,Kittitas,2023.0,45325.0,2.0,258.0,5.11,96.0,152.0,330.0,182.0,3.83877,15.0,0.17,0.51,258.0,624.3800000000001,0.5264036165597172,1,2.0,1,1,-4.88235294117647,46.3,578.08,0.3710561556078983,0.4071513061309753,0.15184966312483747,0.06994287513628877,4.612781996894197,4.3260547462228135e-05,2623553.525054303
3,Herb,Kittitas,2023.0,17.0,2.0,438.0,0.06,96.0,318.0,572.0,182.0,2.416,15.0,0.17,0.41,19285.000000000004,55.100000000000136,0.9523809523809522,1,2.0,1,1,-4.88235294117647,46.3,8.80000000000018,0.11784750774764244,0.43978943069435794,0.2843052485518829,0.15805781300611668,0.05357293185647593,0.14347202295552366,144.18148630499107
4,Oilseed,Kittitas,2023.0,285.0,3.0,470.0,0.82,96.0,953.0,762.0,182.0,1.9686,15.0,0.17,0.74,2486.707317073171,97.10000000000014,0.9523809523809523,1,3.0,1,1,-4.88235294117647,46.3,50.8000000000002,0.02405351842130252,0.8281436005592285,0.06567101768911683,0.08213186333035215,0.5743095927644777,0.0047415836889521095,15238.84252686675
5,Orchard,Kittitas,2023.0,1982.0,2.0,1173.0,18.67,96.0,2159.0,4064.0,182.0,2.65761,15.0,0.17,0.13,1173.0,15464.910000000003,0.2938368239869478,1,2.0,1,1,-4.88235294117647,46.3,15418.61,0.6876332343519432,0.03888518894235951,0.17860021335882278,0.0948813633468746,18.52415034386421,0.0038810835985407122,1839.7076027749074
6,Seed,Kittitas,2023.0,527.0,2.0,9750.0,0.39,96.0,318.0,572.0,182.0,1.9686,15.0,0.17,0.74,9750.0,2700.5,0.2898093359631821,1,2.0,1,1,-4.88235294117647,46.3,2654.2,0.6189179029862742,0.18998515558864892,0.12281736010690335,0.06827958131817354,0.37413365608343496,0.0025642340632852966,291022.9347288768
7,Vegetable,Kittitas,2023.0,1403.0,2.0,860.0,16.63,96.0,6731.0,4826.0,182.0,2.9529,15.0,0.17,0.3,860.0,2532.7999999999993,0.8229034107594848,1,2.0,1,1,-4.88235294117647,46.3,2486.5,0.17911642779600118,0.058378578820182124,0.31840867855587945,0.44409631482793716,16.43343694652999,0.0023758612497030173,40763.22097985594
8,Vineyard,Kittitas,2023.0,63.0,2.0,935.0,4.78,96.0,2794.0,3683.0,182.0,1.9686,15.0,0.17,0.13,1469.3410041841005,334.4500000000007,0.9523809523809523,1,2.0,1,1,-4.88235294117647,46.3,288.150000000001,0.06555371487233098,0.11231169082408315,0.46748829872164693,0.3546462955819391,4.668866037082203,0.12210012210012211,1.9301248385470533
0,Berry,Yakima,2023.0,412.0,2.0,1900.0,3.53,215.0,6858.0,9652.0,236.0,1.9686,15.0,0.17,0.25,4990.028328611898,838.7999999999993,0.9523809523809524,1,2.0,1,1,-4.88235294117647,29.1999999999999,809.599999999999,0.05819285293341392,0.04790688475670077,0.5225878456580869,0.37131241665179854,3.49590373244898,0.009708737864077669,2027.621813793983
1,Cereal Grain,Yakima,2023.0,58304.0,2.0,255.0,2.26,215.0,89.0,229.0,236.0,2.081091,15.0,0.17,0.74,271.3274336283186,29.199999999999932,0.9523809523809524,1,2.0,1,1,-4.88235294117647,29.1999999999999,0.0,0.1806512368407305,0.6027307642326014,0.1559922067742357,0.06062579215243222,1.8899713365624615,2.3177678227074496e-05,2962232.5882924846
2,Hay/Silage,Yakima,2023.0,42419.0,2.0,258.0,5.11,215.0,152.0,330.0,236.0,3.83877,15.0,0.17,0.51,258.0,570.3800000000001,0.5673629757732975,1,2.0,1,1,-4.88235294117647,29.1999999999999,541.18,0.3710561556078983,0.4071513061309754,0.1518496631248375,0.06994287513628879,4.612781996894199,4.62241993853106e-05,2455345.107099359
3,Herb,Yakima,2023.0,44164.0,2.0,438.0,0.06,215.0,953.0,762.0,236.0,2.416,15.0,0.17,0.41,34667.50000000001,99.05000000000018,0.9523809523809523,1,2.0,1,1,-4.88235294117647,29.1999999999999,69.8500000000003,0.11416170575292178,0.30148573383442123,0.2596365312154197,0.32471602919723747,0.05591490798530184,5.522652817326109e-05,529306.2794430797
4,Oilseed,Yakima,2023.0,954.0,2.0,470.0,0.82,215.0,318.0,572.0,236.0,1.9686,15.0,0.17,0.74,1480.2439024390244,57.799999999999955,0.9523809523809524,1,2.0,1,1,-4.88235294117647,29.1999999999999,28.6,0.14202691073838183,0.4277350002311216,0.27651256957915055,0.15372551945134594,0.7351758329440271,0.0014165108504731146,53696.68200935775
5,Orchard,Yakima,2023.0,66533.0,2.0,1173.0,18.67,215.0,2159.0,4064.0,236.0,2.65761,15.0,0.17,0.13,1173.0,15410.910000000003,0.29630258754488026,1,2.0,1,1,-4.88235294117647,29.1999999999999,15381.71,0.6876332343519432,0.038885188942359504,0.17860021335882276,0.09488136334687461,18.524150343864207,0.00011561642631938574,61756.44093613669
6,Seed,Yakima,2023.0,168.0,3.0,9750.0,0.39,215.0,318.0,572.0,236.0,1.9686,15.0,0.17,0.74,9750.0,2631.5,0.30795529257067716,1,3.0,1,1,-4.88235294117647,29.1999999999999,2602.3,0.21452577653476168,0.7188908089522696,0.042792936069009135,0.02379047844395962,0.30146892735828884,0.008043758043758044,92291.1362825722
7,Vegetable,Yakima,2023.0,4284.0,2.0,860.0,16.63,215.0,6731.0,4826.0,236.0,2.9529,15.0,0.17,0.3,860.0,2478.7999999999993,0.8266791592666658,1,2.0,1,1,-4.88235294117647,29.1999999999999,2449.6,0.17911642779600118,0.05837857882018214,0.31840867855587957,0.4440963148279372,16.43343694652999,0.000778089013383131,124468.7374751981
8,Vineyard,Yakima,2023.0,16782.0,2.0,935.0,4.78,215.0,2794.0,3683.0,236.0,1.9686,15.0,0.17,0.13,1481.202928870293,337.15000000000055,0.9523809523809523,1,2.0,1,1,-4.88235294117647,29.1999999999999,307.950000000001,0.07223087819407552,0.11150915833558249,0.46414782236548846,0.3521121411048533,4.669697408338723,0.0004583665649092893,570.5958148796853
