,i,g,year,xland,xwater,p,y,Cost of Water $/arc,omegalabor,omegasupply,omegaland,Etc,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
7,Vegetable,Kittitas,2020.0,938.6,2.2,815.2,16.024,88.8,5883.0,4218.0,386.6,2.9529,15.0,0.17,0.3,815.2,2515.2400000000002,0.8066122856487491,1,2.2,1,1,-4.88235294117647,63.6228311648222,2478.54196883518,0.20087821874811115,0.10631405303326616,0.289304326069315,0.40350340214930774,15.667426608756328,0.0035513885929398395,29419.685640308348
8,Vineyard,Kittitas,2020.0,42.8,1.4,848.0,5.156000000000001,88.8,2442.0,3219.0,386.6,1.9686,15.0,0.17,0.13,1273.7326015069896,303.43000000000046,0.9523809523809523,1,1.4,1,1,-4.88235294117647,63.6228311648222,435.142462205216,0.13303911274193164,0.01631266005530788,0.4837019331152952,0.3669462940874653,5.1420322041753606,0.17972681524083392,2.247930246626287
0,Berry,Yakima,2020.0,422.8,1.8,2393.4,3.5460000000000003,193.2,5994.0,8436.0,386.6,1.9686,15.0,0.17,0.25,4503.263390183835,742.18,0.9523809523809523,1,1.8,1,1,-4.88235294117647,63.6228311648222,1061.34915042706,0.09206983682533691,0.02899898320501539,0.5138366898284095,0.36509449014123835,3.5259131074049312,0.00946073793755913,2926.3474743607685
1,Cereal Grain,Yakima,2020.0,57080.6,2.0,217.2,2.7299999999999995,193.2,77.8,199.8,386.6,2.081091,15.0,0.17,0.74,277.5907806464551,34.710000000000015,0.9523809523809523,1,2.0,1,1,-4.88235294117647,63.6228311648222,0.0,0.27918287215164983,0.5486775561860557,0.1238958444457004,0.04824372721659404,2.338771817623391,2.367444195315661e-05,4923379.68029912
2,Hay/Silage,Yakima,2020.0,41507.8,2.0,224.4,4.84,193.2,133.2,288.6,386.6,3.8387699999999993,15.0,0.17,0.51,224.4,258.256,0.8024158315478536,1,2.0,1,1,-4.88235294117647,63.6228311648222,184.073168835178,0.32680205033226084,0.4558781103022891,0.1486925216710975,0.06862731769435268,4.297366924095105,4.723893614514597e-05,1889879.249481744
3,Herb,Yakima,2020.0,43923.2,2.0,383.6,0.064,193.2,832.8,666.0,386.6,2.416,15.0,0.17,0.41,31699.0,95.77000000000002,0.9523809523809523,1,2.0,1,1,-4.88235294117647,63.6228311648222,49.7131688351779,0.17337469557117263,0.30685078584630193,0.23096465797702295,0.2888098606055025,0.05955296959815458,5.5529296368295177e-05,785484.1152283961
4,Oilseed,Yakima,2020.0,1039.6,2.0,458.0,0.8800000000000001,193.2,277.8,499.8,386.6,1.9686,15.0,0.17,0.74,1516.3604023427554,59.710000000000036,0.9523809523809523,1,2.0,1,1,-4.88235294117647,63.6228311648222,76.5743228968027,0.24063243726719413,0.40417243349510823,0.228300573036267,0.12689455620143053,0.7951438036889388,0.0012998762517808305,104919.68442136425
5,Orchard,Yakima,2020.0,69081.8,2.2,1436.4,17.066,193.2,1887.0,3552.0,386.6,2.65761,15.0,0.17,0.13,1436.4,18470.147999999997,0.24292904415999145,1,2.2,1,1,-4.88235294117647,63.6228311648222,18591.3795688352,0.7315072609146143,0.05954666886838652,0.13645457646824444,0.07249149374875487,16.857397313320195,0.00011135071310110176,78033.97067239038
6,Seed,Yakima,2020.0,671.0,2.2,9042.0,0.372,189.25,277.8,499.8,386.6,1.9686,15.0,0.17,0.74,9042.0,2162.4,0.356460107027544,1,2.2,1,1,-4.88235294117647,63.6228311648222,2102.80116883518,0.5230897042425708,0.31758764386734795,0.1024041427657698,0.05691850912431143,0.344690683028069,0.0020139364401659484,328189.515195107
7,Vegetable,Yakima,2020.0,4928.8,2.0,815.2,16.024,193.2,5883.0,4218.0,386.6,2.9529,15.0,0.17,0.3,815.2,2518.2400000000002,0.8063794676193208,1,2.0,1,1,-4.88235294117647,63.6228311648222,2481.54196883518,0.21065180555225826,0.06357582420734618,0.3030697809795058,0.4227025892608897,15.817305420520178,0.0006762971379105123,154647.6424461047
8,Vineyard,Yakima,2020.0,17581.0,2.2,848.0,5.156000000000001,193.2,2442.0,3219.0,386.6,1.9686,15.0,0.17,0.13,1276.0418353712023,304.0300000000005,0.9523809523809523,1,2.2,1,1,-4.88235294117647,63.6228311648222,435.048872009097,0.10934261959181407,0.19144993111320519,0.3975885495991068,0.30161889969587413,4.9414771304018945,0.0004375352762816502,923.2870092200105
