internal_id,crop_code,county,total_revenue,total_jobs,direct_value_add,total_value_add,direct_jobs,,
HENRY MILLER RECLAMATION DIST. 2131,Corn,Merced,1,0.00001,1,1.7217171,7.1E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Cotton,Merced,1,0.00001,1,0.562511,1.9E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Cucurbits,Merced,1,0.00001,1,0.8799022,3.4E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Field and Grain,Merced,1,0.00001,1,1.7217171,7.1E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Grapes,Merced,1,0.00001,1,1.5394567,4.5E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Lettuce,Merced,1,0.00001,1,0.8799022,3.4E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Onions and Garlic,Merced,1,0.00001,1,0.8799022,3.4E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Orchards,Merced,1,0.00001,1,1.5394567,4.5E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Pasture,Merced,1,0.00001,1,0.4260006,1.4E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Pistachios,Merced,1,0.00001,1,1.6963358,4.7E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Safflower,Merced,1,0.00001,1,0.8206568,4.0E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Subtropical,Merced,1,0.00001,1,1.5394567,4.5E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Truck,Merced,1,0.00001,1,0.8799022,3.4E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Tomatoes,Merced,1,0.00001,1,0.8799022,3.4E-06,,
JAMES I.D.,Alfalfa,Fresno,1,0.00001,1,1.6489322,6.9E-06,,
JAMES I.D.,Almonds,Fresno,1,0.00001,1,1.9288842,5.2E-06,,
JAMES I.D.,Corn,Fresno,1,0.00001,1,0.8884868,8.4E-07,,
JAMES I.D.,Cotton,Fresno,1,0.00001,1,1.9288794,5.1E-06,,
JAMES I.D.,Field and Grain,Fresno,1,0.00001,1,0.8884868,8.4E-07,,
JAMES I.D.,Grapes,Fresno,1,0.00001,1,1.9644666,4.7E-06,,
JAMES I.D.,Lettuce,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
JAMES I.D.,Onions and Garlic,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
JAMES I.D.,Orchards,Fresno,1,0.00001,1,1.9644666,4.7E-06,,
JAMES I.D.,Pasture,Fresno,1,0.00001,1,0.4718482,1.6E-06,,
JAMES I.D.,Pistachios,Fresno,1,0.00001,1,1.9288842,5.2E-06,,
JAMES I.D.,Walnuts,Fresno,1,0.00001,1,1.9288842,5.2E-06,,
JAMES I.D.,Tomatoes,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
LAGUNA W.D.,Alfalfa,Merced,1,0.00001,1,0.7614505,5.0E-06,,
LAGUNA W.D.,Field and Grain,Merced,1,0.00001,1,1.7217171,7.1E-06,,
MERCY SPRINGS W.D.,Pasture,Fresno,1,0.00001,1,0.4718482,1.6E-06,,
MERCY SPRINGS W.D.,Pistachios,Fresno,1,0.00001,1,1.9288842,5.2E-06,,
ORO LOMA W.D.,Pasture,Fresno,1,0.00001,1,0.4718482,1.6E-06,,
PACHECO W.D.,Almonds,Merced,1,0.00001,1,1.6963358,4.7E-06,,
PACHECO W.D.,Cotton,Merced,1,0.00001,1,0.562511,1.9E-06,,
PACHECO W.D.,Cucurbits,Merced,1,0.00001,1,0.8799022,3.4E-06,,
PACHECO W.D.,Field and Grain,Merced,1,0.00001,1,1.7217171,7.1E-06,,
PACHECO W.D.,Pistachios,Merced,1,0.00001,1,1.6963358,4.7E-06,,
PACHECO W.D.,Subtropical,Merced,1,0.00001,1,1.5394567,4.5E-06,,
PACHECO W.D.,Truck,Merced,1,0.00001,1,0.8799022,3.4E-06,,
PACHECO W.D.,Tomatoes,Merced,1,0.00001,1,0.8799022,3.4E-06,,
PANOCHE W.D.,Alfalfa,Fresno,1,0.00001,1,1.6489322,6.9E-06,,
PANOCHE W.D.,Almonds,Fresno,1,0.00001,1,1.9288842,5.2E-06,,
PANOCHE W.D.,Corn,Fresno,1,0.00001,1,0.8884868,8.4E-07,,
PANOCHE W.D.,Cotton,Fresno,1,0.00001,1,1.9288794,5.1E-06,,
PANOCHE W.D.,Cucurbits,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
PANOCHE W.D.,Field and Grain,Fresno,1,0.00001,1,0.8884868,8.4E-07,,
PANOCHE W.D.,Grapes,Fresno,1,0.00001,1,1.9644666,4.7E-06,,
PANOCHE W.D.,Onions and Garlic,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
PANOCHE W.D.,Orchards,Fresno,1,0.00001,1,1.9644666,4.7E-06,,
PANOCHE W.D.,Pasture,Fresno,1,0.00001,1,0.4718482,1.6E-06,,
PANOCHE W.D.,Pistachios,Fresno,1,0.00001,1,1.9288842,5.2E-06,,
PANOCHE W.D.,Subtropical,Fresno,1,0.00001,1,1.9644666,4.7E-06,,
PANOCHE W.D.,Truck,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
PANOCHE W.D.,Tomatoes,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
PATTERSON W.D.,Alfalfa,Stanislaus,1,0.00001,1,1.0723387,9.5E-06,,
PATTERSON W.D.,Almonds,Stanislaus,1,0.00001,1,2.0060203,6.3E-06,,
PATTERSON W.D.,Beans Dry,Stanislaus,1,0.00001,1,1.0723387,9.5E-06,,
PATTERSON W.D.,Corn,Stanislaus,1,0.00001,1,2.0033529,6.3E-06,,
PATTERSON W.D.,Cucurbits,Stanislaus,1,0.00001,1,1.1211718,3.9E-06,,
PATTERSON W.D.,Field and Grain,Stanislaus,1,0.00001,1,2.0033529,6.3E-06,,
PATTERSON W.D.,Grapes,Stanislaus,1,0.00001,1,1.8683312,5.1E-06,,
PATTERSON W.D.,Orchards,Stanislaus,1,0.00001,1,1.8683312,5.1E-06,,
PATTERSON W.D.,Pasture,Stanislaus,1,0.00001,1,0.3504204,2.4E-06,,
PATTERSON W.D.,Pistachios,Stanislaus,1,0.00001,1,2.0060203,6.3E-06,,
PATTERSON W.D.,Truck,Stanislaus,1,0.00001,1,1.1211718,3.9E-06,,
PATTERSON W.D.,Walnuts,Stanislaus,1,0.00001,1,2.0060203,6.3E-06,,
PATTERSON W.D.,Tomatoes,Stanislaus,1,0.00001,1,1.1211718,3.9E-06,,
PLEASANT VALLEY W.D.,Alfalfa,Fresno,1,0.00001,1,1.6489322,6.9E-06,,
PLEASANT VALLEY W.D.,Cucurbits,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
PLEASANT VALLEY W.D.,Field and Grain,Fresno,1,0.00001,1,0.8884868,8.4E-07,,
PLEASANT VALLEY W.D.,Lettuce,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
PLEASANT VALLEY W.D.,Onions and Garlic,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
PLEASANT VALLEY W.D.,Pasture,Fresno,1,0.00001,1,0.4718482,1.6E-06,,
PLEASANT VALLEY W.D.,Pistachios,Fresno,1,0.00001,1,1.9288842,5.2E-06,,
PLEASANT VALLEY W.D.,Truck,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
PLEASANT VALLEY W.D.,Tomatoes,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
RECLAMATION DISTRICT 1606,Lettuce,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
SAN BENITO CO. W.D.,Beans Dry,San Benito,1,0.00001,1,0.7931985,1.6E-05,,
SAN BENITO CO. W.D.,Berries,San Benito,1,0.00001,1,0.7808648,5.6E-06,,
SAN BENITO CO. W.D.,Corn,San Benito,1,0.00001,1,0.3230463,1.2E-06,,
SAN BENITO CO. W.D.,Cucurbits,San Benito,1,0.00001,1,0.5035433,4.4E-06,,
SAN BENITO CO. W.D.,Field and Grain,San Benito,1,0.00001,1,0.3230463,1.2E-06,,
SAN BENITO CO. W.D.,Grapes,San Benito,1,0.00001,1,0.7808648,5.6E-06,,
SAN BENITO CO. W.D.,Lettuce,San Benito,1,0.00001,1,0.5035433,4.4E-06,,
SAN BENITO CO. W.D.,Onions and Garlic,San Benito,1,0.00001,1,0.5035433,4.4E-06,,
SAN BENITO CO. W.D.,Orchards,San Benito,1,0.00001,1,0.7808648,5.6E-06,,
SAN BENITO CO. W.D.,Pasture,San Benito,1,0.00001,1,0.2601789,5.0E-06,,
SAN BENITO CO. W.D.,Subtropical,San Benito,1,0.00001,1,0.7808648,5.6E-06,,
SAN BENITO CO. W.D.,Truck,San Benito,1,0.00001,1,0.5035433,4.4E-06,,
SAN BENITO CO. W.D.,Walnuts,San Benito,1,0.00001,1,0.7995958,8.0E-06,,
SAN BENITO CO. W.D.,Tomatoes,San Benito,1,0.00001,1,0.5035433,4.4E-06,,
SAN LUIS W.D.,Alfalfa,Merced,1,0.00001,1,0.7614505,5.0E-06,,
SAN LUIS W.D.,Corn,Merced,1,0.00001,1,1.7217171,7.1E-06,,
SAN LUIS W.D.,Cotton,Merced,1,0.00001,1,0.562511,1.9E-06,,
SAN LUIS W.D.,Cucurbits,Merced,1,0.00001,1,0.8799022,3.4E-06,,
SAN LUIS W.D.,Field and Grain,Merced,1,0.00001,1,1.7217171,7.1E-06,,
SAN LUIS W.D.,Grapes,Merced,1,0.00001,1,1.5394567,4.5E-06,,
SAN LUIS W.D.,Onions and Garlic,Merced,1,0.00001,1,0.8799022,3.4E-06,,
SAN LUIS W.D.,Orchards,Merced,1,0.00001,1,1.5394567,4.5E-06,,
SAN LUIS W.D.,Pasture,Merced,1,0.00001,1,0.4260006,1.4E-06,,
SAN LUIS W.D.,Pistachios,Merced,1,0.00001,1,1.6963358,4.7E-06,,
SAN LUIS W.D.,Subtropical,Merced,1,0.00001,1,1.5394567,4.5E-06,,
SAN LUIS W.D.,Walnuts,Merced,1,0.00001,1,1.6963358,4.7E-06,,
SAN LUIS W.D.,Almonds,Merced,1,0.00001,1,1.6963358,4.7E-06,,
SAN LUIS W.D.,Tomatoes,Merced,1,0.00001,1,0.8799022,3.4E-06,,
SANTA CLARA VALLEY W.D.,Beans Dry,Santa Clara,1,0.00001,1,0.7025342,2.6E-05,,
SANTA CLARA VALLEY W.D.,Berries,Santa Clara,1,0.00001,1,1.7256029,7.9E-06,,
SANTA CLARA VALLEY W.D.,Onions and Garlic,Santa Clara,1,0.00001,1,0.8687576,5.9E-06,,
SANTA CLARA VALLEY W.D.,Alfalfa,Santa Clara,1,0.00001,1,0.7025342,2.56E-05,,
SANTA CLARA VALLEY W.D.,Corn,Santa Clara,1,0.00001,1,0.5607243,1.67E-06,,
SANTA CLARA VALLEY W.D.,Cucurbits,Santa Clara,1,0.00001,1,0.8687576,5.86E-06,,
SANTA CLARA VALLEY W.D.,Field and Grain,Santa Clara,1,0.00001,1,0.5607243,1.67E-06,,
SANTA CLARA VALLEY W.D.,Grapes,Santa Clara,1,0.00001,1,1.7256029,7.94E-06,,
SANTA CLARA VALLEY W.D.,Lettuce,Santa Clara,1,0.00001,1,0.8687576,5.86E-06,,
SANTA CLARA VALLEY W.D.,Orchards,Santa Clara,1,0.00001,1,1.7256029,7.94E-06,,
SANTA CLARA VALLEY W.D.,Pasture,Santa Clara,1,0.00001,1,0.3191758,5.99E-06,,
SANTA CLARA VALLEY W.D.,Subtropical,Santa Clara,1,0.00001,1,1.7256029,7.94E-06,,
SANTA CLARA VALLEY W.D.,Truck,Santa Clara,1,0.00001,1,0.8687576,5.86E-06,,
SANTA CLARA VALLEY W.D.,Walnuts,Santa Clara,1,0.00001,1,2.7661994,1.75E-05,,
SANTA CLARA VALLEY W.D.,Tomatoes,Santa Clara,1,0.00001,1,0.8687576,5.86E-06,,
THE WEST SIDE I.D.,Alfalfa,San Joaquin,1,9.9E-12,1,1.1583308,7.79E-06,,
THE WEST SIDE I.D.,Almonds,San Joaquin,1,8.5E-12,1,0.9946772,5.34E-06,,
THE WEST SIDE I.D.,Beans Dry,San Joaquin,1,9.9E-12,1,1.1583308,7.79E-06,,
THE WEST SIDE I.D.,Field and Grain,San Joaquin,1,7.5E-12,1,0.8774354,2.26E-06,,
THE WEST SIDE I.D.,Orchards,San Joaquin,1,9.39E-12,1,1.0979858,4.76E-06,,
THE WEST SIDE I.D.,Pasture,San Joaquin,1,2.2E-12,1,0.2596657,1.82E-06,,
THE WEST SIDE I.D.,Truck,San Joaquin,1,7.4E-12,1,0.8679053,3.61E-06,,
THE WEST SIDE I.D.,Walnuts,San Joaquin,1,8.5E-12,1,0.9946772,5.34E-06,,
TRANQUILLITY I.D.,Alfalfa,Fresno,1,0.00001,1,1.6489322,6.92E-06,,
TRANQUILLITY I.D.,Almonds,Fresno,1,0.00001,1,1.9288842,5.15E-06,,
TRANQUILLITY I.D.,Corn,Fresno,1,0.00001,1,0.8884868,8.40E-07,,
TRANQUILLITY I.D.,Cotton,Fresno,1,0.00001,1,1.9288794,5.10E-06,,
TRANQUILLITY I.D.,Cucurbits,Fresno,1,0.00001,1,1.3567763,3.52E-06,,
TRANQUILLITY I.D.,Field and Grain,Fresno,1,0.00001,1,0.8884868,8.40E-07,,
TRANQUILLITY I.D.,Grapes,Fresno,1,0.00001,1,1.9644666,4.65E-06,,
TRANQUILLITY I.D.,Lettuce,Fresno,1,0.00001,1,1.3567763,3.52E-06,,
TRANQUILLITY I.D.,Onions and Garlic,Fresno,1,0.00001,1,1.3567763,3.52E-06,,
TRANQUILLITY I.D.,Orchards,Fresno,1,0.00001,1,1.9644666,4.65E-06,,
TRANQUILLITY I.D.,Pistachios,Fresno,1,0.00001,1,1.9288842,5.15E-06,,
TRANQUILLITY I.D.,Truck,Fresno,1,0.00001,1,1.3567763,3.52E-06,,
TRANQUILLITY I.D.,Tomatoes,Fresno,1,0.00001,1,1.3567763,3.52E-06,,
Turner Island Water District,Alfalfa,Merced,1,0.00001,1,0.7614505,4.98E-06,,
Turner Island Water District,Corn,Merced,1,0.00001,1,1.7217171,7.12E-06,,
Turner Island Water District,Cotton,Merced,1,0.00001,1,0.562511,1.86E-06,,
Turner Island Water District,Cucurbits,Merced,1,0.00001,1,0.8799022,3.38E-06,,
Turner Island Water District,Onions and Garlic,Merced,1,0.00001,1,0.8799022,3.38E-06,,
Turner Island Water District,Safflower,Merced,1,0.00001,1,0.8206568,4.02E-06,,
Turner Island Water District,Sunflowers,Merced,1,0.00001,1,0.8206568,4.02E-06,,
Turner Island Water District,Tomatoes,Merced,1,0.00001,1,0.8799022,3.38E-06,,
WEST STANISLAUS I.D.,Alfalfa,Stanislaus,1,0.00001,1,1.0723387,9.46E-06,,
WEST STANISLAUS I.D.,Almonds,Stanislaus,1,0.00001,1,2.0060203,6.31E-06,,
WEST STANISLAUS I.D.,Beans Dry,Stanislaus,1,0.00001,1,1.0723387,9.46E-06,,
WEST STANISLAUS I.D.,Corn,Stanislaus,1,0.00001,1,2.0033529,6.29E-06,,
WEST STANISLAUS I.D.,Cucurbits,Stanislaus,1,0.00001,1,1.1211718,3.89E-06,,
WEST STANISLAUS I.D.,Field and Grain,Stanislaus,1,0.00001,1,2.0033529,6.29E-06,,
WEST STANISLAUS I.D.,Grapes,Stanislaus,1,0.00001,1,1.8683312,5.05E-06,,
WEST STANISLAUS I.D.,Onions and Garlic,Stanislaus,1,0.00001,1,1.1211718,3.89E-06,,
WEST STANISLAUS I.D.,Orchards,Stanislaus,1,0.00001,1,1.8683312,5.05E-06,,
WEST STANISLAUS I.D.,Pasture,Stanislaus,1,0.00001,1,0.3504204,2.35E-06,,
WEST STANISLAUS I.D.,Subtropical,Stanislaus,1,0.00001,1,1.8683312,5.05E-06,,
WEST STANISLAUS I.D.,Walnuts,Stanislaus,1,0.00001,1,2.0060203,6.31E-06,,
WEST STANISLAUS I.D.,Tomatoes,Stanislaus,1,0.00001,1,1.1211718,3.89E-06,,
WESTLANDS W.D.,Alfalfa,Fresno,1,0.00001,1,1.6489322,6.92E-06,,
WESTLANDS W.D.,Almonds,Fresno,1,0.00001,1,1.9288842,5.15E-06,,
WESTLANDS W.D.,Beans Dry,Fresno,1,0.00001,1,1.6489322,6.92E-06,,
WESTLANDS W.D.,Berries,Fresno,1,0.00001,1,1.9644666,4.65E-06,,
WESTLANDS W.D.,Corn,Fresno,1,0.00001,1,0.8884868,8.40E-07,,
WESTLANDS W.D.,Cotton,Fresno,1,0.00001,1,1.9288794,5.10E-06,,
WESTLANDS W.D.,Cucurbits,Fresno,1,0.00001,1,1.3567763,3.52E-06,,
WESTLANDS W.D.,Field and Grain,Fresno,1,0.00001,1,0.8884868,8.40E-07,,
WESTLANDS W.D.,Grapes,Fresno,1,0.00001,1,1.9644666,4.65E-06,,
WESTLANDS W.D.,Lettuce,Fresno,1,0.00001,1,1.3567763,3.52E-06,,
WESTLANDS W.D.,Onions and Garlic,Fresno,1,0.00001,1,1.3567763,3.52E-06,,
WESTLANDS W.D.,Orchards,Fresno,1,0.00001,1,1.9644666,4.65E-06,,
WESTLANDS W.D.,Pasture,Fresno,1,0.00001,1,0.4718482,1.64E-06,,
WESTLANDS W.D.,Pistachios,Fresno,1,0.00001,1,1.9288842,5.15E-06,,
WESTLANDS W.D.,Subtropical,Fresno,1,0.00001,1,1.9644666,4.65E-06,,
WESTLANDS W.D.,Truck,Fresno,1,0.00001,1,1.3567763,3.52E-06,,
WESTLANDS W.D.,Walnuts,Fresno,1,0.00001,1,1.9288842,5.15E-06,,
WESTLANDS W.D.,Tomatoes,Fresno,1,0.00001,1,1.3567763,3.52E-06,,
