g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,CS_land,CS_labor,CS_supply
Byron Bethany (CVP),Almonds,San Joaquin River,1272.888127,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311
Byron Bethany (CVP),Field and Grain,San Joaquin River,241.5843527,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702
Byron Bethany (CVP),Grapes,San Joaquin River,11.32738188,1686.199914,10.80135885,3.098484515,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166
Byron Bethany (CVP),Subtropical,San Joaquin River,3.65141321,950.3385633,4.405405823,3.247465856,846.2602941,50,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361
Byron Bethany (CVP),Walnuts,San Joaquin River,71.36938777,1802.497789,1.658526763,4.952669773,765.1413128,50,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664
CENTRAL CALIFORNIA I.D.,Alfalfa,San Joaquin River,18210.31372,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255
CENTRAL CALIFORNIA I.D.,Almonds,San Joaquin River,28641.94076,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311
CENTRAL CALIFORNIA I.D.,Beans Dry,San Joaquin River,933.0703639,1593.773361,1.285477627,2.212101358,174.4872303,50,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516
CENTRAL CALIFORNIA I.D.,Corn,San Joaquin River,23561.0521,77.55530093,25.22861255,2.415829265,172.4592835,50,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293
CENTRAL CALIFORNIA I.D.,Cotton,San Joaquin River,23112.34707,3399.208415,0.729719844,3.634047537,368.4467916,50,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087
CENTRAL CALIFORNIA I.D.,Cucurbits,San Joaquin River,2512.831711,384.0603914,14.86947686,2.299627126,267.5771763,50,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591
CENTRAL CALIFORNIA I.D.,Field and Grain,San Joaquin River,4831.875016,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702
CENTRAL CALIFORNIA I.D.,Grapes,San Joaquin River,109.2901182,1686.199914,10.80135885,3.098484515,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166
CENTRAL CALIFORNIA I.D.,Lettuce,San Joaquin River,384.117709,1008.0,18.9,3.326092372,1600.0,65,12500.0,929.0,0.25,65,0.083984211,0.048763332,0.656126648
CENTRAL CALIFORNIA I.D.,Onions and Garlic,San Joaquin River,242.0243169,1579.216395,6.547714821,1.480822037,1660.207972,50,2894.594241,4313.35249,0.41,50,0.160557684,0.417141646,0.279934415
CENTRAL CALIFORNIA I.D.,Orchards,San Joaquin River,952.0058482,4762.917744,3.247388671,3.445837194,2203.997553,50,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127
CENTRAL CALIFORNIA I.D.,Pasture,San Joaquin River,2751.172496,226.9343417,5.0,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702
CENTRAL CALIFORNIA I.D.,Pistachios,San Joaquin River,2317.500868,4897.401316,1.414819371,3.805829794,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284
CENTRAL CALIFORNIA I.D.,Rice,San Joaquin River,2000.559108,573.2274458,4.688550562,4.833919598,335.3762222,50,192.0996257,1541.750863,0.2,50,0.124786237,0.573652143,0.071476115
CENTRAL CALIFORNIA I.D.,Subtropical,San Joaquin River,103.0848701,950.3385633,4.405405823,3.247465856,846.2602941,50,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361
CENTRAL CALIFORNIA I.D.,Tomatoes,San Joaquin River,7760.773398,99.69467136,46.73447582,2.379660861,122.4440466,50,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875
CENTRAL CALIFORNIA I.D.,Truck,San Joaquin River,451.6400536,690.3355797,21.20927139,2.667732673,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021
CENTRAL CALIFORNIA I.D.,Walnuts,San Joaquin River,5066.976166,1802.497789,1.658526763,4.952669773,765.1413128,50,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664
CITY OF TRACY,Alfalfa,San Joaquin River,55.10480116,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255
CITY OF TRACY,Beans Dry,San Joaquin River,105.4692014,1593.773361,1.285477627,2.212101358,174.4872303,50,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516
COLUMBIA CANAL CO.,Almonds,San Joaquin River,11538.26395,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311
COLUMBIA CANAL CO.,Corn,San Joaquin River,29.13194869,77.55530093,25.22861255,2.415829265,172.4592835,50,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293
COLUMBIA CANAL CO.,Cotton,San Joaquin River,135.3993331,3399.208415,0.729719844,3.634047537,368.4467916,50,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087
COLUMBIA CANAL CO.,Field and Grain,San Joaquin River,8.72700116,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702
COLUMBIA CANAL CO.,Grapes,San Joaquin River,31.5693198,1686.199914,10.80135885,3.098484515,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166
COLUMBIA CANAL CO.,Pasture,San Joaquin River,27.51344268,226.9343417,5.0,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702
COLUMBIA CANAL CO.,Pistachios,San Joaquin River,1889.392969,4897.401316,1.414819371,3.805829794,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284
COLUMBIA CANAL CO.,Truck,San Joaquin River,1.6301472,690.3355797,21.20927139,2.667732673,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021
DEL PUERTO WATER DISTRICT,Almonds,San Joaquin River,20949.55081,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311
DEL PUERTO WATER DISTRICT,Beans Dry,San Joaquin River,783.2296024,1593.773361,1.285477627,2.212101358,174.4872303,50,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516
DEL PUERTO WATER DISTRICT,Corn,San Joaquin River,329.2151445,77.55530093,25.22861255,2.415829265,172.4592835,50,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293
DEL PUERTO WATER DISTRICT,Cucurbits,San Joaquin River,277.5334304,384.0603914,14.86947686,2.299627126,267.5771763,50,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591
DEL PUERTO WATER DISTRICT,Field and Grain,San Joaquin River,2222.958742,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702
DEL PUERTO WATER DISTRICT,Grapes,San Joaquin River,589.1020233,1686.199914,10.80135885,3.098484515,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166
DEL PUERTO WATER DISTRICT,Lettuce,San Joaquin River,151.2744347,1008.0,18.9,3.326092372,1600.0,65,12500.0,929.0,0.25,65,0.083984211,0.048763332,0.656126648
DEL PUERTO WATER DISTRICT,Onions and Garlic,San Joaquin River,183.5599741,1579.216395,6.547714821,1.480822037,1660.207972,50,2894.594241,4313.35249,0.41,50,0.160557684,0.417141646,0.279934415
DEL PUERTO WATER DISTRICT,Orchards,San Joaquin River,3732.171366,4762.917744,3.247388671,3.445837194,2203.997553,50,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127
DEL PUERTO WATER DISTRICT,Pasture,San Joaquin River,12.22933412,226.9343417,5.0,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702
DEL PUERTO WATER DISTRICT,Pistachios,San Joaquin River,145.9097685,4897.401316,1.414819371,3.805829794,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284
DEL PUERTO WATER DISTRICT,Subtropical,San Joaquin River,1105.850277,950.3385633,4.405405823,3.247465856,846.2602941,50,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361
DEL PUERTO WATER DISTRICT,Tomatoes,San Joaquin River,1547.975894,99.69467136,46.73447582,2.379660861,122.4440466,50,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875
DEL PUERTO WATER DISTRICT,Truck,San Joaquin River,48.43551713,690.3355797,21.20927139,2.667732673,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021
DEL PUERTO WATER DISTRICT,Walnuts,San Joaquin River,1137.042638,1802.497789,1.658526763,4.952669773,765.1413128,50,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664
EAGLE FIELD W.D.,Cotton,San Joaquin River,714.320309,3399.208415,0.729719844,3.634047537,368.4467916,50,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087
FIREBAUGH CANAL W.D.,Alfalfa,San Joaquin River,758.348669,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255
FIREBAUGH CANAL W.D.,Almonds,San Joaquin River,2106.991015,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311
FIREBAUGH CANAL W.D.,Cotton,San Joaquin River,4267.500545,3399.208415,0.729719844,3.634047537,368.4467916,50,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087
FIREBAUGH CANAL W.D.,Cucurbits,San Joaquin River,1230.088879,384.0603914,14.86947686,2.299627126,267.5771763,50,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591
FIREBAUGH CANAL W.D.,Field and Grain,San Joaquin River,1501.920743,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702
FIREBAUGH CANAL W.D.,Orchards,San Joaquin River,464.1955626,4762.917744,3.247388671,3.445837194,2203.997553,50,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127
FIREBAUGH CANAL W.D.,Pasture,San Joaquin River,11.22471176,226.9343417,5.0,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702
FIREBAUGH CANAL W.D.,Pistachios,San Joaquin River,5070.535468,4897.401316,1.414819371,3.805829794,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284
FIREBAUGH CANAL W.D.,Tomatoes,San Joaquin River,3626.49182,99.69467136,46.73447582,2.379660861,122.4440466,50,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875
FIREBAUGH CANAL W.D.,Truck,San Joaquin River,222.6026133,690.3355797,21.20927139,2.667732673,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021
FRESNO SLOUGH W.D.,Cotton,Tulare Lake,103.5348604,3710.758752,0.813814056,3.749301711,448.5684623,50,236.2384677,1344.566888,0.68,50,0.148539114,0.445240339,0.078228087
FRESNO SLOUGH W.D.,Field and Grain,Tulare Lake,67.73985905,289.315121,2.652255461,3.261387025,145.2774368,25,86.9874648,373.6919673,0.74,25,0.189326621,0.486998112,0.113362702
FRESNO SLOUGH W.D.,Onions and Garlic,Tulare Lake,91.36117216,2408.610949,10.63434095,1.253629891,4112.522919,50,7170.237318,10684.66197,0.41,50,0.160557684,0.417141646,0.279934415
FRESNO SLOUGH W.D.,Tomatoes,Tulare Lake,92.06001463,97.3922824,54.70338716,2.220206136,168.9385059,50,1803.712469,1201.075867,0.74,50,0.031709536,0.225440365,0.338554465
GRASSLANDS W.D.,Alfalfa,San Joaquin River,386.7041862,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255
GRASSLANDS W.D.,Corn,San Joaquin River,162.5600605,77.55530093,25.22861255,2.415829265,172.4592835,50,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293
GRASSLANDS W.D.,Cucurbits,San Joaquin River,40.80997137,384.0603914,14.86947686,2.299627126,267.5771763,50,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591
GRASSLANDS W.D.,Field and Grain,San Joaquin River,476.1199729,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702
GRASSLANDS W.D.,Pasture,San Joaquin River,424.3085768,226.9343417,5.0,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702
HENRY MILLER RECLAMATION DIST. 2131,Alfalfa,San Joaquin River,3429.2936,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255
HENRY MILLER RECLAMATION DIST. 2131,Almonds,San Joaquin River,1911.391907,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311
HENRY MILLER RECLAMATION DIST. 2131,Corn,San Joaquin River,3153.419258,77.55530093,25.22861255,2.415829265,172.4592835,50,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293
HENRY MILLER RECLAMATION DIST. 2131,Cotton,San Joaquin River,10905.53375,3399.208415,0.729719844,3.634047537,368.4467916,50,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087
HENRY MILLER RECLAMATION DIST. 2131,Cucurbits,San Joaquin River,1109.713777,384.0603914,14.86947686,2.299627126,267.5771763,50,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591
HENRY MILLER RECLAMATION DIST. 2131,Field and Grain,San Joaquin River,3180.947776,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702
HENRY MILLER RECLAMATION DIST. 2131,Grapes,San Joaquin River,45.9422242,1686.199914,10.80135885,3.098484515,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166
HENRY MILLER RECLAMATION DIST. 2131,Lettuce,San Joaquin River,369.5729814,1008.0,18.9,3.326092372,1600.0,65,12500.0,929.0,0.25,65,0.083984211,0.048763332,0.656126648
HENRY MILLER RECLAMATION DIST. 2131,Onions and Garlic,San Joaquin River,706.9524385,1579.216395,6.547714821,1.480822037,1660.207972,50,2894.594241,4313.35249,0.41,50,0.160557684,0.417141646,0.279934415
HENRY MILLER RECLAMATION DIST. 2131,Orchards,San Joaquin River,97.56207581,4762.917744,3.247388671,3.445837194,2203.997553,50,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127
HENRY MILLER RECLAMATION DIST. 2131,Pasture,San Joaquin River,506.723039,226.9343417,5.0,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702
HENRY MILLER RECLAMATION DIST. 2131,Pistachios,San Joaquin River,403.4585056,4897.401316,1.414819371,3.805829794,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284
HENRY MILLER RECLAMATION DIST. 2131,Subtropical,San Joaquin River,5.798542708,950.3385633,4.405405823,3.247465856,846.2602941,50,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361
HENRY MILLER RECLAMATION DIST. 2131,Tomatoes,San Joaquin River,10456.00256,99.69467136,46.73447582,2.379660861,122.4440466,50,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875
HENRY MILLER RECLAMATION DIST. 2131,Truck,San Joaquin River,553.881523,690.3355797,21.20927139,2.667732673,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021
JAMES I.D.,Alfalfa,Tulare Lake,1366.866941,279.620574,8.447932227,4.524530937,665.8443229,50,356.4707563,440.2816103,1.86,50,0.281872792,0.186385019,0.150905255
JAMES I.D.,Almonds,Tulare Lake,8689.572384,4875.001978,1.131453803,4.141037405,1199.972919,50,516.3560009,1661.846397,0.4,50,0.217550368,0.301286212,0.093613311
JAMES I.D.,Beans Dry,Tulare Lake,30.06125249,1326.519215,1.43231235,1.919782133,161.8168882,50,134.9933596,957.6035242,1.68,50,0.085167238,0.504004546,0.071049516
JAMES I.D.,Corn,Tulare Lake,1119.139446,161.4386617,22.01452234,2.280437339,313.2553801,50,310.929404,1985.508048,0.3,50,0.088141761,0.558669338,0.087487293
JAMES I.D.,Cotton,Tulare Lake,3411.773633,3710.758752,0.813814056,3.749301711,448.5684623,50,236.2384677,1344.566888,0.68,50,0.148539114,0.445240339,0.078228087
JAMES I.D.,Field and Grain,Tulare Lake,469.4866922,289.315121,2.652255461,3.261387025,145.2774368,25,86.9874648,373.6919673,0.74,25,0.189326621,0.486998112,0.113362702
JAMES I.D.,Grapes,Tulare Lake,1694.099139,1422.002244,11.72196241,4.00891598,2204.421502,50,7245.758441,5033.018762,0.13,50,0.132249498,0.30194507,0.434693599
JAMES I.D.,Onions and Garlic,Tulare Lake,619.2037239,2408.610949,10.63434095,1.253629891,4112.522919,50,7170.237318,10684.66197,0.41,50,0.160557684,0.417141646,0.279934415
JAMES I.D.,Orchards,Tulare Lake,141.1600881,2277.681025,7.763328774,3.502172688,2519.675644,50,6112.909401,6436.827012,0.13,50,0.142496355,0.364024786,0.345706127
JAMES I.D.,Pasture,Tulare Lake,4.2751005,242.4206904,4.903405501,4.768194291,225.050083,10,134.7527641,578.8882988,0.51,10,0.189326621,0.486998112,0.113362702
JAMES I.D.,Pistachios,Tulare Lake,3058.229046,5088.640658,1.460333567,3.820163692,1937.377826,50,386.8138231,1917.69532,0.4,50,0.260711671,0.258063009,0.052053284
JAMES I.D.,Tomatoes,Tulare Lake,529.1006276,97.3922824,54.70338716,2.220206136,168.9385059,50,1803.712469,1201.075867,0.74,50,0.031709536,0.225440365,0.338554465
JAMES I.D.,Walnuts,Tulare Lake,149.0712769,1793.152974,1.862011475,3.425917313,854.5630698,50,299.4355442,912.0012941,0.13,50,0.25594369,0.273146576,0.089681664
LAGUNA W.D.,Field and Grain,San Joaquin River,51.79207253,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702
MERCY SPRINGS W.D.,Pasture,San Joaquin River,2298.616176,226.9343417,5.0,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702
MERCY SPRINGS W.D.,Pistachios,San Joaquin River,672.1308136,4897.401316,1.414819371,3.805829794,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284
ORO LOMA W.D.,Pasture,San Joaquin River,919.9600012,226.9343417,5.0,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702
PACHECO W.D.,Almonds,San Joaquin River,1496.565801,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311
PACHECO W.D.,Corn,San Joaquin River,84.18710627,77.55530093,25.22861255,2.415829265,172.4592835,50,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293
PACHECO W.D.,Cotton,San Joaquin River,538.7846706,3399.208415,0.729719844,3.634047537,368.4467916,50,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087
PACHECO W.D.,Cucurbits,San Joaquin River,380.3157961,384.0603914,14.86947686,2.299627126,267.5771763,50,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591
PACHECO W.D.,Field and Grain,San Joaquin River,519.8582881,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702
PACHECO W.D.,Pistachios,San Joaquin River,197.4025699,4897.401316,1.414819371,3.805829794,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284
PACHECO W.D.,Tomatoes,San Joaquin River,454.3114705,99.69467136,46.73447582,2.379660861,122.4440466,50,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875
PACHECO W.D.,Truck,San Joaquin River,239.6583274,690.3355797,21.20927139,2.667732673,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021
PANOCHE W.D.,Alfalfa,San Joaquin River,1157.379182,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255
PANOCHE W.D.,Almonds,San Joaquin River,5880.839907,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311
PANOCHE W.D.,Corn,San Joaquin River,123.685401,77.55530093,25.22861255,2.415829265,172.4592835,50,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293
PANOCHE W.D.,Cotton,San Joaquin River,487.8407532,3399.208415,0.729719844,3.634047537,368.4467916,50,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087
PANOCHE W.D.,Cucurbits,San Joaquin River,1371.918493,384.0603914,14.86947686,2.299627126,267.5771763,50,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591
PANOCHE W.D.,Field and Grain,San Joaquin River,1720.67118,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702
PANOCHE W.D.,Grapes,San Joaquin River,2864.138053,1686.199914,10.80135885,3.098484515,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166
PANOCHE W.D.,Onions and Garlic,San Joaquin River,305.4238675,1579.216395,6.547714821,1.480822037,1660.207972,50,2894.594241,4313.35249,0.41,50,0.160557684,0.417141646,0.279934415
PANOCHE W.D.,Orchards,San Joaquin River,360.2425726,4762.917744,3.247388671,3.445837194,2203.997553,50,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127
PANOCHE W.D.,Pasture,San Joaquin River,240.7535507,226.9343417,5.0,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702
PANOCHE W.D.,Pistachios,San Joaquin River,9081.412771,4897.401316,1.414819371,3.805829794,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284
PANOCHE W.D.,Subtropical,San Joaquin River,165.7962113,950.3385633,4.405405823,3.247465856,846.2602941,50,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361
PANOCHE W.D.,Tomatoes,San Joaquin River,4402.542612,99.69467136,46.73447582,2.379660861,122.4440466,50,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875
PANOCHE W.D.,Truck,San Joaquin River,480.3086554,690.3355797,21.20927139,2.667732673,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021
PATTERSON W.D.,Alfalfa,San Joaquin River,1841.138533,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255
PATTERSON W.D.,Almonds,San Joaquin River,4022.099023,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311
PATTERSON W.D.,Beans Dry,San Joaquin River,175.5792852,1593.773361,1.285477627,2.212101358,174.4872303,50,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516
