g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater_unit
BANTA-CARBONA I.D.,Tomato Processing,San Joaquin River,750.894725,101,43.3,2.379660861,0.124471553,50,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50
BANTA-CARBONA I.D.,Truck Crops,San Joaquin River,43.2080525,555,22.8,2.667732673,0.139554281,50,0.396137579,0.419814805,0.41,0.17,7441.94487,27484.23099,27982.75263,50
BANTA-CARBONA I.D.,Vineyard,San Joaquin River,351.735675,1689.181611,10.69211111,3.098484515,0.302297005,50,0.200476183,0.304083218,0.13,0.17,2773.231975,2743.166444,4105.247296,50
BROADVIEW W.D.,Grain,San Joaquin River,2599.513597,303,2.9,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
BROADVIEW W.D.,Onions & Garlic,San Joaquin River,248.9715926,2366,7.7,1.480822037,0.178481578,50,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50
Byron Bethany (CVP),Alfalfa,San Joaquin River,68.96354348,281,6.7,4.134965358,0.306290873,50,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50
Byron Bethany (CVP),Almonds & Pistachios,San Joaquin River,1444.741029,4883,1.2,4.125499535,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
Byron Bethany (CVP),Citrus & Subtropical,San Joaquin River,3.822909039,933,3.6,3.247465856,0.183365181,50,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50
Byron Bethany (CVP),Grain,San Joaquin River,241.5843527,164,2.5,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
Byron Bethany (CVP),Other Deciduous,San Joaquin River,74.72139195,1769,2.2,3.445837194,0.215021845,50,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50
Byron Bethany (CVP),Vineyard,San Joaquin River,11.85939473,1689.181611,10.69211111,3.098484515,0.302297005,50,0.200476183,0.304083218,0.13,0.17,2773.231975,2743.166444,4105.247296,50
CENTRAL CALIFORNIA I.D.,Alfalfa,San Joaquin River,19802.72127,275.42882,7.145726841,4.134965358,0.306290873,50,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50
CENTRAL CALIFORNIA I.D.,Almonds & Pistachios,San Joaquin River,28538.44605,4767.847432,1.096167772,4.078346482,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
CENTRAL CALIFORNIA I.D.,Citrus & Subtropical,San Joaquin River,96.91437253,883,6,3.247465856,0.183365181,50,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50
CENTRAL CALIFORNIA I.D.,Corn,San Joaquin River,26028.98387,63.79287272,25.8602491,2.415829265,0.234536008,50,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50
CENTRAL CALIFORNIA I.D.,Cotton,San Joaquin River,24444.64851,3677.344642,0.8,3.634047537,0.148539114,50,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50
CENTRAL CALIFORNIA I.D.,Cucurbits,San Joaquin River,2718.97765,437.2073532,16.16521809,2.299627126,0.087908733,50,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50
CENTRAL CALIFORNIA I.D.,Dry Beans,San Joaquin River,945.675192,1536.60837,1.3,2.212101358,0.272510229,50,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,50
CENTRAL CALIFORNIA I.D.,Grain,San Joaquin River,5671.416352,232.9810303,3.79451607,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
CENTRAL CALIFORNIA I.D.,Lettuce,San Joaquin River,384.1177091,825.6667179,12.01770726,3.326092372,0.164570286,50,0.334656366,0.457537993,0.25,0.17,2859.243032,5814.317411,7949.261967,50
CENTRAL CALIFORNIA I.D.,Onions & Garlic,San Joaquin River,388.6026678,1496.923068,5.92805482,1.480822037,0.178481578,50,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50
CENTRAL CALIFORNIA I.D.,Other Deciduous,San Joaquin River,6308.455812,2039.881954,2.411512797,3.445837194,0.215021845,50,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50
CENTRAL CALIFORNIA I.D.,Pasture,San Joaquin River,4288.844844,206.6887348,5,4.600187047,0.350906068,50,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50
CENTRAL CALIFORNIA I.D.,Rice,San Joaquin River,2000.559108,579,4.7,4.833919598,0.381523094,50,0.545092624,0.07948555,0.2,0.17,851.2633133,1216.2235,177.3500304,50
CENTRAL CALIFORNIA I.D.,Tomato Processing,San Joaquin River,8520.581878,96.28659996,49.55284439,2.379660861,0.124471553,50,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50
CENTRAL CALIFORNIA I.D.,Truck Crops,San Joaquin River,531.3190118,883.1369862,18.44217052,2.667732673,0.139554281,50,0.396137579,0.419814805,0.41,0.17,7441.94487,27484.23099,27982.75263,50
CENTRAL CALIFORNIA I.D.,Vineyard,San Joaquin River,107.2820422,1492.427601,10.07028874,3.098484515,0.302297005,50,0.200476183,0.304083218,0.13,0.17,2773.231975,2743.166444,4105.247296,50
CITY OF TRACY,Alfalfa,San Joaquin River,239.8092865,281,6.7,4.134965358,0.306290873,50,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50
CITY OF TRACY,Almonds & Pistachios,San Joaquin River,138.3210303,4883,1.2,4.125499535,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
CITY OF TRACY,Dry Beans,San Joaquin River,216.6351777,1752,1.3,2.212101358,0.272510229,50,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,50
CITY OF TRACY,Grain,San Joaquin River,244.8236702,164,2.5,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
CITY OF TRACY,Other Deciduous,San Joaquin River,84.02201911,1769,2.2,3.445837194,0.215021845,50,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50
CITY OF TRACY,Pasture,San Joaquin River,12.1251035,276,5,4.600187047,0.350906068,50,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50
COLUMBIA CANAL CO.,Almonds & Pistachios,San Joaquin River,3213.413409,5009.424971,1.245620333,3.892747464,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
COLUMBIA CANAL CO.,Almonds & Pistachios,Tulare Lake,873.7217547,4738,1.1,4.141037405,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
COLUMBIA CANAL CO.,Corn,San Joaquin River,29.13194869,71,27.3,2.415829265,0.234536008,50,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50
COLUMBIA CANAL CO.,Cotton,San Joaquin River,195.569537,2718,0.7,3.634047537,0.148539114,50,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50
COLUMBIA CANAL CO.,Grain,San Joaquin River,8.72700116,207,2.9,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
COLUMBIA CANAL CO.,Grain,Tulare Lake,165.5737132,303,2.9,0.715524558,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
COLUMBIA CANAL CO.,Pasture,San Joaquin River,27.51344268,149,5,4.600187047,0.350906068,50,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50
COLUMBIA CANAL CO.,Truck Crops,San Joaquin River,1.6301472,941,19.4,2.667732673,0.139554281,50,0.396137579,0.419814805,0.41,0.17,7441.94487,27484.23099,27982.75263,50
COLUMBIA CANAL CO.,Vineyard,San Joaquin River,31.56846022,1652.208451,11.31279551,3.098484515,0.302297005,50,0.200476183,0.304083218,0.13,0.17,2773.231975,2743.166444,4105.247296,50
DEL PUERTO WATER DISTRICT,Alfalfa,San Joaquin River,221.5665338,282,6.8,4.134965358,0.306290873,50,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50
DEL PUERTO WATER DISTRICT,Almonds & Pistachios,San Joaquin River,12950.42778,4814.53711,1.102171091,4.122029375,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
DEL PUERTO WATER DISTRICT,Citrus & Subtropical,San Joaquin River,726.9274325,913.5,3.9,3.247465856,0.183365181,50,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50
DEL PUERTO WATER DISTRICT,Corn,San Joaquin River,354.5718744,68.49940443,26.84994044,2.415829265,0.234536008,50,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50
DEL PUERTO WATER DISTRICT,Cucurbits,San Joaquin River,397.8931947,507,13.6,2.299627126,0.087908733,50,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50
DEL PUERTO WATER DISTRICT,Dry Beans,San Joaquin River,857.710369,1674.192022,1.3,2.212101358,0.272510229,50,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,50
DEL PUERTO WATER DISTRICT,Grain,San Joaquin River,2251.452928,196.1962307,4.091278634,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
DEL PUERTO WATER DISTRICT,Lettuce,San Joaquin River,151.2744347,898,10.5,3.326092372,0.164570286,50,0.334656366,0.457537993,0.25,0.17,2859.243032,5814.317411,7949.261967,50
DEL PUERTO WATER DISTRICT,Onions & Garlic,San Joaquin River,183.5599741,1186,5.6,1.480822037,0.178481578,50,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50
DEL PUERTO WATER DISTRICT,Other Deciduous,San Joaquin River,1666.210439,3913.054303,3.386026932,3.445837194,0.215021845,50,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50
DEL PUERTO WATER DISTRICT,Pasture,San Joaquin River,15.9755367,233.7674522,5,4.600187047,0.350906068,50,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50
DEL PUERTO WATER DISTRICT,Tomato Processing,San Joaquin River,1717.722813,99.84747344,50.20848406,2.379660861,0.124471553,50,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50
DEL PUERTO WATER DISTRICT,Truck Crops,San Joaquin River,48.43551713,837.0086212,18.74292924,2.667732673,0.139554281,50,0.396137579,0.419814805,0.41,0.17,7441.94487,27484.23099,27982.75263,50
DEL PUERTO WATER DISTRICT,Vineyard,San Joaquin River,772.4922471,1659.744887,10.99858551,3.098484515,0.302297005,50,0.200476183,0.304083218,0.13,0.17,2773.231975,2743.166444,4105.247296,50
EAGLE FIELD W.D.,Cotton,San Joaquin River,714.320309,3810.565698,0.8,3.634047537,0.148539114,50,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50
FIREBAUGH CANAL W.D.,Alfalfa,San Joaquin River,758.348669,264,7.7,4.134965358,0.306290873,50,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50
FIREBAUGH CANAL W.D.,Almonds & Pistachios,San Joaquin River,8134.667215,4653.159559,1.382801469,3.899491854,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
FIREBAUGH CANAL W.D.,Corn,San Joaquin River,96.84837588,71,20.6,2.415829265,0.234536008,50,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50
FIREBAUGH CANAL W.D.,Cotton,San Joaquin River,4267.500545,3438,0.8,3.634047537,0.148539114,50,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50
FIREBAUGH CANAL W.D.,Cucurbits,San Joaquin River,1230.088879,485,17.3,2.299627126,0.087908733,50,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50
FIREBAUGH CANAL W.D.,Grain,San Joaquin River,1721.821751,303,2.9,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
FIREBAUGH CANAL W.D.,Onions & Garlic,San Joaquin River,248.9715926,2366,7.7,1.480822037,0.178481578,50,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50
FIREBAUGH CANAL W.D.,Other Deciduous,San Joaquin River,463.8898093,1850,7.8,3.445837194,0.215021845,50,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50
FIREBAUGH CANAL W.D.,Pasture,San Joaquin River,532.7035162,170,5,4.600187047,0.350906068,50,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50
FIREBAUGH CANAL W.D.,Tomato Processing,San Joaquin River,3626.49182,93,51.2,2.379660861,0.124471553,50,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50
FIREBAUGH CANAL W.D.,Truck Crops,San Joaquin River,222.6026133,941,19.4,2.667732673,0.139554281,50,0.396137579,0.419814805,0.41,0.17,7441.94487,27484.23099,27982.75263,50
FRESNO SLOUGH W.D.,Almonds & Pistachios,Tulare Lake,180.5327118,4738,1.1,4.141037405,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
FRESNO SLOUGH W.D.,Cotton,Tulare Lake,171.3936328,3438,0.8,3.749301711,0.148539114,50,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50
FRESNO SLOUGH W.D.,Grain,Tulare Lake,199.5809002,303,2.9,0.715524558,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
FRESNO SLOUGH W.D.,Onions & Garlic,Tulare Lake,160.0698856,2366,7.7,1.253629891,0.178481578,50,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50
FRESNO SLOUGH W.D.,Tomato Processing,Tulare Lake,116.6653386,93,51.2,2.220206136,0.124471553,50,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50
GRASSLANDS W.D.,Alfalfa,San Joaquin River,689.7245575,282,6.8,4.134965358,0.306290873,50,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50
GRASSLANDS W.D.,Corn,San Joaquin River,235.961025,62,26.2,2.415829265,0.234536008,50,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50
GRASSLANDS W.D.,Cotton,San Joaquin River,274.9930646,3927,0.8,3.634047537,0.148539114,50,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50
GRASSLANDS W.D.,Cucurbits,San Joaquin River,40.80997137,372,15.4,2.299627126,0.087908733,50,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50
GRASSLANDS W.D.,Grain,San Joaquin River,926.2253268,206.2919153,4.233904617,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
GRASSLANDS W.D.,Pasture,San Joaquin River,815.9913879,200,5,4.600187047,0.350906068,50,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50
GRASSLANDS W.D.,Rice,San Joaquin River,158.8750946,579,4.7,4.833919598,0.381523094,50,0.545092624,0.07948555,0.2,0.17,851.2633133,1216.2235,177.3500304,50
GRASSLANDS W.D.,Tomato Processing,San Joaquin River,70.38321942,97,48.5,2.379660861,0.124471553,50,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50
HENRY MILLER RECLAMATION DIST. 2131,Alfalfa,San Joaquin River,3708.141917,281.5865269,6.820673657,4.134965358,0.306290873,50,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50
HENRY MILLER RECLAMATION DIST. 2131,Almonds & Pistachios,San Joaquin River,482.3624499,5084.931574,1.008661116,3.861203726,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
HENRY MILLER RECLAMATION DIST. 2131,Citrus & Subtropical,San Joaquin River,5.731683796,872,7.8,3.247465856,0.183365181,50,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50
HENRY MILLER RECLAMATION DIST. 2131,Corn,San Joaquin River,3153.419258,62,26.2,2.415829265,0.234536008,50,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50
HENRY MILLER RECLAMATION DIST. 2131,Cotton,San Joaquin River,11606.96075,3922.445125,0.8,3.634047537,0.148539114,50,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50
HENRY MILLER RECLAMATION DIST. 2131,Cucurbits,San Joaquin River,1109.713777,372,15.4,2.299627126,0.087908733,50,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50
HENRY MILLER RECLAMATION DIST. 2131,Grain,San Joaquin River,3404.89204,189.1543272,4.470285142,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
HENRY MILLER RECLAMATION DIST. 2131,Lettuce,San Joaquin River,369.5729814,674,15.2,3.326092372,0.164570286,50,0.334656366,0.457537993,0.25,0.17,2859.243032,5814.317411,7949.261967,50
HENRY MILLER RECLAMATION DIST. 2131,Onions & Garlic,San Joaquin River,772.3914929,2039,6.5,1.480822037,0.178481578,50,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50
HENRY MILLER RECLAMATION DIST. 2131,Other Deciduous,San Joaquin River,96.43715622,3553,6.1,3.445837194,0.215021845,50,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50
HENRY MILLER RECLAMATION DIST. 2131,Pasture,San Joaquin River,539.0958288,200,5,4.600187047,0.350906068,50,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50
HENRY MILLER RECLAMATION DIST. 2131,Tomato Processing,San Joaquin River,10615.20198,97,48.5,2.379660861,0.124471553,50,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50
HENRY MILLER RECLAMATION DIST. 2131,Truck Crops,San Joaquin River,621.5500005,910,18.1,2.667732673,0.139554281,50,0.396137579,0.419814805,0.41,0.17,7441.94487,27484.23099,27982.75263,50
HENRY MILLER RECLAMATION DIST. 2131,Vineyard,San Joaquin River,45.41249677,1501.721891,10.6898472,3.098484515,0.302297005,50,0.200476183,0.304083218,0.13,0.17,2773.231975,2743.166444,4105.247296,50
JAMES I.D.,Alfalfa,Tulare Lake,1366.866941,264,7.7,4.524530937,0.306290873,50,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50
JAMES I.D.,Almonds & Pistachios,Tulare Lake,11747.80143,4706.761177,1.204129409,4.05750643,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
JAMES I.D.,Corn,Tulare Lake,1119.139446,71,20.6,2.280437339,0.234536008,50,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50
JAMES I.D.,Cotton,Tulare Lake,3617.99277,3438,0.8,3.749301711,0.148539114,50,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50
JAMES I.D.,Dry Beans,Tulare Lake,30.06125249,1030,1.5,1.919782133,0.272510229,50,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,50
JAMES I.D.,Grain,Tulare Lake,614.0946858,303,2.9,0.715524558,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
JAMES I.D.,Onions & Garlic,Tulare Lake,619.2037239,2366,7.7,1.253629891,0.178481578,50,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50
JAMES I.D.,Other Deciduous,Tulare Lake,290.231365,1787.850878,4.718225356,3.502172688,0.215021845,50,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50
JAMES I.D.,Pasture,Tulare Lake,4.2751005,170,5,4.768194291,0.350906068,50,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50
JAMES I.D.,Tomato Processing,Tulare Lake,671.8933679,93,51.2,2.220206136,0.124471553,50,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50
JAMES I.D.,Vineyard,Tulare Lake,1694.099139,1492.427601,10.07028874,4.00891598,0.302297005,50,0.200476183,0.304083218,0.13,0.17,2773.231975,2743.166444,4105.247296,50
LAGUNA W.D.,Cotton,San Joaquin River,85.7174307,3927,0.8,3.634047537,0.148539114,50,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50
LAGUNA W.D.,Grain,San Joaquin River,140.1836207,187,4.5,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
MERCY SPRINGS W.D.,Almonds & Pistachios,San Joaquin River,672.1308137,4618,1.5,3.805829794,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
MERCY SPRINGS W.D.,Pasture,San Joaquin River,2298.616176,170,5,4.600187047,0.350906068,50,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50
ORO LOMA W.D.,Pasture,San Joaquin River,1049.217692,170,5,4.600187047,0.350906068,50,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50
PACHECO W.D.,Almonds & Pistachios,San Joaquin River,1767.952722,4804.970221,1.007195762,4.089806483,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
PACHECO W.D.,Corn,San Joaquin River,84.18710627,62,26.2,2.415829265,0.234536008,50,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50
PACHECO W.D.,Cotton,San Joaquin River,548.3779211,3707.279528,0.8,3.634047537,0.148539114,50,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50
PACHECO W.D.,Cucurbits,San Joaquin River,380.3157961,372,15.4,2.299627126,0.087908733,50,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50
PACHECO W.D.,Grain,San Joaquin River,519.8582881,187,4.5,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
PACHECO W.D.,Tomato Processing,San Joaquin River,710.6489481,95.55716397,49.47391432,2.379660861,0.124471553,50,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50
PACHECO W.D.,Truck Crops,San Joaquin River,239.6583274,910,18.1,2.667732673,0.139554281,50,0.396137579,0.419814805,0.41,0.17,7441.94487,27484.23099,27982.75263,50
PACHECO W.D.,Vineyard,San Joaquin River,153.6229118,1492.427601,10.07028874,3.098484515,0.302297005,50,0.200476183,0.304083218,0.13,0.17,2773.231975,2743.166444,4105.247296,50
PANOCHE W.D.,Alfalfa,San Joaquin River,1157.379182,272.8591274,7.257043628,4.134965358,0.306290873,50,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50
PANOCHE W.D.,Alfalfa,Tulare Lake,128.2301119,264,7.7,4.524530937,0.306290873,50,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50
PANOCHE W.D.,Almonds & Pistachios,San Joaquin River,16013.1856,4668.818509,1.33120053,3.939568441,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
PANOCHE W.D.,Almonds & Pistachios,Tulare Lake,464.1133358,4658.050883,1.366497057,3.927257655,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
PANOCHE W.D.,Citrus & Subtropical,San Joaquin River,165.7962113,583,16.5,3.247465856,0.183365181,50,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50
PANOCHE W.D.,Corn,San Joaquin River,123.685401,62,26.2,2.415829265,0.234536008,50,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50
PANOCHE W.D.,Cotton,San Joaquin River,487.8407532,3438,0.8,3.634047537,0.148539114,50,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50
PANOCHE W.D.,Cucurbits,San Joaquin River,1371.918493,485,17.3,2.299627126,0.087908733,50,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50
PANOCHE W.D.,Grain,San Joaquin River,2464.280152,277.5031915,3.251680117,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
PANOCHE W.D.,Onions & Garlic,San Joaquin River,305.4238675,2366,7.7,1.480822037,0.178481578,50,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50
PANOCHE W.D.,Other Deciduous,San Joaquin River,402.1734858,1850,7.8,3.445837194,0.215021845,50,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50
PANOCHE W.D.,Pasture,San Joaquin River,240.7535507,170,5,4.600187047,0.350906068,50,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50
