g,i,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,Etc
SVID,Orchard,2023,7083,2,1173,18.67,2159,4064,236,0.13
SVID,Vegetable,2023,877,2,860,16.63,6731,4826,236,0.3
SVID,Vineyard,2023,8280,2,935,4.78,2794,3683,236,0.13
Terrace Heights,Hay/Silage,2023,15,2,258,5.11,152,330,236,0.51
Terrace Heights,Orchard,2023,31,2,1173,18.67,2159,4064,236,0.13
Terrace Heights,Vineyard,2023,10,2,935,4.78,2794,3683,236,0.13
Throp Mill,Hay/Silage,2023,67,2,258,5.11,152,330,236,0.51
Union Gap,Hay/Silage,2023,48,2,258,5.11,152,330,236,0.51
Union Gap,Orchard,2023,1683,2,1173,18.67,2159,4064,236,0.13
Union Gap,Vineyard,2023,55,2,935,4.78,2794,3683,236,0.13
Wenas,Hay/Silage,2023,874,2,258,5.11,152,330,236,0.51
Wenas,Herb,2023,92,2,438,0.06,953,762,236,0.41
West Side,Cereal Grain,2023,22,2,255,2.26,89,229,236,0.74
West Side,Hay/Silage,2023,3486,2,258,5.11,152,330,236,0.51
West Side,Vegetable,2023,3,1.683,860,16.63,6731,4826,236,0.3
Yakima-Tieton,Berry,2023,13,2,1900,3.53,6858,9652,236,0.25
Yakima-Tieton,Hay/Silage,2023,1608,2,258,5.11,152,330,236,0.51
Yakima-Tieton,Herb,2023,1,2,438,0.06,953,762,236,0.41
Yakima-Tieton,Orchard,2023,14529,2,1173,18.67,2159,4064,236,0.13
Yakima-Tieton,Vegetable,2023,9,2,860,16.63,6731,4826,236,0.3
Yakima-Tieton,Vineyard,2023,82,2,935,4.78,2794,3683,236,0.13
Yakima-Wapato,Berry,2023,29,2,1900,3.53,6858,9652,236,0.25
Yakima-Wapato,Cereal Grain,2023,31273,2,255,2.26,89,229,236,0.74
Yakima-Wapato,Hay/Silage,2023,17724,2,258,5.11,152,330,236,0.51
Yakima-Wapato,Herb,2023,24398,2,438,0.06,953,762,236,0.41
Yakima-Wapato,Oilseed,2023,953,2.5,470,0.82,635.5,667,209,0.74
Yakima-Wapato,Orchard,2023,10062,2,1173,18.67,2159,4064,236,0.13
Yakima-Wapato,Seed,2023,167,2,9750,0.39,318,572,236,0.74
Yakima-Wapato,Vegetable,2023,3267,2,860,16.63,6731,4826,236,0.3
Yakima-Wapato,Vineyard,2023,2125,2,935,4.78,2794,3683,236,0.13
Okanogan,Berry,2023,3,2.1,1900,3.53,6858,9652,193,0.25
Okanogan,Cereal Grain,2023,8,2,255,2.26,89,229,193,0.74
Okanogan,Hay/Silage,2023,3588,2.2,258,5.11,152,330,193,0.51
Okanogan,Herb,2023,36,1.4,438,0.06,318,572,193,0.41
Okanogan,Orchard,2023,10736,2.3,1173,18.67,2159,4064,193,0.13
Okanogan,Vegetable,2023,41,1.9,860,16.63,6731,4826,193,0.3
Okanogan,Vineyard,2023,55,1.3,935,4.78,2794,3683,193,0.13
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2023,1,2.6,935.3,4.8,2794,3683,294,0.13
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2023,22,1.6,255.3,2.3,89,229,294,0.74
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2023,14,1.8,258,5.1,152,330,294,0.51
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2023,12,1.7,0.5,12900,1750,623,316,0.74
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2023,17,2.6,860,16.6,6731,4826,294,0.3
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2023,1,2.6,935.3,4.8,2794,3683,294,0.13
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2023,4,1.6,255.3,2.3,89,229,294,0.74
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2023,6,1.6,258,5.1,152,330,294,0.51
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Seed,2023,7,1.6,0.5,12900,1750,623,316,0.74
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2023,2,2,860,16.6,6731,4826,294,0.3
BRADEN IRRIGATION DISTRICT NO. 20,Cereal Grain,2023,15,1.8,255.3,2.3,89,229,294,0.74
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2023,15,2,255.3,2.3,89,229,294,0.74
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2023,2,2,258,5.1,152,330,294,0.51
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2023,15,2,0.5,12900,1750,623,316,0.74
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2023,1,2,860,16.6,6731,4826,294,0.3
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2023,139,2.5,255.3,2.3,89,229,294,0.74
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2023,199,2.2,258,5.1,152,330,294,0.51
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2023,246,3,0.5,12900,1750,623,316,0.74
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2023,111,2,860,16.6,6731,4826,294,0.3
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2023,1721,2.5,255.3,2.3,89,229,294,0.74
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2023,873,2.1,258,5.1,152,330,294,0.51
GARDENA FARMS DISTRICT NO. 13,Oilseed,2023,110,2.5,470,0.8,953,762,294,0.74
GARDENA FARMS DISTRICT NO. 13,Orchard,2023,7,2.5,4010,18.7,2159,4064,294,0.13
GARDENA FARMS DISTRICT NO. 13,Seed,2023,2819,2.3,0.5,12900,1750,623,316,0.74
GARDENA FARMS DISTRICT NO. 13,Vegetable,2023,448,2.3,860,16.6,6731,4826,294,0.3
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2023,41,2,255.3,2.3,89,229,294,0.74
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2023,34,1.8,258,5.1,152,330,294,0.51
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2023,7,1.4,258,5.1,152,330,294,0.51
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2023,15,1.9,860,16.6,6731,4826,294,0.3
Walla Walla Irrigated area outside irrigation districts,Berry,2023,36,2,1900,4,5454,7676,231,0.25
Walla Walla Irrigated area outside irrigation districts,Cereal Grain,2023,13556,2,255.3,2.3,89,229,294,0.74
Walla Walla Irrigated area outside irrigation districts,Hay/Silage,2023,6539,2.1,258,5.1,152,330,294,0.51
Walla Walla Irrigated area outside irrigation districts,Herb,2023,18,2,438,0.1,318,572,294,0.41
Walla Walla Irrigated area outside irrigation districts,Oilseed,2023,628,2.3,470,0.8,953,762,294,0.74
Walla Walla Irrigated area outside irrigation districts,Orchard,2023,1243,2.4,2591.5,18.7,2159,4064,294,0.13
Walla Walla Irrigated area outside irrigation districts,Seed,2023,8921,2.2,0.5,12900,1750,623,316,0.74
Walla Walla Irrigated area outside irrigation districts,Vegetable,2023,5988,2.3,860,16.6,6731,4826,294,0.3
Walla Walla Irrigated area outside irrigation districts,Vineyard,2023,2257,2.4,935.3,4.8,2794,3683,294,0.13
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2023,67,2.5,255.3,2.3,89,229,294,0.74
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2023,29,2.6,258,5.1,152,330,294,0.51
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2023,115,2.2,0.5,12900,1750,623,316,0.74
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2023,40,2.7,255.3,2.3,89,229,294,0.74
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2023,3,2.7,0.5,12900,1750,623,316,0.74
MUD CREEK IRRIGATION DISTRICT NO. 7,Vegetable,2023,6,2.7,860,16.6,6731,4826,294,0.3
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2023,328,1.7,255.3,2.3,89,229,294,0.74
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2023,766,2.5,258,5.1,152,330,294,0.51
TOUCHET IRRIGATION DISTRICT NO. 16,Oilseed,2023,57,2.2,470,0.8,953,762,294,0.74
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2023,125,2.1,0.5,12900,1750,623,316,0.74
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2023,386,2.3,860,16.6,6731,4826,294,0.3
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2023,1251,1.4,255.3,2.3,89,229,294,0.74
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2023,290,2.5,258,5.1,152,330,294,0.51
TWO RIVERS IRRIGATION DISTRICT NO. 19,Herb,2023,108,2.2,438,0.1,318,572,294,0.41
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2023,566,2.4,1173,18.7,2159,4064,294,0.13
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2023,1311,3.3,860,16.6,6731,4826,294,0.3
WALLA WALLA WATER & POWER DISTRICT NO. 18,Cereal Grain,2023,34,1.5,255.3,2.3,89,229,294,0.74
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2023,79,2.2,860,16.6,6731,4826,294,0.3
WATER DISTRIBUTION DISTRICT NO. 1,Hay/Silage,2023,7,1.6,258,5.1,152,330,294,0.51
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2023,178,2.2,255.3,2.3,89,229,294,0.74
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2023,253,2.5,258,5.1,152,330,294,0.51
WEST SIDE IRRIGATION DISTRICT NO. 5,Herb,2023,2,2.2,438,0.1,318,572,294,0.41
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2023,518,2.2,0.5,12900,1750,623,316,0.74
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2023,73,3,860,16.6,6731,4826,294,0.3
