g,i,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,Etc
FGP,Vegetable,2015,150,1,255,5.42,5300,3800,345,0.3
Fowler Ditch,Hay/Silage,2015,27,2,174,16.16,120,260,345,0.51
Fowler Ditch,Herb,2015,712,2.5,555,5.79,750,600,345,0.41
Fowler Ditch,Vineyard,2015,18,2,679,2.21,2200,2900,345,0.13
KID,Berry,2015,2,1.486,2273,2.21,5400,7600,345,0.25
KID,Cereal Grain,2015,1704,2,160,5.42,70,180,345,0.74
KID,Hay/Silage,2015,2148,2,174,0.06,120,260,345,0.51
KID,Orchard,2015,2938,2,1269,0.55,1700,3200,345,0.13
KID,Vegetable,2015,610,1,255,16.16,5300,3800,345,0.3
KID,Vineyard,2015,4001,2,679,0.35,2200,2900,345,0.13
KRD,Berry,2015,1,2,2273,26.89,5400,7600,345,0.25
KRD,Cereal Grain,2015,1470,2,160,5.79,70,180,345,0.74
